Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Allen,TE,26.285,2016-12-05,NFL,IND,@,NYJ,W 41-10,12,13,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,72,18.00,3,100.0%,18.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Doug Baldwin ,WR,28.053,2016-11-13,NFL,SEA,@,NWE,W 31-24,9,10,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,6,59,9.83,3,75.0%,7.38,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Le'Veon Bell,RB,24.297,2016-12-11,NFL,PIT,@,BUF,W 27-20,13,14,Sun,0,0,,0,0,0,,0,0,,,38,236,6.21,3,5,4,62,15.50,0,80.0%,12.40,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Martellus Bennett ,TE,29.213,2016-10-09,NFL,NWE,@,CLE,W 33-13,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,6,67,11.17,3,75.0%,8.38,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
LeGarrette Blount,RB,29.344,2016-11-13,NFL,NWE,,SEA,L 24-31,9,10,Sun,0,0,,0,0,0,,0,0,,,21,69,3.29,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Antonio Brown ,WR,28.137,2016-11-24,NFL,PIT,@,IND,W 28-7,11,12,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,91,18.20,3,83.3%,15.17,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Tevin Coleman,RB,23.163,2016-09-26,NFL,ATL,@,NOR,W 45-32,3,3,Mon,0,0,,0,0,0,,0,0,,,12,42,3.50,3,3,3,47,15.67,0,100.0%,15.67,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Michael Crabtree,WR,29.018,2016-10-02,NFL,OAK,@,BAL,W 28-27,4,4,Sun,0,0,,0,0,0,,,0,,,0,0,,0,12,7,88,12.57,3,58.3%,7.33,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Ezekiel Elliott,RB,21.114,2016-11-13,NFL,DAL,@,PIT,W 35-30,9,10,Sun,0,0,,0,0,0,,0,0,,,21,114,5.43,2,2,2,95,47.50,1,100.0%,47.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Matt Forte ,RB,30.280,2016-09-15,NFL,NYJ,@,BUF,W 37-31,2,2,Thu,0,0,,0,0,0,,0,0,,,30,100,3.33,3,3,2,9,4.50,0,66.7%,3.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Devonta Freeman ,RB,24.278,2016-12-18,NFL,ATL,,SFO,W 41-13,14,15,Sun,0,0,,0,0,0,,0,0,,,20,139,6.95,3,2,2,16,8.00,0,100.0%,8.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0
Melvin Gordon,RB,23.193,2016-10-23,NFL,SDG,@,ATL,W 33-30,7,7,Sun,0,0,,0,0,0,,0,0,,,22,68,3.09,2,7,6,53,8.83,1,85.7%,7.57,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Tyreek Hill,WR,22.271,2016-11-27,NFL,KAN,@,DEN,W 30-27,11,12,Sun,0,0,,0,0,0,,0,0,,,1,3,3.00,1,10,9,52,5.78,1,90.0%,5.20,,,,,,,,,3,18,1,86,86.00,1,2,28,14.00,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
Jordan Howard,RB,22.032,2016-12-04,NFL,CHI,,SFO,W 26-6,12,13,Sun,0,0,,0,0,0,,0,0,,,32,117,3.66,3,1,0,0,,0,0.0%,0.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
David Johnson,RB,24.306,2016-10-17,NFL,ARI,,NYJ,W 28-3,6,6,Mon,0,0,,0,0,0,,0,0,,,22,111,5.05,3,6,3,27,9.00,0,50.0%,4.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0
David Johnson,RB,25.008,2016-12-24,NFL,ARI,@,SEA,W 34-31,15,16,Sat,0,0,,0,0,0,,0,0,,,28,95,3.39,3,7,4,41,10.25,0,57.1%,5.86,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,,0,0,1,1,0,0,0,0
