Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Miles Sanders ,RB,PHI,1,48,48,72,31,10,35,42,11.5,24.0,2020,10,,,
Collin Johnson ,WR,JAC,1,7,7,11,0,0,0,0,0.0,0.0,2020,10,,,
T.J. Hockenson ,TE,DET,1,39,39,66,0,10,5,10,1.3,3.3,2020,10,,,
Kaden Smith ,TE,NYG,1,41,41,58,0,5,5,5,1.2,2.9,2020,10,,,
Patrick Laird ,RB,MIA,1,10,10,17,20,0,20,20,1.9,19.0,2020,10,,,
Hunter Renfrow ,WR,LV,1,34,34,47,0,6,6,6,3.0,8.8,2020,10,,,
Terry Godwin ,WR,JAC,1,2,2,3,0,100,0,100,0.0,0.0,2020,10,,,
Foster Moreau ,TE,LV,1,25,25,35,0,0,0,0,0.0,0.0,2020,10,,,
Brandon Dillon ,TE,MIN,1,2,2,3,0,0,0,0,0.0,0.0,2020,10,,,
Andy Isabella ,WR,ARI,1,11,11,15,0,9,9,9,1.4,12.7,2020,10,,,
Terry McLaurin ,WR,WAS,1,86,86,98,1,10,9,12,10.2,11.9,2020,10,,,
Travis Fulgham ,WR,PHI,1,59,59,88,0,8,2,8,0.8,1.4,2020,10,,,
Drew Sample ,TE,CIN,1,57,57,88,0,4,2,4,0.9,1.6,2020,10,,,
Alec Ingold ,RB,LV,1,12,12,17,0,0,0,0,0.0,0.0,2020,10,,,
Darrell Henderson ,RB,LAR,1,23,23,33,30,4,35,35,9.3,40.4,2020,10,,,
Jakobi Meyers ,WR,NE,1,57,57,98,0,12,11,14,10.9,19.1,2020,10,,,
Kyler Murray ,QB,ARI,1,73,73,100,15,0,59,59,30.9,42.3,2020,10,,,
Isaac Nauta ,TE,DET,1,13,13,22,0,8,0,8,0.0,0.0,2020,10,,,
Trayveon Williams ,RB,CIN,1,5,5,8,100,0,100,100,2.2,44.0,2020,10,,,
Benny Snell Jr. ,RB,PIT,1,4,4,5,75,0,75,75,1.2,30.0,2020,10,,,
Jace Sternberger ,TE,GB,1,20,20,31,0,0,0,0,0.0,0.0,2020,10,,,
Diontae Johnson ,WR,PIT,1,63,63,86,0,17,10,17,17.6,27.9,2020,10,,,
Travis Homer ,RB,SEA,1,7,7,10,0,43,43,43,1.9,27.1,2020,10,,,
Alexander Mattison ,RB,MIN,1,5,5,7,40,0,40,40,0.4,8.0,2020,10,,,
Chase Claypool ,WR,PIT,1,44,44,60,5,23,14,27,17.3,39.3,2020,10,,,
Dawson Knox ,TE,BUF,1,51,51,70,0,8,4,8,1.6,3.1,2020,10,,,
Tyler Johnson ,WR,TB,1,7,7,9,0,14,0,14,0.0,0.0,2020,10,,,
Bryan Edwards ,WR,LV,1,20,20,28,0,5,5,5,1.6,8.0,2020,10,,,
Justin Herbert ,QB,LAC,1,63,63,97,6,0,57,57,21.5,34.1,2020,10,,,
Miles Boykin ,WR,BAL,1,19,19,29,0,0,0,0,0.0,0.0,2020,10,,,
Jakob Johnson ,RB,NE,1,37,37,64,0,5,5,5,2.0,5.4,2020,10,,,
Zach Gentry ,TE,PIT,1,14,14,19,0,0,0,0,0.0,0.0,2020,10,,,
Cullen Gillaspia ,RB,HOU,1,1,1,2,0,0,0,0,0.0,0.0,2020,10,,,
Juwann Winfree ,WR,GB,1,7,7,11,0,0,0,0,0.0,0.0,2020,10,,,
Darius Slayton ,WR,NYG,1,45,45,63,0,16,11,16,9.3,20.7,2020,10,,,
Olabisi Johnson ,WR,MIN,1,2,2,3,0,50,0,50,0.0,0.0,2020,10,,,
Scotty Miller ,WR,TB,1,9,9,11,0,11,11,11,0.4,4.4,2020,10,,,
Penny Hart ,WR,SEA,1,3,3,4,0,0,0,0,0.0,0.0,2020,10,,,
Tyron Johnson ,WR,LAC,1,13,13,20,0,0,0,0,0.0,0.0,2020,10,,,
Donald Parham Jr. ,TE,LAC,1,14,14,22,0,7,7,7,1.3,9.3,2020,10,,,
Khari Blasingame ,RB,TEN,1,14,14,22,0,7,7,7,1.3,9.3,2020,10,,,
Malik Taylor ,WR,GB,1,8,8,12,0,0,0,0,0.0,0.0,2020,10,,,
Deonte Harris ,WR,NO,1,21,21,36,0,19,19,19,0.4,1.9,2020,10,,,
Nsimba Webster ,WR,LAR,1,2,2,3,0,0,0,0,0.0,0.0,2020,10,,,
Jeremy Cox ,RB,DEN,1,4,4,6,0,0,0,0,0.0,0.0,2020,10,,,
Jalen Guyton ,WR,LAC,1,44,44,68,0,14,9,14,2.4,5.5,2020,10,,,
Steven Sims ,WR,WAS,1,40,40,45,0,15,13,15,4.6,11.5,2020,10,,,
Austin Walter ,RB,SF,1,12,12,17,8,8,17,17,3.0,25.0,2020,10,,,
Chris Myarick ,TE,MIA,1,5,5,8,0,0,0,0,0.0,0.0,2020,10,,,
Joe Burrow ,QB,CIN,1,65,65,100,0,0,62,62,12.5,19.2,2020,10,,,
Tua Tagovailoa ,QB,MIA,1,58,58,98,10,0,53,53,14.7,25.3,2020,10,,,
Jerry Jeudy ,WR,DEN,1,61,61,86,0,13,7,13,6.8,11.1,2020,10,,,
Henry Ruggs III ,WR,LV,1,45,45,63,0,9,7,9,3.1,6.9,2020,10,,,
D'Andre Swift ,RB,DET,1,43,43,73,37,12,49,49,20.9,48.6,2020,10,,,
Tee Higgins ,WR,CIN,1,55,55,85,0,16,13,16,15.5,28.2,2020,10,,,
Jonathan Taylor ,RB,IND,1,17,17,24,41,12,53,53,3.7,21.8,2020,10,,,
Jalen Reagor ,WR,PHI,1,59,59,88,0,12,7,12,4.7,8.0,2020,10,,,
Cole Kmet ,TE,CHI,1,35,35,69,0,9,3,9,0.7,2.0,2020,10,,,
Justin Jefferson ,WR,MIN,1,61,61,82,0,16,13,16,13.5,22.1,2020,10,,,
J.K. Dobbins ,RB,BAL,1,29,29,44,17,7,21,24,1.4,4.8,2020,10,,,
Brandon Aiyuk ,WR,SF,1,68,68,96,1,21,12,22,12.7,18.7,2020,10,,,
Zack Moss ,RB,BUF,1,39,39,53,18,5,21,23,1.7,4.4,2020,10,,,
KJ Hamler ,WR,DEN,1,62,62,87,0,16,6,16,5.0,8.1,2020,10,,,
Cam Akers ,RB,LAR,1,18,18,26,56,0,56,56,3.8,21.1,2020,10,,,
Devin Duvernay ,WR,BAL,1,36,36,55,0,8,8,8,4.5,12.5,2020,10,,,
Jalen Hurts ,QB,PHI,1,3,3,4,67,0,67,67,-0.1,-3.3,2020,10,,,
Michael Pittman Jr. ,WR,IND,1,57,57,81,2,14,14,16,12.2,21.4,2020,10,,,
Donovan Peoples-Jones ,WR,CLE,1,16,16,25,0,13,13,13,1.6,10.0,2020,10,,,
John Hightower ,WR,PHI,1,3,3,4,0,0,0,0,0.0,0.0,2020,10,,,
K.J. Hill ,WR,LAC,1,1,1,2,0,0,0,0,0.0,0.0,2020,10,,,
Harrison Bryant ,TE,CLE,1,36,36,55,0,0,0,0,0.0,0.0,2020,10,,,
Quintez Cephus ,WR,DET,1,30,30,51,0,7,3,7,1.0,3.3,2020,10,,,
Gabriel Davis ,WR,BUF,1,37,37,51,0,8,0,8,0.0,0.0,2020,10,,,
Adam Trautman ,TE,NO,1,27,27,46,0,0,0,0,0.0,0.0,2020,10,,,
