Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbbrJa00,RG,HOU,Home,IND,W 26-23,2016-10-16,2016,6,6,71,100.0,0,0.0,0,0.0
/players/A/AbbrJa00,LG,HOU,Away,IND,W 22-17,2016-12-11,2016,14,13,72,100.0,0,0.0,1,3.8
/players/A/AbbrJa00,RG,HOU,Home,JAX,W 21-20,2016-12-18,2016,15,14,83,98.8,0,0.0,0,0.0
/players/A/AbbrJa00,G,HOU,Away,TEN,L 17-24,2017-01-01,2016,17,16,42,56.8,0,0.0,3,11.5
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbbrJa00,WR,DET,Home,ATL,L 26-30,2017-09-24,2017,3,3,6,8.6,0,0.0,9,27.3
/players/A/AbbrJa00,WR,DET,Away,MIN,W 14-7,2017-10-01,2017,4,4,14,20.0,0,0.0,15,65.2
/players/A/AbbrJa00,WR,DET,Home,CAR,L 24-27,2017-10-08,2017,5,5,14,23.0,0,0.0,17,53.1
/players/A/AbbrJa00,WR,DET,Away,NOR,L 38-52,2017-10-15,2017,6,6,47,58.0,0,0.0,16,34.8
/players/A/AbbrJa00,WR,DET,Home,PIT,L 15-20,2017-10-29,2017,8,7,13,18.3,0,0.0,8,29.6
/players/A/AbbrJa00,WR,DET,Away,GNB,W 30-17,2017-11-06,2017,9,8,18,26.5,0,0.0,5,21.7
/players/A/AbbrJa00,WR,DET,Home,CLE,W 38-24,2017-11-12,2017,10,9,5,9.6,0,0.0,21,67.7
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbbrJa00,T,ARI,Away,KAN,L 14-26,2018-11-11,2018,10,9,34,46.6,0,0.0,0,0.0
/players/A/AbbrJa00,RG,ARI,Home,OAK,L 21-23,2018-11-18,2018,11,10,54,100.0,0,0.0,3,9.1
/players/A/AbbrJa00,OL,ARI,Away,LAC,L 10-45,2018-11-25,2018,12,11,0,0.0,0,0.0,3,10.7
/players/A/AbbrJa00,RG,ARI,Away,GNB,W 20-17,2018-12-02,2018,13,12,62,100.0,0,0.0,4,12.9
/players/A/AbbrJa00,RG,ARI,Home,DET,L 3-17,2018-12-09,2018,14,13,70,100.0,0,0.0,2,8.3
/players/A/AbbrJa00,RG,ARI,Away,ATL,L 14-40,2018-12-16,2018,15,14,68,100.0,0,0.0,2,6.1
/players/A/AbbrJa00,RG,ARI,Home,LAR,L 9-31,2018-12-23,2018,16,15,53,100.0,0,0.0,3,11.5
/players/A/AbbrJa00,RG,ARI,Away,SEA,L 24-27,2018-12-30,2018,17,16,66,100.0,0,0.0,4,12.1
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbbrJa00,OL,DET,Away,OAK,L 24-31,2019-11-03,2019,9,8,3,4.3,0,0.0,4,15.4
/players/A/AbbrJa00,OL,DET,Away,CHI,L 13-20,2019-11-10,2019,10,9,0,0.0,0,0.0,3,10.3
/players/A/AbbrJa00,OL,DET,Home,DAL,L 27-35,2019-11-17,2019,11,10,0,0.0,0,0.0,3,10.3
/players/A/AbbrJa00,OL,DET,Away,WAS,L 16-19,2019-11-24,2019,12,11,8,10.8,0,0.0,5,16.7
