Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUF,2020,2021-01-03,2:00,2:00,,MIA,17,16,Sun,W 56-26,,56,26,30,82,3.5,covered,43.0,over,24,38,63.2,377,4,2,1,11,110.4,25,78,3.12,2,455,64,7.1094,80,5.6750,2,27:22,3:13,3,16,2,20,5,36,24,4,19,1,10,4,40.0%,0,0,,8,8,8,,,0,,,4,214,53.50
NOR,2020,2020-12-25,4:30,3:30,,MIN,16,15,Fri,W 52-33,,52,33,19,85,-6.5,covered,48.5,over,21,28,75.0,319,0,2,0,0,82.3,45,264,5.87,7,583,73,7.9863,60,6.0667,2,36:47,3:11,4,38,3,20,7,58,36,21,14,1,9,5,55.6%,1,1,100.0%,7,7,7,1,1,0,,,0,0,
CLE,2020,2020-10-04,1:00,12:00,@,DAL,4,4,Sun,W 49-38,,49,38,11,87,3.5,covered,56.5,over,20,31,64.5,201,3,0,2,1,115.3,40,307,7.68,3,508,73,6.9589,79,7.1646,,33:32,3:20,5,40,6,65,11,105,33,16,14,3,11,5,45.5%,0,0,,6,5,5,2,2,1,1,,4,171,42.75
BUF,2020,2020-12-19,4:30,2:30,@,DEN,15,14,Sat,W 48-19,,48,19,29,67,-5.5,covered,49.0,over,28,40,70.0,352,2,0,1,7,114.5,24,182,7.58,3,534,65,8.2154,63,4.0476,1,33:50,3:20,8,75,7,33,15,108,29,6,19,4,13,9,69.2%,1,0,0.0%,6,6,6,2,2,0,,,1,63,63.00
BAL,2020,2020-12-14,8:15,8:15,@,CLE,14,13,Mon,W 47-42,,47,42,5,89,-3.0,covered,46.0,over,12,21,57.1,154,1,0,4,22,100.5,32,231,7.22,5,385,57,6.7544,76,6.4868,,28:03,3:27,8,69,8,75,16,144,25,13,9,3,11,6,54.5%,1,1,100.0%,6,5,4,1,1,1,1,1,4,172,43.00
TAM,2020,2020-12-26,1:00,1:00,@,DET,16,15,Sat,W 47-7,,47,7,40,54,-9.5,covered,54.0,push,31,42,73.8,477,6,0,2,14,151.9,26,111,4.27,1,588,70,8.4000,50,3.7200,,35:53,3:02,8,65,11,117,19,182,30,5,22,3,10,4,40.0%,2,1,50.0%,7,7,5,1,,0,,,3,132,44.00
TEN,2020,2020-12-20,1:00,12:00,,DET,15,14,Sun,W 46-25,,46,25,21,71,-9.5,covered,54.5,over,21,27,77.8,268,3,0,1,5,145.8,38,195,5.13,3,463,66,7.0152,65,6.6154,,28:22,3:00,3,22,3,33,6,55,28,10,17,1,11,9,81.8%,0,0,,6,5,5,1,1,1,1,,1,47,47.00
TAM,2020,2020-11-15,1:00,1:00,@,CAR,10,10,Sun,W 46-23,,46,23,23,69,-6.0,covered,49.5,over,28,39,71.8,334,3,0,1,7,124.0,37,210,5.68,2,544,77,7.0649,47,3.9787,1,36:05,3:12,3,30,5,40,8,70,30,9,18,3,16,10,62.5%,1,1,100.0%,5,5,4,4,4,0,,,0,0,
NWE,2020,2020-12-06,4:25,1:25,@,LAC,13,12,Sun,W 45-0,,45,0,45,45,2.0,covered,46.5,under,14,22,63.6,126,2,0,1,4,110.0,43,165,3.84,2,291,66,4.4091,71,3.6338,,33:41,2:59,3,15,5,30,8,45,22,12,7,3,14,6,42.9%,1,1,100.0%,6,6,6,1,1,0,,,4,197,49.25
TEN,2020,2020-11-29,1:00,1:00,@,IND,12,11,Sun,W 45-26,,45,26,19,71,3.0,covered,51.5,over,13,22,59.1,220,1,0,1,1,108.3,45,229,5.09,4,449,68,6.6029,67,5.0149,,35:33,3:24,9,63,6,50,15,113,28,16,9,3,12,5,41.7%,1,1,100.0%,6,6,6,1,1,0,,,4,160,40.00
TAM,2020,2020-10-25,4:05,1:05,@,LVR,7,7,Sun,W 45-20,,45,20,25,65,-3.5,covered,51.5,over,33,45,73.3,369,4,0,0,0,127.0,25,85,3.40,2,454,70,6.4857,63,5.5079,,28:56,3:09,4,20,4,35,8,55,29,5,22,2,12,7,58.3%,1,1,100.0%,6,6,6,1,1,0,,,3,128,42.67
BUF,2020,2020-11-08,1:00,1:00,,SEA,9,9,Sun,W 44-34,,44,34,10,78,3.0,covered,55.5,over,31,38,81.6,386,3,0,7,29,138.5,19,34,1.79,2,420,64,6.5625,63,6.6508,,32:01,3:15,6,70,4,13,10,83,27,5,19,3,12,5,41.7%,0,0,,5,5,5,4,3,0,,,2,107,53.50
