Player,Pos,Team,Games,Snaps,Snap %,Season,Week
Aaron Rodgers,QB,GNB,1,61,1.0,2019,1
Ben Roethlisberger,QB,PIT,1,67,1.0,2019,1
Danny Amendola,WR,DET,1,44,0.52,2019,1
Darren Sproles,RB,PHI,1,22,0.3,2019,1
Delanie Walker,TE,TEN,1,27,0.46,2019,1
DeSean Jackson,WR,PHI,1,51,0.69,2019,1
Drew Brees,QB,NOR,1,66,1.0,2019,1
Eli Manning,QB,NYG,1,63,0.93,2019,1
Frank Gore,RB,BUF,1,19,0.28,2019,1
Greg Olsen,TE,CAR,1,62,0.94,2019,1
Jared Cook,TE,NOR,1,42,0.64,2019,1
Jason Witten,TE,DAL,1,45,0.66,2019,1
Joe Flacco,QB,DEN,1,62,1.0,2019,1
Julian Edelman,WR,NWE,1,67,0.96,2019,1
Larry Fitzgerald,WR,ARI,1,84,0.95,2019,1
LeSean McCoy,RB,KAN,1,20,0.29,2019,1
Marcedes Lewis,TE,GNB,1,33,0.54,2019,1
Matt Moore,QB,KAN,1,9,0.13,2019,1
Matt Ryan,QB,ATL,1,74,0.99,2019,1
Matthew Stafford,QB,DET,1,84,0.99,2019,1
Philip Rivers,QB,LAC,1,63,0.98,2019,1
Ryan Fitzpatrick,QB,MIA,1,44,0.9,2019,1
Ted Ginn,WR,NOR,1,49,0.74,2019,1
Tom Brady,QB,NWE,1,70,1.0,2019,1
Vernon Davis,TE,WAS,1,52,0.8,2019,1
Emmanuel Sanders,WR,DEN,1,55,0.89,2019,1
Jimmy Graham,TE,GNB,1,33,0.54,2019,1
Julio Jones,WR,ATL,1,50,0.67,2019,1
Cam Newton,QB,CAR,1,66,1.0,2019,1
Mark Ingram,RB,BAL,1,25,0.33,2019,1
Randall Cobb,WR,DAL,1,48,0.71,2019,1
Kyle Rudolph,TE,MIN,1,54,0.96,2019,1
Andy Dalton,QB,CIN,1,75,1.0,2019,1
Luke Stocker,TE,ATL,1,22,0.29,2019,1
Anthony Sherman,RB,KAN,1,10,0.14,2019,1
Dion Lewis,RB,TEN,1,24,0.41,2019,1
Lee Smith,TE,BUF,1,26,0.39,2019,1
Charles Clay,TE,ARI,1,14,0.16,2019,1
Dwayne Harris,WR,OAK,1,2,0.04,2019,1
Tyrod Taylor,QB,LAC,1,1,0.02,2019,1
Virgil Green,TE,LAC,1,26,0.41,2019,1
Robert Griffin,QB,BAL,1,23,0.3,2019,1
Ryan Tannehill,QB,TEN,1,2,0.03,2019,1
Nick Foles,QB,JAX,1,11,0.19,2019,1
Kirk Cousins,QB,MIN,1,53,0.95,2019,1
Russell Wilson,QB,SEA,1,51,1.0,2019,1
Alshon Jeffery,WR,PHI,1,59,0.8,2019,1
Mohamed Sanu,WR,ATL,1,62,0.83,2019,1
T.Y. Hilton,WR,IND,1,56,0.89,2019,1
Jarius Wright,WR,CAR,1,39,0.59,2019,1
Travis Benjamin,WR,LAC,1,30,0.47,2019,1
Marvin Jones,WR,DET,1,68,0.8,2019,1
Rhett Ellison,TE,NYG,1,22,0.32,2019,1
Brandon Bolden,RB,NWE,1,1,0.01,2019,1
Case Keenum,QB,WAS,1,64,0.98,2019,1
Josh Gordon,WR,NWE,1,55,0.79,2019,1
Cole Beasley,WR,BUF,1,45,0.67,2019,1
Chris Hogan,WR,CAR,1,5,0.08,2019,1
Jamize Olawale,RB,DAL,1,16,0.24,2019,1
Josh Bellamy,WR,NYJ,1,6,0.08,2019,1
Travis Kelce,TE,KAN,1,50,0.72,2019,1
Marquise Goodwin,WR,SFO,1,48,0.73,2019,1
Russell Shepard,WR,NYG,1,8,0.12,2019,1
DeAndre Hopkins,WR,HOU,1,63,0.98,2019,1
Robert Woods,WR,LAR,1,72,0.95,2019,1
Kenny Stills,WR,HOU,1,27,0.42,2019,1
Cordarrelle Patterson,WR,CHI,1,20,0.28,2019,1
Keenan Allen,WR,LAC,1,52,0.81,2019,1
Tavon Austin,WR,DAL,1,25,0.37,2019,1
Giovani Bernard,RB,CIN,1,47,0.63,2019,1
Le'Veon Bell,RB,NYJ,1,71,1.0,2019,1
Chris Thompson,RB,WAS,1,41,0.63,2019,1
Rex Burkhead,RB,NWE,1,32,0.46,2019,1
Zach Ertz,TE,PHI,1,61,0.82,2019,1
Tyler Eifert,TE,CIN,1,37,0.49,2019,1
Levine Toilolo,TE,SFO,1,11,0.17,2019,1
Vance McDonald,TE,PIT,1,48,0.72,2019,1
Kyle Juszczyk,RB,SFO,1,31,0.47,2019,1
Latavius Murray,RB,NOR,1,18,0.27,2019,1
Ryan Griffin,TE,NYJ,1,67,0.94,2019,1
Demetrius Harris,TE,CLE,1,11,0.15,2019,1
C.J. Anderson,RB,DET,1,24,0.28,2019,1
Jaron Brown,WR,SEA,1,40,0.78,2019,1
Zach Line,RB,NOR,1,10,0.15,2019,1
James Develin,RB,NWE,1,32,0.46,2019,1
Jack Doyle,TE,IND,1,43,0.68,2019,1
Patrick DiMarco,RB,BUF,1,31,0.46,2019,1
Derek Carr,QB,OAK,1,55,1.0,2019,1
Logan Thomas,TE,DET,1,7,0.08,2019,1
Carlos Hyde,RB,HOU,1,23,0.36,2019,1
Devonta Freeman,RB,ATL,1,36,0.48,2019,1
