Team,Season,Date,Time,Away_Home,Opp,Week,G#,Day,Month,Result,OT,Points_For,Points_Against,PD,Points_Comb,Spread,Vs_Line,Over/Under,OU Result,TPass_Cmp,TPass_Att,TPass_Cmp%,TPass_Yds,TPass_TD,TPass_Int,TSack,TSack_Yds,TQB_Rate,TRush_Att,TRush_Yds,TRush_Y/A,TRush_TD,TTot_Yds,TO_Play#,TO_Y/P,TD_Play#,TD_Y/P,TTot_TO,TO_ToP,TGame_Dur,Pen,TPen_Yds,TOpp_Pen,TOpp_Pen_Yds,TComb_Pen,TComb_Pen_Yds,T1st_Downs,T1st_by_Rsh,T1st_by_Pass,T1st_by_Pen,T3rd_Down_Att,T3rd_Down_Conv,T3rd_Down%,T4th_Down_Att,T4th_Down_Conv,T4th_Down%,TTot_TD,TXP_Att,TXP_Made,TFG_Att,TFG_Made,T2Pt_Att,T2Pt_Made,TSfty,TTimes_Punted,TPunt_Yds,TPunt_Yds_Avg,TOpp_Tot_TD,TOpp_XP_Att,TOpp_XP_Made,TOpp_FG_Att,TOpp_FG_Made,TOpp_Sfty,TOpp_Pass_Cmp,TOpp_Pass_Att,TOpp_Pass_Cmp%,TOpp_Pass_Yds,TOpp_Pass_TD,TOpp_Pass_Int,TOpp_Sk,TOpp_Sk_Yds,TOpp_QB_Rate,TOpp_Rush_Att,TOpp_Rush_Yds,TOpp_Rush_Y/A,TOpp_Rush_TD,TOpp_Tot_Yds,TOpp_Tot_TO,TOpp_1st_Downs,TOpp_1st_by_Rsh,TOpp_1st_by_Pass,TOpp_1st_by_Pen,TOpp_3rd_Down_Att,TOpp_3rd_Down_Conv,TOpp_3rd_Down%,TOpp_4th_Down_Att,TOpp_4th_Down_Conv,TOpp_4th_Down%,TMargin_Rush,TMargin_Pass,TMargin_TotYds,TTO_TD,TKR_TD,TPR_TD,TInt_TD,TFmb_TD,TOtherRet_TD,TAll_Ret_TD,TMar_Thru_Q1,TMar_Thru_Q2,TMar_Thru_Q3,TScore_Diff_Q1,TScore_Diff_Q2,TScore_Diff_Q3,TScore_Diff_Q4,TScore_Diff_1stHalf,TScore_Diff_2ndHalf
LAR,2018,2018-11-19,8:15,Home,KAN,11,11,Mon,11,W 54-51,,54.0,51.0,3.0,105.0,-3.0,push,63.5,over,31.0,49.0,0.6326530612244898,379.0,4.0,0.0,5.0,34.0,117.1,21.0,76.0,3.62,1.0,455.0,75.0,6.0667,69.0,7.913,2.0,1823.0,13320.0,8.0,60.0,13.0,135.0,21.0,195.0,29.0,4.0,21.0,4.0,14.0,5.0,0.35714285714285715,1.0,1.0,1.0,7.0,7.0,6.0,2.0,2.0,0.0,0.0,0.0,4.0,222.0,55.5,7.0,7.0,6.0,1.0,1.0,0.0,33.0,46.0,0.717391304347826,448.0,6.0,3.0,3.0,30.0,114.9,20.0,98.0,4.9,0.0,546.0,5.0,27.0,2.0,21.0,4.0,10.0,5.0,0.5,1.0,1.0,1.0,-22.0,-69.0,-91.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,10.0,6.0,-6.0,10.0,-7.0,0.0,3.0
PIT,2018,2018-11-08,8:20,Home,CAR,10,9,Thu,11,W 52-21,,52.0,21.0,31.0,73.0,-3.5,covered,51.0,over,23.0,27.0,0.8518518518518519,319.0,5.0,0.0,1.0,6.0,156.4,30.0,138.0,4.6,1.0,457.0,58.0,7.8793,56.0,4.3214,0.0,1835.0000000000002,10140.0,1.0,24.0,5.0,42.0,6.0,66.0,25.0,10.0,14.0,1.0,11.0,8.0,0.7272727272727273,0.0,0.0,,7.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,80.0,40.0,3.0,3.0,3.0,0.0,0.0,0.0,23.0,29.0,0.7931034482758621,147.0,2.0,1.0,5.0,46.0,96.4,22.0,95.0,4.32,1.0,242.0,2.0,18.0,5.0,12.0,1.0,11.0,4.0,0.36363636363636365,1.0,1.0,1.0,43.0,172.0,215.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,17.0,31.0,14.0,3.0,14.0,0.0,17.0,14.0
KAN,2018,2018-11-19,8:15,Away,LAR,11,11,Mon,11,L 51-54,,51.0,54.0,-3.0,105.0,3.0,push,63.5,over,33.0,46.0,0.717391304347826,448.0,6.0,3.0,3.0,30.0,117.6,20.0,98.0,4.9,0.0,546.0,69.0,7.913,75.0,6.0667,5.0,1777.0,13320.0,13.0,135.0,8.0,60.0,21.0,195.0,27.0,2.0,21.0,4.0,10.0,5.0,0.5,1.0,1.0,1.0,7.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,142.0,47.33,7.0,7.0,6.0,2.0,2.0,0.0,31.0,49.0,0.6326530612244898,379.0,4.0,0.0,5.0,34.0,114.2,21.0,76.0,3.62,1.0,455.0,2.0,29.0,4.0,21.0,4.0,14.0,5.0,0.35714285714285715,1.0,1.0,1.0,22.0,69.0,91.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,-6.0,0.0,-10.0,-6.0,6.0,-10.0,7.0,0.0,-3.0
NOR,2018,2018-11-11,1:00,Away,CIN,10,9,Sun,11,W 51-14,,51.0,14.0,37.0,65.0,-6.0,covered,53.5,over,22.0,27.0,0.8148148148148148,265.0,3.0,0.0,0.0,0.0,144.6,47.0,244.0,5.19,3.0,509.0,74.0,6.8784,43.0,6.6047,0.0,2386.0,9840.0,1.0,5.0,4.0,26.0,5.0,31.0,33.0,18.0,13.0,2.0,12.0,7.0,0.5833333333333334,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,14.0,23.0,0.6086956521739131,174.0,1.0,2.0,4.0,24.0,62.6,16.0,110.0,6.88,1.0,284.0,2.0,13.0,4.0,9.0,0.0,6.0,0.0,0.0,2.0,1.0,0.5,134.0,91.0,225.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,38.0,0.0,28.0,10.0,-1.0,28.0,9.0
CHI,2018,2018-09-30,1:00,Home,TAM,4,4,Sun,9,W 48-10,,48.0,10.0,38.0,58.0,-3.0,covered,46.0,over,19.0,26.0,0.7307692307692307,344.0,6.0,0.0,1.0,10.0,154.6,31.0,139.0,4.48,0.0,483.0,58.0,8.3276,60.0,5.1833,0.0,1686.0,10620.0,4.0,38.0,11.0,99.0,15.0,137.0,28.0,10.0,15.0,3.0,8.0,4.0,0.5,0.0,0.0,,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,96.0,48.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,38.0,0.6578947368421053,251.0,1.0,3.0,4.0,20.0,60.3,18.0,60.0,3.33,0.0,311.0,3.0,16.0,3.0,12.0,1.0,12.0,3.0,0.25,2.0,2.0,1.0,79.0,93.0,172.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,42.0,14.0,21.0,7.0,-4.0,35.0,3.0
NOR,2018,2018-11-18,4:25,Home,PHI,11,10,Sun,11,W 48-7,,48.0,7.0,41.0,55.0,-7.0,covered,56.5,under,23.0,32.0,0.71875,373.0,4.0,0.0,0.0,0.0,150.1,37.0,173.0,4.68,2.0,546.0,69.0,7.913,48.0,4.0833,0.0,2254.0,11220.0,8.0,69.0,6.0,49.0,14.0,118.0,28.0,6.0,21.0,1.0,11.0,6.0,0.5454545454545454,1.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,99.0,49.5,1.0,1.0,1.0,0.0,0.0,0.0,19.0,33.0,0.5757575757575758,138.0,0.0,3.0,3.0,18.0,29.6,12.0,58.0,4.83,1.0,196.0,3.0,13.0,2.0,9.0,2.0,10.0,3.0,0.3,2.0,0.0,0.0,115.0,235.0,350.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,31.0,10.0,7.0,14.0,10.0,17.0,24.0
NYJ,2018,2018-09-10,7:10,Away,DET,1,1,Mon,9,W 48-17,,48.0,17.0,31.0,65.0,7.0,covered,44.0,over,16.0,21.0,0.7619047619047619,180.0,2.0,1.0,2.0,18.0,116.8,36.0,169.0,4.69,2.0,349.0,59.0,5.9153,67.0,5.0597,2.0,1987.0000000000002,11880.0,7.0,49.0,3.0,15.0,10.0,64.0,18.0,7.0,10.0,1.0,14.0,6.0,0.42857142857142855,3.0,2.0,0.6666666666666666,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,3.0,112.0,37.33,2.0,2.0,2.0,3.0,1.0,0.0,29.0,52.0,0.5576923076923077,300.0,1.0,5.0,0.0,0.0,39.4,15.0,39.0,2.6,0.0,339.0,5.0,20.0,2.0,15.0,3.0,13.0,3.0,0.23076923076923078,2.0,0.0,0.0,130.0,-120.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,31.0,0.0,7.0,24.0,0.0,7.0,24.0
LAR,2018,2018-12-30,4:25,Home,SFO,17,16,Sun,12,W 48-32,,48.0,32.0,16.0,80.0,-10.5,covered,49.5,over,17.0,29.0,0.5862068965517241,222.0,4.0,0.0,0.0,0.0,122.4,42.0,155.0,3.69,1.0,377.0,71.0,5.3099,58.0,6.7414,0.0,1910.0000000000002,11700.0,6.0,57.0,5.0,41.0,11.0,98.0,28.0,12.0,13.0,3.0,16.0,10.0,0.625,1.0,0.0,0.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,3.0,130.0,43.33,4.0,3.0,3.0,1.0,1.0,0.0,23.0,33.0,0.696969696969697,264.0,3.0,3.0,3.0,18.0,85.9,22.0,127.0,5.77,1.0,391.0,4.0,22.0,5.0,13.0,4.0,11.0,3.0,0.2727272727272727,1.0,1.0,1.0,28.0,-42.0,-14.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,21.0,28.0,11.0,10.0,7.0,-12.0,21.0,-5.0
TAM,2018,2018-09-09,1:00,Away,NOR,1,1,Sun,9,W 48-40,,48.0,40.0,8.0,88.0,10.0,covered,50.0,over,21.0,28.0,0.75,417.0,4.0,0.0,0.0,0.0,156.2,34.0,112.0,3.29,1.0,529.0,62.0,8.5323,59.0,8.0508,0.0,1929.0000000000002,11580.0,7.0,70.0,8.0,77.0,15.0,147.0,26.0,5.0,17.0,4.0,13.0,8.0,0.6153846153846154,0.0,0.0,,6.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,42.0,42.0,5.0,3.0,3.0,1.0,1.0,0.0,37.0,45.0,0.8222222222222222,432.0,3.0,0.0,1.0,7.0,128.9,13.0,43.0,3.31,2.0,475.0,2.0,26.0,5.0,19.0,2.0,9.0,4.0,0.4444444444444444,1.0,1.0,1.0,69.0,-15.0,54.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,7.0,17.0,4.0,3.0,10.0,-9.0,7.0,1.0
BAL,2018,2018-09-09,1:00,Home,BUF,1,1,Sun,9,W 47-3,,47.0,3.0,44.0,50.0,-7.5,covered,39.0,over,26.0,38.0,0.6842105263157895,252.0,3.0,0.0,2.0,8.0,113.9,34.0,117.0,3.44,3.0,369.0,74.0,4.9865,61.0,2.5082,1.0,2114.0,12060.0,9.0,78.0,10.0,100.0,19.0,178.0,26.0,11.0,13.0,2.0,14.0,6.0,0.42857142857142855,0.0,0.0,,6.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,5.0,257.0,51.4,0.0,0.0,0.0,2.0,1.0,0.0,11.0,33.0,0.3333333333333333,70.0,0.0,2.0,6.0,28.0,17.1,22.0,83.0,3.77,0.0,153.0,2.0,10.0,3.0,5.0,2.0,15.0,2.0,0.13333333333333333,1.0,0.0,0.0,34.0,182.0,216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,37.0,14.0,12.0,11.0,7.0,26.0,18.0
