Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
CAR,2020,2020-11-22,1:00,1:00,,DET,11,11,Sun,W 20-0,,0,0,0,1,0,0,18,33,54.5,145,0,0,5,33,65.8,17,40,2.35,0,185,1,10,0,9,1,14,3,21.4%,3,1,33.3%,76,113,189,-1,0,0,0,0,0,0,7,7,17,7,0,10,3,7,13
CLE,2020,2020-12-20,8:20,8:20,@,NYG,15,14,Sun,W 20-6,,0,0,0,2,2,0,19,32,59.4,214,0,0,1,7,79.4,21,74,3.52,0,288,,14,4,10,0,11,5,45.5%,2,0,0.0%,32,72,104,0,0,0,0,0,0,0,-3,10,10,-3,13,0,4,10,4
KAN,2020,2020-11-01,1:00,12:00,,NYJ,8,8,Sun,W 35-9,,0,0,0,4,3,0,18,30,60.0,128,0,0,1,5,69.9,25,93,3.72,0,221,1,13,4,8,1,12,2,16.7%,2,2,100.0%,-43,318,275,1,0,0,0,0,0,0,11,12,19,11,1,7,7,12,14
MIA,2020,2020-10-18,4:05,4:05,,NYJ,6,6,Sun,W 24-0,,0,0,0,1,0,0,21,44,47.7,148,0,1,3,38,46.4,22,115,5.23,0,263,1,13,5,7,1,17,2,11.8%,3,2,66.7%,-5,44,39,-1,0,0,0,0,0,0,7,21,24,7,14,3,0,21,3
MIA,2020,2020-11-29,1:00,1:00,@,NYJ,12,11,Sun,W 20-3,,0,0,0,2,1,0,16,27,59.3,173,0,2,3,24,47.3,23,87,3.78,0,260,2,10,4,6,0,13,3,23.1%,1,0,0.0%,17,68,85,0,0,0,0,0,0,0,0,10,10,0,10,0,7,10,7
MIA,2020,2020-12-20,1:00,1:00,,NWE,15,14,Sun,W 22-12,,0,0,0,4,4,0,17,27,63.0,186,0,0,3,23,83.3,22,117,5.32,0,303,1,18,7,8,3,9,2,22.2%,1,0,0.0%,133,-53,80,0,0,0,0,0,0,0,0,-6,-2,0,-6,4,12,-6,16
NOR,2020,2020-11-08,8:20,8:20,@,TAM,9,8,Sun,W 38-3,,0,0,0,1,1,0,22,38,57.9,186,0,3,3,23,37.8,5,8,1.60,0,194,3,13,0,10,3,9,1,11.1%,3,0,0.0%,130,96,226,1,0,0,0,0,0,0,14,31,31,14,17,0,4,31,4
NOR,2020,2020-11-22,1:00,12:00,,ATL,11,10,Sun,W 24-9,,0,0,0,3,3,0,19,37,51.4,196,0,2,8,36,44.4,14,52,3.71,0,248,2,14,1,10,3,14,2,14.3%,3,2,66.7%,114,14,128,1,0,0,0,0,0,0,0,1,8,0,1,7,7,1,14
NOR,2020,2020-11-29,4:05,2:05,@,DEN,12,11,Sun,W 31-3,,0,0,0,1,1,0,1,9,11.1,12,0,2,1,1,0.0,33,100,3.03,0,112,3,6,5,1,0,10,1,10.0%,0,0,,129,51,180,2,0,0,0,0,0,0,0,17,21,0,17,4,7,17,11
NWE,2020,2020-10-18,1:00,1:00,,DEN,6,5,Sun,L 12-18,,0,0,0,6,6,0,10,24,41.7,164,0,2,2,25,30.6,37,135,3.65,0,299,2,15,7,7,1,14,4,28.6%,0,0,,-18,7,-11,-1,0,0,0,0,0,0,-6,-9,-15,-6,-3,-6,9,-9,3
NWE,2020,2020-12-06,4:25,1:25,@,LAC,13,12,Sun,W 45-0,,0,0,0,2,0,0,26,53,49.1,188,0,2,3,21,42.0,15,70,4.67,0,258,2,17,4,12,1,18,7,38.9%,5,1,20.0%,95,-62,33,2,0,1,0,0,1,2,7,28,35,7,21,7,10,28,17
