Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Gurley,HB,23.136,2017-12-17,NFL,LAR,@,SEA,W 42-7,14,15,Sun,0,0,,0,0,0,,0,0,,,21,152,7.24,3,3,3,28,9.33,1,100.0%,9.33,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell,RB,25.295,2017-12-10,NFL,PIT,,BAL,W 39-38,13,14,Sun,0,0,,0,0,0,,0,0,,,13,48,3.69,2,10,9,77,8.56,1,90.0%,7.70,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Antonio Brown ,WR,29.129,2017-11-16,NFL,PIT,,TEN,W 40-17,10,11,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,13,10,144,14.40,3,76.9%,11.08,,,,,,,,,3,18,0,0,,0,2,23,11.50,0,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0
Corey Clement,RB,23.003,2017-11-05,NFL,PHI,,DEN,W 51-23,9,9,Sun,0,0,,0,0,0,,0,0,,,12,51,4.25,2,1,1,15,15.00,1,100.0%,15.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Michael Crabtree,WR,30.003,2017-09-17,NFL,OAK,,NYJ,W 45-20,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,80,13.33,3,100.0%,13.33,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ezekiel Elliott,RB,22.092,2017-10-22,NFL,DAL,@,SFO,W 40-10,6,7,Sun,0,0,,0,0,0,,0,0,,,26,147,5.65,2,3,1,72,72.00,1,33.3%,24.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Mike Gillislee ,RB,26.310,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,0,0,,0,0,0,,0,0,,,15,45,3.00,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,RB,23.049,2017-09-21,NFL,LAR,@,SFO,W 41-39,3,3,Thu,0,0,,0,0,0,,0,0,,,28,113,4.04,2,7,5,36,7.20,1,71.4%,5.14,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0
DeAndre Hopkins,WR,25.124,2017-10-08,NFL,HOU,,KAN,L 34-42,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,4,52,13.00,3,33.3%,4.33,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Kareem Hunt,RB,22.032,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,0,0,,0,0,0,,0,0,,,17,148,8.71,1,5,5,98,19.60,2,100.0%,19.60,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,1,1,0,0,0,0
Mark Ingram,RB,27.326,2017-11-12,NFL,NOR,@,BUF,W 47-10,9,10,Sun,0,0,,0,0,0,,0,0,,,21,131,6.24,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Marcedes Lewis,TE,33.128,2017-09-24,NFL,JAX,,BAL,W 44-7,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,62,15.50,3,80.0%,12.40,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
