Player,Team,Season,Date,Status,Opp,Injury,Week
Marcus Gilbert,ARI,2020,2020-09-13,Injured Reserve,SFO,,1
Josh Jones,ARI,2020,2020-09-13,Out,SFO,Ankle,1
Brett Toth,ARI,2020,2020-09-13,Injured Reserve,SFO,,1
Mason Cole,ARI,2020,2020-09-20,Out,WAS,Hamstring,2
Kylie Fitts,ARI,2020,2020-09-20,Questionable,WAS,Wrist,2
Josh Jones,ARI,2020,2020-09-20,Questionable,WAS,Ankle,2
Jalen Thompson,ARI,2020,2020-09-20,Injured Reserve,WAS,,2
Brett Toth,ARI,2020,2020-09-20,Injured Reserve,WAS,,2
Maxx Williams,ARI,2020,2020-09-20,Out,WAS,Ankle,2
Mason Cole,ARI,2020,2020-09-27,Out,DET,Hamstring,3
Christian Kirk,ARI,2020,2020-09-27,Out,DET,Groin,3
Dre Kirkpatrick,ARI,2020,2020-09-27,Questionable,DET,Neck,3
Jordan Phillips,ARI,2020,2020-09-27,Questionable,DET,Ankle,3
Jalen Thompson,ARI,2020,2020-09-27,Injured Reserve,DET,,3
Brett Toth,ARI,2020,2020-09-27,Injured Reserve,DET,,3
Maxx Williams,ARI,2020,2020-09-27,Injured Reserve,DET,,3
Budda Baker,ARI,2020,2020-10-04,Out,CAR,Thumb,4
Chris Banjo,ARI,2020,2020-10-04,Out,CAR,Hamstring,4
Mason Cole,ARI,2020,2020-10-04,Questionable,CAR,Hamstring,4
Dennis Gardeck,ARI,2020,2020-10-04,Questionable,CAR,Foot,4
DeAndre Hopkins,ARI,2020,2020-10-04,Questionable,CAR,Ankle,4
Devon Kennard,ARI,2020,2020-10-04,Questionable,CAR,Calf,4
Christian Kirk,ARI,2020,2020-10-04,Questionable,CAR,Groin,4
Dre Kirkpatrick,ARI,2020,2020-10-04,Questionable,CAR,Concussion,4
Jalen Thompson,ARI,2020,2020-10-04,Injured Reserve,CAR,,4
Brett Toth,ARI,2020,2020-10-04,Injured Reserve,CAR,,4
Tanner Vallejo,ARI,2020,2020-10-04,Questionable,CAR,Illness,4
Maxx Williams,ARI,2020,2020-10-04,Injured Reserve,CAR,,4
Chris Banjo,ARI,2020,2020-10-11,Questionable,NYJ,Hamstring,5
Darrell Daniels,ARI,2020,2020-10-11,Questionable,NYJ,Thigh,5
Devon Kennard,ARI,2020,2020-10-11,Out,NYJ,Calf,5
Jordan Phillips,ARI,2020,2020-10-11,Questionable,NYJ,Illness,5
Jalen Thompson,ARI,2020,2020-10-11,Injured Reserve,NYJ,,5
Brett Toth,ARI,2020,2020-10-11,Injured Reserve,NYJ,,5
Maxx Williams,ARI,2020,2020-10-11,Injured Reserve,NYJ,,5
Kylie Fitts,ARI,2020,2020-10-19,Out,DAL,Hamstring,6
Dennis Gardeck,ARI,2020,2020-10-19,Questionable,DAL,Foot,6
D.J. Humphries,ARI,2020,2020-10-19,Questionable,DAL,Back,6
Chandler Jones,ARI,2020,2020-10-19,Injured Reserve,DAL,,6
Devon Kennard,ARI,2020,2020-10-19,Questionable,DAL,Calf,6
Rashard Lawrence,ARI,2020,2020-10-19,Injured Reserve,DAL,,6
J.R. Sweezy,ARI,2020,2020-10-19,Injured Reserve,DAL,,6
Jalen Thompson,ARI,2020,2020-10-19,Injured Reserve,DAL,,6
Maxx Williams,ARI,2020,2020-10-19,Injured Reserve,DAL,,6
Kelvin Beachum,ARI,2020,2020-10-25,Questionable,SEA,Ankle,7
Kylie Fitts,ARI,2020,2020-10-25,Questionable,SEA,Hamstring,7
Dennis Gardeck,ARI,2020,2020-10-25,Questionable,SEA,Foot,7
DeAndre Hopkins,ARI,2020,2020-10-25,Questionable,SEA,Ankle,7
Chandler Jones,ARI,2020,2020-10-25,Injured Reserve,SEA,,7
Dre Kirkpatrick,ARI,2020,2020-10-25,Questionable,SEA,Foot,7
Rashard Lawrence,ARI,2020,2020-10-25,Injured Reserve,SEA,,7
Jordan Phillips,ARI,2020,2020-10-25,Questionable,SEA,Foot,7
