Player,Pos,Team,Games,Snaps,Snap %,Season,Week
,QB,GNB,1,46,77,2018,1
,RB,WAS,1,42,53,2018,1
,QB,WAS,1,79,99,2018,1
,QB,PIT,1,84,100,2018,1
,TE,NOR,1,51,80,2018,1
,WR,SEA,1,37,65,2018,1
,WR,MIA,1,45,73,2018,1
,RB,PHI,1,29,40,2018,1
,WR,PIT,1,1,1,2018,1
,TE,TEN,1,39,57,2018,1
,WR,TAM,1,20,29,2018,1
,QB,NOR,1,64,100,2018,1
,QB,NYG,1,71,100,2018,1
,RB,MIA,1,18,29,2018,1
,TE,CAR,1,16,23,2018,1
,TE,OAK,1,64,91,2018,1
,QB,BAL,1,55,69,2018,1
,RB,NYG,1,10,14,2018,1
,WR,OAK,1,68,97,2018,1
,WR,ARI,1,52,98,2018,1
,RB,BUF,1,34,52,2018,1
,TE,GNB,1,7,12,2018,1
,RB,OAK,1,24,34,2018,1
,QB,DET,1,8,11,2018,1
,QB,ATL,1,70,99,2018,1
,QB,DET,1,62,89,2018,1
,WR,BAL,1,53,66,2018,1
,WR,PHI,1,66,92,2018,1
,QB,LAC,1,82,100,2018,1
,WR,SFO,1,52,80,2018,1
,QB,TAM,1,66,97,2018,1
,WR,NOR,1,50,78,2018,1
,QB,NWE,1,75,100,2018,1
,TE,WAS,1,48,60,2018,1
,QB,ARI,1,53,100,2018,1
,WR,DET,1,57,81,2018,1
,WR,DEN,1,53,72,2018,1
,WR,NYJ,1,10,17,2018,1
,WR,DEN,1,64,86,2018,1
,TE,GNB,1,59,98,2018,1
,RB,DET,1,13,19,2018,1
,TE,NWE,1,75,100,2018,1
,RB,BUF,1,7,11,2018,1
,WR,PIT,1,83,99,2018,1
,TE,ATL,1,19,27,2018,1
,WR,CIN,1,53,95,2018,1
,QB,TEN,1,33,48,2018,1
,WR,ATL,1,57,80,2018,1
,QB,CAR,1,67,97,2018,1
,WR,CAR,1,51,74,2018,1
,RB,TAM,1,15,22,2018,1
,WR,GNB,1,52,87,2018,1
,TE,MIN,1,59,83,2018,1
,QB,CIN,1,56,100,2018,1
,TE,GNB,1,19,32,2018,1
,TE,TEN,1,25,36,2018,1
,RB,NYJ,1,24,40,2018,1
,RB,KAN,1,17,29,2018,1
,RB,TEN,1,49,71,2018,1
,WR,BUF,1,44,68,2018,1
,TE,JAX,1,18,28,2018,1
,TE,OAK,1,8,11,2018,1
,TE,BUF,1,40,62,2018,1
,QB,CLE,1,89,100,2018,1
,TE,LAC,1,44,54,2018,1
,WR,NYJ,1,24,40,2018,1
,WR,SEA,1,11,19,2018,1
,QB,IND,1,82,100,2018,1
,QB,MIA,1,62,100,2018,1
,QB,PHI,1,72,100,2018,1
,QB,MIN,1,71,100,2018,1
,QB,SEA,1,57,100,2018,1
,RB,HOU,1,57,77,2018,1
,RB,OAK,1,9,13,2018,1
,WR,ATL,1,56,79,2018,1
,WR,IND,1,80,98,2018,1
,WR,CAR,1,31,45,2018,1
,WR,LAC,1,47,57,2018,1
,WR,DET,1,62,89,2018,1
,TE,NWE,1,23,31,2018,1
,TE,NYG,1,29,41,2018,1
,RB,SFO,1,33,51,2018,1
,WR,TEN,1,36,52,2018,1
,WR,BUF,1,11,17,2018,1
,TE,OAK,1,23,33,2018,1
,QB,DEN,1,74,100,2018,1
,WR,DAL,1,30,46,2018,1
,WR,CLE,1,69,78,2018,1
,WR,DAL,1,43,66,2018,1
,WR,NWE,1,68,91,2018,1
,RB,DAL,1,6,9,2018,1
,TE,SFO,1,23,35,2018,1
,WR,CHI,1,2,3,2018,1
,TE,KAN,1,56,95,2018,1
,WR,SFO,1,16,25,2018,1
,WR,NYG,1,3,4,2018,1
,WR,HOU,1,73,99,2018,1
,WR,PHI,1,2,3,2018,1
,WR,LAR,1,61,97,2018,1
,WR,MIA,1,59,95,2018,1
,WR,NWE,1,16,21,2018,1
,WR,LAC,1,72,88,2018,1
,WR,DAL,1,10,15,2018,1
,WR,PIT,1,51,61,2018,1
,WR,DAL,1,19,29,2018,1
,RB,KAN,1,9,15,2018,1
,RB,CIN,1,12,21,2018,1
,RB,DET,1,41,59,2018,1
,RB,WAS,1,33,41,2018,1
,RB,NWE,1,38,51,2018,1
,RB,NOR,1,7,11,2018,1
,RB,IND,1,3,4,2018,1
,TE,PHI,1,70,97,2018,1
,TE,WAS,1,41,51,2018,1
,TE,CHI,1,20,29,2018,1
,TE,CIN,1,23,41,2018,1
,TE,DET,1,20,29,2018,1
,RB,SFO,1,26,40,2018,1
,TE,DET,1,14,20,2018,1
,RB,MIN,1,14,20,2018,1
,TE,HOU,1,63,85,2018,1
,RB,CAR,1,12,17,2018,1
,WR,SEA,1,33,58,2018,1
,RB,NOR,1,11,17,2018,1
,RB,NWE,1,35,47,2018,1
,TE,IND,1,77,94,2018,1
,RB,BUF,1,1,2,2018,1
,QB,JAX,1,63,98,2018,1
,QB,OAK,1,70,100,2018,1
,TE,BUF,1,18,28,2018,1
,RB,NWE,1,12,16,2018,1
,RB,CLE,1,47,53,2018,1
,WR,KAN,1,7,12,2018,1
,RB,ATL,1,39,55,2018,1
,RB,NYJ,1,24,40,2018,1
,WR,KAN,1,51,86,2018,1
,WR,TAM,1,50,74,2018,1
,WR,BUF,1,47,72,2018,1
,WR,LAR,1,61,97,2018,1
,WR,GNB,1,59,98,2018,1
,WR,JAX,1,44,69,2018,1
,WR,CHI,1,67,96,2018,1
,WR,NYG,1,68,96,2018,1
,WR,CLE,1,81,91,2018,1
,WR,WAS,1,61,76,2018,1
,WR,DET,1,17,24,2018,1
,WR,HOU,1,65,88,2018,1
,TE,IND,1,37,45,2018,1
,TE,JAX,1,55,86,2018,1
,TE,PIT,1,22,26,2018,1
,TE,CHI,1,61,87,2018,1
,RB,NWE,1,36,48,2018,1
,WR,NYG,1,47,66,2018,1
,QB,SFO,1,65,100,2018,1
,WR,BAL,1,48,60,2018,1
,WR,IND,1,66,80,2018,1
,RB,HOU,1,10,14,2018,1
,WR,NYJ,1,40,67,2018,1
,RB,KAN,1,7,12,2018,1
,WR,MIA,1,34,55,2018,1
,TE,IND,1,5,6,2018,1
,WR,CHI,1,60,86,2018,1
,WR,BAL,1,43,54,2018,1
,WR,DAL,1,38,58,2018,1
,RB,OAK,1,6,9,2018,1
,WR,MIN,1,68,96,2018,1
,TE,TAM,1,24,35,2018,1
,RB,PIT,1,19,23,2018,1
,WR,TAM,1,13,19,2018,1
,TE,NOR,1,24,38,2018,1
,TE,CLE,1,39,44,2018,1
,TE,NYG,1,4,6,2018,1
,WR,OAK,1,45,64,2018,1
,QB,TEN,1,36,52,2018,1
,WR,OAK,1,66,94,2018,1
,WR,CHI,1,12,17,2018,1
,RB,LAC,1,62,76,2018,1
,WR,HOU,1,6,8,2018,1
,RB,LAR,1,59,94,2018,1
,WR,CAR,1,57,83,2018,1
,TE,BAL,1,44,55,2018,1
,RB,ATL,1,36,51,2018,1
,RB,CLE,1,42,47,2018,1
,RB,PHI,1,29,40,2018,1
,RB,JAX,1,40,63,2018,1
,RB,BAL,1,30,38,2018,1
,RB,ARI,1,36,68,2018,1
,RB,LAR,1,4,6,2018,1
,RB,BUF,1,23,35,2018,1
,TE,PIT,1,69,82,2018,1
,TE,CIN,1,18,32,2018,1
,TE,DEN,1,60,81,2018,1
,TE,BAL,1,54,68,2018,1
,WR,PHI,1,68,94,2018,1
,WR,ATL,1,6,8,2018,1
,WR,SEA,1,56,98,2018,1
,WR,WAS,1,49,61,2018,1
,RB,GNB,1,23,38,2018,1
,WR,NWE,1,57,76,2018,1
,WR,MIN,1,61,86,2018,1
,TE,CAR,1,35,51,2018,1
,TE,MIA,1,46,74,2018,1
,TE,CIN,1,36,64,2018,1
,WR,PHI,1,53,74,2018,1
,TE,NYJ,1,40,67,2018,1
,TE,JAX,1,26,41,2018,1
,WR,KAN,1,35,59,2018,1
,TE,DAL,1,58,89,2018,1
,RB,CHI,1,9,13,2018,1
,WR,ARI,1,1,2,2018,1
,RB,JAX,1,6,9,2018,1
,TE,DEN,1,1,1,2018,1
,WR,LAC,1,62,76,2018,1
,RB,SFO,1,1,2,2018,1
,TE,NYJ,1,29,48,2018,1
,WR,DET,1,7,10,2018,1
,RB,DAL,1,4,6,2018,1
,WR,TEN,1,6,9,2018,1
,WR,TAM,1,44,65,2018,1
,WR,MIN,1,38,54,2018,1
,RB,DAL,1,59,91,2018,1
,QB,LAR,1,63,100,2018,1
,WR,WAS,1,70,88,2018,1
,RB,TEN,1,20,29,2018,1
,WR,NOR,1,61,95,2018,1
,RB,BAL,1,27,34,2018,1
,WR,CIN,1,49,88,2018,1
,RB,DEN,1,20,27,2018,1
,WR,NYG,1,61,86,2018,1
,RB,BAL,1,22,28,2018,1
,TE,ATL,1,59,83,2018,1
,RB,CHI,1,50,71,2018,1
,WR,CLE,1,54,61,2018,1
,WR,TEN,1,58,84,2018,1
,QB,DAL,1,64,98,2018,1
,RB,NOR,1,3,5,2018,1
,RB,SEA,1,7,12,2018,1
,TE,LAR,1,60,95,2018,1
,RB,MIA,1,46,74,2018,1
,QB,JAX,1,1,2,2018,1
,TE,SEA,1,35,61,2018,1
,WR,BAL,1,19,24,2018,1
,RB,HOU,1,7,9,2018,1
,WR,KAN,1,5,8,2018,1
,TE,CLE,1,6,7,2018,1
,RB,PHI,1,1,1,2018,1
,WR,MIA,1,25,40,2018,1
,WR,NYJ,1,35,58,2018,1
,WR,NYJ,1,13,22,2018,1
,WR,CIN,1,1,2,2018,1
,RB,DEN,1,14,19,2018,1
,RB,LAC,1,7,9,2018,1
,WR,KAN,1,40,68,2018,1
,TE,CHI,1,2,3,2018,1
,WR,GNB,1,42,70,2018,1
,TE,MIN,1,30,42,2018,1
,RB,TAM,1,48,71,2018,1
,TE,DET,1,18,26,2018,1
,WR,IND,1,47,57,2018,1
,TE,KAN,1,10,17,2018,1
,WR,ATL,1,9,13,2018,1
,WR,JAX,1,3,5,2018,1
,RB,OAK,1,37,53,2018,1
,RB,WAS,1,8,10,2018,1
,TE,SFO,1,1,2,2018,1
,RB,MIN,1,13,18,2018,1
,TE,TAM,1,15,22,2018,1
,TE,PHI,1,4,6,2018,1
,WR,NOR,1,5,8,2018,1
,RB,MIN,1,57,80,2018,1
,WR,LAC,1,44,54,2018,1
,RB,JAX,1,21,33,2018,1
,TE,TAM,1,43,63,2018,1
,QB,CHI,1,70,100,2018,1
,WR,TEN,1,63,91,2018,1
,WR,CIN,1,37,66,2018,1
,QB,GNB,1,14,23,2018,1
,RB,CAR,1,57,83,2018,1
,QB,HOU,1,74,100,2018,1
,TE,CLE,1,78,88,2018,1
,WR,TAM,1,46,68,2018,1
,TE,NYG,1,64,90,2018,1
,QB,KAN,1,56,95,2018,1
,QB,BUF,1,32,49,2018,1
,RB,CIN,1,44,79,2018,1
,RB,NOR,1,52,81,2018,1
,RB,NYG,1,6,8,2018,1
,RB,GNB,1,37,62,2018,1
,RB,KAN,1,40,68,2018,1
,WR,TEN,1,9,13,2018,1
,WR,PIT,1,63,75,2018,1
,WR,BUF,1,60,92,2018,1
,WR,LAR,1,61,97,2018,1
,WR,JAX,1,32,50,2018,1
,WR,LAR,1,2,3,2018,1
,RB,PHI,1,13,18,2018,1
,RB,PIT,1,77,92,2018,1
,RB,CHI,1,28,40,2018,1
,TE,DEN,1,36,49,2018,1
,TE,NYJ,1,15,25,2018,1
,TE,LAR,1,5,8,2018,1
,TE,TEN,1,40,58,2018,1
,TE,WAS,1,34,43,2018,1
,RB,LAC,1,22,27,2018,1
,WR,PHI,1,4,6,2018,1
,WR,DET,1,65,93,2018,1
,WR,MIN,1,6,8,2018,1
,TE,SFO,1,50,77,2018,1
,TE,DET,1,14,20,2018,1
,TE,TAM,1,10,15,2018,1
,WR,SFO,1,37,57,2018,1
,WR,NOR,1,44,69,2018,1
,WR,CIN,1,2,4,2018,1
,WR,DEN,1,10,14,2018,1
,WR,PIT,1,7,8,2018,1
,TE,DAL,1,22,34,2018,1
,TE,ATL,1,13,18,2018,1
,RB,CAR,1,20,29,2018,1
,WR,ARI,1,50,94,2018,1
,TE,ARI,1,49,92,2018,1
,TE,LAR,1,2,3,2018,1
,RB,SEA,1,25,44,2018,1
,WR,SEA,1,16,28,2018,1
,TE,BUF,1,18,28,2018,1
,WR,JAX,1,48,75,2018,1
,TE,LAC,1,17,21,2018,1
,WR,IND,1,11,13,2018,1
,RB,SFO,1,30,46,2018,1
,WR,SFO,1,8,12,2018,1
,QB,NOR,1,1,2,2018,1
,RB,BAL,1,14,18,2018,1
,QB,BAL,1,31,39,2018,1
,QB,NYJ,1,60,100,2018,1
,RB,NYG,1,55,77,2018,1
,RB,DEN,1,29,39,2018,1
,RB,CLE,1,4,4,2018,1
,RB,DET,1,16,23,2018,1
,WR,DEN,1,44,59,2018,1
,WR,PIT,1,11,13,2018,1
,WR,CHI,1,39,56,2018,1
,WR,ATL,1,45,63,2018,1
,WR,DAL,1,29,45,2018,1
,WR,NOR,1,11,17,2018,1
,WR,SFO,1,47,72,2018,1
,WR,CAR,1,17,25,2018,1
,WR,WAS,1,8,10,2018,1
,WR,ARI,1,45,85,2018,1
,TE,BAL,1,22,28,2018,1
,TE,PHI,1,17,24,2018,1
,TE,MIA,1,21,34,2018,1
,WR,CLE,1,15,17,2018,1
,WR,JAX,1,14,22,2018,1
,RB,IND,1,37,45,2018,1
,QB,BUF,1,32,49,2018,1
,RB,SEA,1,25,44,2018,1
,TE,DAL,1,2,3,2018,1
,TE,CAR,1,37,54,2018,1
,TE,HOU,1,14,19,2018,1
,TE,HOU,1,37,50,2018,1
,WR,BUF,1,16,25,2018,1
,WR,DEN,1,15,20,2018,1
,RB,ARI,1,17,32,2018,1
,RB,IND,1,46,56,2018,1
,RB,DEN,1,27,36,2018,1
,TE,MIA,1,15,24,2018,1
,WR,GNB,1,2,3,2018,1
,TE,NYJ,1,34,57,2018,1
,RB,NYJ,1,12,20,2018,1
,TE,MIN,1,9,13,2018,1
,WR,ATL,1,1,1,2018,1
,WR,CLE,1,2,2,2018,1
,WR,HOU,1,37,50,2018,1
,RB,TAM,1,2,3,2018,1
,TE,SEA,1,33,58,2018,1
,WR,BAL,1,20,25,2018,1
,QB,GNB,1,76,99,2018,2
,RB,WAS,1,25,34,2018,2
,QB,WAS,1,74,100,2018,2
,QB,PIT,1,82,100,2018,2
,TE,NOR,1,54,82,2018,2
,WR,SEA,1,53,79,2018,2
,TE,CIN,1,1,1,2018,2
,WR,MIA,1,44,73,2018,2
,WR,PIT,1,6,7,2018,2
,WR,TAM,1,34,59,2018,2
,QB,NOR,1,66,100,2018,2
,QB,NYG,1,68,100,2018,2
,RB,MIA,1,24,40,2018,2
,TE,OAK,1,52,80,2018,2
,QB,BAL,1,85,99,2018,2
,RB,NYG,1,5,7,2018,2
