Player,Pos,Team,Games,Snaps,Snap %,Season,Week
Aaron Rodgers,QB,GNB,1,75,0.94,2020,1
Adrian Peterson,RB,DET,1,24,0.31,2020,1
Ben Roethlisberger,QB,PIT,1,64,0.98,2020,1
Danny Amendola,WR,DET,1,44,0.56,2020,1
DeSean Jackson,WR,PHI,1,38,0.56,2020,1
Drew Brees,QB,NOR,1,66,0.96,2020,1
Frank Gore,RB,NYJ,1,14,0.25,2020,1
Greg Olsen,TE,SEA,1,41,0.64,2020,1
Jared Cook,TE,NOR,1,44,0.64,2020,1
Jason Witten,TE,LV,1,29,0.45,2020,1
Julian Edelman,WR,NWE,1,38,0.58,2020,1
Larry Fitzgerald,WR,ARI,1,65,0.79,2020,1
LeSean McCoy,RB,TAM,1,25,0.36,2020,1
Marcedes Lewis,TE,GNB,1,32,0.4,2020,1
Matt Ryan,QB,ATL,1,79,0.99,2020,1
Matthew Slater,WR,NWE,1,1,0.02,2020,1
Matthew Stafford,QB,DET,1,78,1.0,2020,1
Philip Rivers,QB,IND,1,73,0.99,2020,1
Ryan Fitzpatrick,QB,MIA,1,62,1.0,2020,1
Ted Ginn,WR,CHI,1,28,0.43,2020,1
Tom Brady,QB,TAM,1,70,1.0,2020,1
Andre Roberts,WR,BUF,1,2,0.02,2020,1
Emmanuel Sanders,WR,NOR,1,33,0.48,2020,1
Jimmy Graham,TE,CHI,1,53,0.82,2020,1
Rob Gronkowski,TE,TAM,1,54,0.77,2020,1
A.J. Green,WR,CIN,1,45,0.66,2020,1
Julio Jones,WR,ATL,1,65,0.81,2020,1
Cam Newton,QB,NWE,1,64,0.98,2020,1
Mark Ingram,RB,BAL,1,21,0.36,2020,1
Randall Cobb,WR,HOU,1,46,0.78,2020,1
Kyle Rudolph,TE,MIN,1,32,0.62,2020,1
Luke Stocker,TE,ATL,1,26,0.33,2020,1
Anthony Sherman,RB,KAN,1,11,0.16,2020,1
Dion Lewis,RB,NYG,1,6,0.09,2020,1
Tyrod Taylor,QB,LAC,1,74,1.0,2020,1
Virgil Green,TE,LAC,1,24,0.32,2020,1
Bruce Miller,TE,JAX,1,12,0.24,2020,1
Robert Griffin,QB,BAL,1,6,0.1,2020,1
Ryan Tannehill,QB,TEN,1,81,1.0,2020,1
Kirk Cousins,QB,MIN,1,52,1.0,2020,1
Russell Wilson,QB,SEA,1,62,0.97,2020,1
T.Y. Hilton,WR,IND,1,59,0.8,2020,1
Marvin Jones,WR,DET,1,71,0.91,2020,1
Cole Beasley,WR,BUF,1,56,0.64,2020,1
Chris Hogan,WR,NYJ,1,51,0.91,2020,1
Travis Kelce,TE,KAN,1,61,0.87,2020,1
DeAndre Hopkins,WR,ARI,1,77,0.94,2020,1
Robert Woods,WR,LAR,1,61,0.84,2020,1
Kenny Stills,WR,HOU,1,22,0.37,2020,1
Cordarrelle Patterson,WR,CHI,1,10,0.15,2020,1
Keenan Allen,WR,LAC,1,70,0.95,2020,1
Giovani Bernard,RB,CIN,1,20,0.29,2020,1
Le'Veon Bell,RB,NYJ,1,32,0.57,2020,1
Chris Thompson,RB,JAX,1,13,0.26,2020,1
