Team,Season,Date,Time,Away_Home,Opp,Week,G#,Day,Month,Result,OT,Points_For,Points_Against,PD,Points_Comb,Spread,Vs_Line,Over/Under,OU Result,TPass_Cmp,TPass_Att,TPass_Cmp%,TPass_Yds,TPass_TD,TPass_Int,TSack,TSack_Yds,TQB_Rate,TRush_Att,TRush_Yds,TRush_Y/A,TRush_TD,TTot_Yds,TO_Play#,TO_Y/P,TD_Play#,TD_Y/P,TTot_TO,TO_ToP,TGame_Dur,Pen,TPen_Yds,TOpp_Pen,TOpp_Pen_Yds,TComb_Pen,TComb_Pen_Yds,T1st_Downs,T1st_by_Rsh,T1st_by_Pass,T1st_by_Pen,T3rd_Down_Att,T3rd_Down_Conv,T3rd_Down%,T4th_Down_Att,T4th_Down_Conv,T4th_Down%,TTot_TD,TXP_Att,TXP_Made,TFG_Att,TFG_Made,T2Pt_Att,T2Pt_Made,TSfty,TTimes_Punted,TPunt_Yds,TPunt_Yds_Avg,TOpp_Tot_TD,TOpp_XP_Att,TOpp_XP_Made,TOpp_FG_Att,TOpp_FG_Made,TOpp_Sfty,TOpp_Pass_Cmp,TOpp_Pass_Att,TOpp_Pass_Cmp%,TOpp_Pass_Yds,TOpp_Pass_TD,TOpp_Pass_Int,TOpp_Sk,TOpp_Sk_Yds,TOpp_QB_Rate,TOpp_Rush_Att,TOpp_Rush_Yds,TOpp_Rush_Y/A,TOpp_Rush_TD,TOpp_Tot_Yds,TOpp_Tot_TO,TOpp_1st_Downs,TOpp_1st_by_Rsh,TOpp_1st_by_Pass,TOpp_1st_by_Pen,TOpp_3rd_Down_Att,TOpp_3rd_Down_Conv,TOpp_3rd_Down%,TOpp_4th_Down_Att,TOpp_4th_Down_Conv,TOpp_4th_Down%,TMargin_Rush,TMargin_Pass,TMargin_TotYds,TTO_TD,TKR_TD,TPR_TD,TInt_TD,TFmb_TD,TOtherRet_TD,TAll_Ret_TD,TMar_Thru_Q1,TMar_Thru_Q2,TMar_Thru_Q3,TScore_Diff_Q1,TScore_Diff_Q2,TScore_Diff_Q3,TScore_Diff_Q4,TScore_Diff_1stHalf,TScore_Diff_2ndHalf
BAL,2019,2019-09-08,1:00,Away,MIA,1,1,Sun,9,W 59-10,,59.0,10.0,49.0,69.0,-7.0,covered,41.0,over,23.0,26.0,0.8846153846153846,378.0,6.0,0.0,1.0,1.0,158.3,46.0,265.0,5.76,2.0,643.0,73.0,8.8082,47.0,4.2553,0.0,2407.0,10680.0,4.0,40.0,9.0,64.0,13.0,104.0,31.0,10.0,17.0,4.0,11.0,7.0,0.6363636363636364,2.0,2.0,1.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,56.0,56.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,32.0,0.46875,179.0,1.0,2.0,3.0,11.0,48.8,12.0,21.0,1.75,0.0,200.0,3.0,12.0,1.0,10.0,1.0,10.0,3.0,0.3,0.0,0.0,,244.0,199.0,443.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,32.0,42.0,21.0,11.0,10.0,7.0,32.0,17.0
TAM,2019,2019-09-29,4:05,Away,LAR,4,4,Sun,9,W 55-40,,55.0,40.0,15.0,95.0,9.0,covered,48.5,over,28.0,41.0,0.6829268292682927,376.0,4.0,1.0,2.0,9.0,120.5,30.0,88.0,2.93,2.0,464.0,73.0,6.3562,81.0,6.3951,1.0,1956.0000000000002,13140.0,12.0,99.0,13.0,106.0,25.0,205.0,27.0,3.0,22.0,2.0,13.0,8.0,0.6153846153846154,0.0,0.0,,7.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,88.0,44.0,5.0,4.0,4.0,2.0,2.0,0.0,45.0,68.0,0.6617647058823529,490.0,2.0,3.0,2.0,27.0,78.7,11.0,28.0,2.55,2.0,518.0,4.0,36.0,3.0,27.0,6.0,11.0,4.0,0.36363636363636365,1.0,0.0,0.0,60.0,-114.0,-54.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,11.0,11.0,7.0,4.0,0.0,4.0,11.0,4.0
HOU,2019,2019-10-06,1:00,Home,ATL,5,5,Sun,10,W 53-32,,53.0,32.0,21.0,85.0,-4.0,covered,49.0,over,28.0,33.0,0.8484848484848485,426.0,5.0,0.0,0.0,0.0,158.3,34.0,166.0,4.88,1.0,592.0,67.0,8.8358,68.0,5.4853,1.0,1860.0000000000002,11580.0,9.0,89.0,7.0,63.0,16.0,152.0,31.0,11.0,18.0,2.0,13.0,10.0,0.7692307692307693,0.0,0.0,,7.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,35.0,35.0,4.0,3.0,3.0,1.0,1.0,0.0,32.0,46.0,0.6956521739130435,316.0,3.0,1.0,2.0,14.0,101.4,20.0,57.0,2.85,1.0,373.0,1.0,22.0,5.0,14.0,3.0,16.0,9.0,0.5625,1.0,1.0,1.0,109.0,110.0,219.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,16.0,0.0,-1.0,17.0,5.0,-1.0,22.0
SFO,2019,2019-10-27,4:05,Home,CAR,8,7,Sun,10,W 51-13,,51.0,13.0,38.0,64.0,-4.5,covered,41.0,over,18.0,22.0,0.8181818181818182,156.0,2.0,1.0,3.0,19.0,111.2,38.0,232.0,6.11,5.0,388.0,63.0,6.1587,63.0,3.6508,1.0,1981.0000000000002,11040.0,4.0,31.0,9.0,70.0,13.0,101.0,24.0,10.0,12.0,2.0,10.0,5.0,0.5,0.0,0.0,,7.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,121.0,40.33,1.0,0.0,0.0,1.0,1.0,1.0,19.0,37.0,0.5135135135135135,100.0,0.0,3.0,7.0,58.0,23.6,19.0,130.0,6.84,1.0,230.0,3.0,12.0,4.0,8.0,0.0,13.0,2.0,0.15384615384615385,2.0,0.0,0.0,102.0,56.0,158.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,28.0,11.0,13.0,4.0,10.0,24.0,14.0
BAL,2019,2019-11-10,1:00,Away,CIN,10,9,Sun,11,W 49-13,,49.0,13.0,36.0,62.0,-10.5,covered,44.0,over,18.0,22.0,0.8181818181818182,243.0,3.0,1.0,1.0,0.0,133.3,23.0,136.0,5.91,2.0,379.0,46.0,8.2391,72.0,4.2639,1.0,1429.0,10200.0,5.0,35.0,1.0,5.0,6.0,40.0,20.0,7.0,13.0,0.0,6.0,4.0,0.6666666666666666,1.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,34.0,1.0,1.0,1.0,2.0,2.0,0.0,16.0,30.0,0.5333333333333333,150.0,1.0,1.0,2.0,17.0,64.6,40.0,157.0,3.93,0.0,307.0,3.0,21.0,11.0,9.0,1.0,15.0,7.0,0.4666666666666667,4.0,1.0,0.25,-21.0,93.0,72.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,14.0,18.0,39.0,14.0,4.0,21.0,-3.0,18.0,18.0
SFO,2019,2019-12-08,1:00,Away,NOR,14,13,Sun,12,W 48-46,,48.0,46.0,2.0,94.0,1.0,covered,45.0,over,27.0,36.0,0.75,354.0,5.0,1.0,3.0,30.0,137.0,24.0,162.0,6.75,1.0,516.0,63.0,8.1905,68.0,6.8382,1.0,1717.0,12180.0,10.0,67.0,5.0,50.0,15.0,117.0,25.0,7.0,15.0,3.0,12.0,6.0,0.5,1.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,3.0,134.0,44.67,6.0,4.0,4.0,2.0,2.0,0.0,29.0,41.0,0.7073170731707317,349.0,5.0,0.0,0.0,0.0,136.1,27.0,116.0,4.3,1.0,465.0,1.0,28.0,9.0,17.0,2.0,11.0,5.0,0.45454545454545453,3.0,2.0,0.6666666666666666,46.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,2.0,-6.0,7.0,1.0,0.0,1.0,1.0
DAL,2019,2019-12-29,4:25,Home,WAS,17,16,Sun,12,W 47-16,,47.0,16.0,31.0,63.0,-12.5,covered,47.5,over,23.0,33.0,0.696969696969697,294.0,4.0,0.0,3.0,9.0,138.0,36.0,223.0,6.19,1.0,517.0,72.0,7.1806,59.0,4.5932,1.0,2055.0,11640.0,10.0,81.0,2.0,10.0,12.0,91.0,22.0,9.0,13.0,0.0,15.0,8.0,0.5333333333333333,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,62.0,31.0,1.0,1.0,1.0,3.0,3.0,0.0,18.0,37.0,0.4864864864864865,183.0,1.0,1.0,2.0,23.0,61.0,20.0,88.0,4.4,0.0,271.0,2.0,13.0,4.0,8.0,1.0,12.0,1.0,0.08333333333333333,3.0,0.0,0.0,135.0,111.0,246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,21.0,6.0,4.0,11.0,10.0,10.0,21.0
NOR,2019,2019-12-08,1:00,Home,SFO,14,13,Sun,12,L 46-48,,46.0,48.0,-2.0,94.0,-1.0,not covered,45.0,over,29.0,41.0,0.7073170731707317,349.0,5.0,0.0,0.0,0.0,136.1,27.0,116.0,4.3,1.0,465.0,68.0,6.8382,63.0,8.1905,1.0,1883.0000000000002,12180.0,5.0,50.0,10.0,67.0,15.0,117.0,28.0,9.0,17.0,2.0,11.0,5.0,0.45454545454545453,3.0,2.0,0.6666666666666666,6.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,45.0,45.0,6.0,6.0,6.0,2.0,2.0,0.0,27.0,36.0,0.75,354.0,5.0,1.0,3.0,30.0,133.6,24.0,162.0,6.75,1.0,516.0,1.0,25.0,7.0,15.0,3.0,12.0,6.0,0.5,1.0,1.0,1.0,-46.0,-5.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0,-2.0,6.0,-7.0,-1.0,0.0,-1.0,-1.0
BAL,2019,2019-11-25,8:15,Away,LAR,12,11,Mon,11,W 45-6,,45.0,6.0,39.0,51.0,-3.5,covered,47.0,over,16.0,23.0,0.6956521739130435,195.0,5.0,0.0,3.0,13.0,137.3,48.0,285.0,5.94,1.0,480.0,74.0,6.4865,48.0,4.6042,0.0,2396.0,10440.0,8.0,66.0,8.0,56.0,16.0,122.0,31.0,17.0,13.0,1.0,15.0,9.0,0.6,3.0,3.0,1.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,48.0,48.0,0.0,0.0,0.0,2.0,2.0,0.0,26.0,37.0,0.7027027027027027,199.0,0.0,2.0,2.0,13.0,60.5,9.0,22.0,2.44,0.0,221.0,2.0,14.0,2.0,8.0,4.0,9.0,2.0,0.2222222222222222,1.0,1.0,1.0,263.0,-4.0,259.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,29.0,14.0,8.0,7.0,10.0,22.0,17.0
LAC,2019,2019-12-08,4:05,Away,JAX,14,13,Sun,12,W 45-10,,45.0,10.0,35.0,55.0,-3.5,covered,42.0,over,19.0,27.0,0.7037037037037037,330.0,4.0,0.0,1.0,10.0,152.4,30.0,195.0,6.5,2.0,525.0,58.0,9.0517,63.0,4.0,0.0,1763.0,10620.0,6.0,65.0,10.0,101.0,16.0,166.0,27.0,13.0,11.0,3.0,8.0,6.0,0.75,0.0,0.0,,6.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,104.0,52.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,38.0,0.6578947368421053,164.0,1.0,0.0,2.0,7.0,83.7,23.0,88.0,3.83,0.0,252.0,0.0,15.0,6.0,6.0,3.0,15.0,4.0,0.26666666666666666,4.0,2.0,0.5,107.0,166.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,28.0,4.0,17.0,7.0,7.0,21.0,14.0
