Team,Season,Date,Time,Away_Home,Opp,Week,G#,Day,Month,Result,OT,Points_For,Points_Against,PD,Points_Comb,Spread,Vs_Line,Over/Under,OU Result,TPass_Cmp,TPass_Att,TPass_Cmp%,TPass_Yds,TPass_TD,TPass_Int,TSack,TSack_Yds,TQB_Rate,TRush_Att,TRush_Yds,TRush_Y/A,TRush_TD,TTot_Yds,TO_Play#,TO_Y/P,TD_Play#,TD_Y/P,TTot_TO,TO_ToP,TGame_Dur,Pen,TPen_Yds,TOpp_Pen,TOpp_Pen_Yds,TComb_Pen,TComb_Pen_Yds,T1st_Downs,T1st_by_Rsh,T1st_by_Pass,T1st_by_Pen,T3rd_Down_Att,T3rd_Down_Conv,T3rd_Down%,T4th_Down_Att,T4th_Down_Conv,T4th_Down%,TTot_TD,TXP_Att,TXP_Made,TFG_Att,TFG_Made,T2Pt_Att,T2Pt_Made,TSfty,TTimes_Punted,TPunt_Yds,TPunt_Yds_Avg,TOpp_Tot_TD,TOpp_XP_Att,TOpp_XP_Made,TOpp_FG_Att,TOpp_FG_Made,TOpp_Sfty,TOpp_Pass_Cmp,TOpp_Pass_Att,TOpp_Pass_Cmp%,TOpp_Pass_Yds,TOpp_Pass_TD,TOpp_Pass_Int,TOpp_Sk,TOpp_Sk_Yds,TOpp_QB_Rate,TOpp_Rush_Att,TOpp_Rush_Yds,TOpp_Rush_Y/A,TOpp_Rush_TD,TOpp_Tot_Yds,TOpp_Tot_TO,TOpp_1st_Downs,TOpp_1st_by_Rsh,TOpp_1st_by_Pass,TOpp_1st_by_Pen,TOpp_3rd_Down_Att,TOpp_3rd_Down_Conv,TOpp_3rd_Down%,TOpp_4th_Down_Att,TOpp_4th_Down_Conv,TOpp_4th_Down%,TMargin_Rush,TMargin_Pass,TMargin_TotYds,TTO_TD,TKR_TD,TPR_TD,TInt_TD,TFmb_TD,TOtherRet_TD,TAll_Ret_TD,TMar_Thru_Q1,TMar_Thru_Q2,TMar_Thru_Q3,TScore_Diff_Q1,TScore_Diff_Q2,TScore_Diff_Q3,TScore_Diff_Q4,TScore_Diff_1stHalf,TScore_Diff_2ndHalf
BUF,2020,2021-01-03,1:00,Home,MIA,17,16,Sun,1,W 56-26,,56.0,26.0,30.0,82.0,3.5,covered,43.0,over,24.0,38.0,0.631578947368421,377.0,4.0,2.0,1.0,11.0,110.4,25.0,78.0,3.12,2.0,455.0,64.0,7.1094,80.0,5.675,2.0,1642.0,11580.0,3.0,16.0,2.0,20.0,5.0,36.0,24.0,4.0,19.0,1.0,10.0,4.0,0.4,0.0,0.0,,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,214.0,53.5,3.0,2.0,2.0,2.0,2.0,0.0,36.0,59.0,0.6101694915254238,384.0,1.0,3.0,1.0,9.0,64.5,20.0,70.0,3.5,2.0,454.0,4.0,27.0,5.0,20.0,2.0,14.0,3.0,0.21428571428571427,2.0,1.0,0.5,8.0,-7.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,-3.0,22.0,22.0,-3.0,25.0,0.0,8.0,22.0,8.0
NOR,2020,2020-12-25,4:30,Home,MIN,16,15,Fri,12,W 52-33,,52.0,33.0,19.0,85.0,-6.5,covered,48.5,over,21.0,28.0,0.75,319.0,0.0,2.0,0.0,0.0,82.3,45.0,264.0,5.87,7.0,583.0,73.0,7.9863,60.0,6.0667,2.0,2207.0,11460.0,4.0,38.0,3.0,20.0,7.0,58.0,36.0,21.0,14.0,1.0,9.0,5.0,0.5555555555555556,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,27.0,41.0,0.6585365853658537,274.0,3.0,0.0,2.0,17.0,109.2,17.0,90.0,5.29,2.0,364.0,0.0,25.0,6.0,17.0,2.0,9.0,3.0,0.3333333333333333,2.0,1.0,0.5,174.0,45.0,219.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,4.0,7.0,3.0,-6.0,15.0,10.0,9.0
CLE,2020,2020-10-04,1:00,Away,DAL,4,4,Sun,10,W 49-38,,49.0,38.0,11.0,87.0,3.5,covered,56.5,over,20.0,31.0,0.6451612903225806,201.0,3.0,0.0,2.0,1.0,115.3,40.0,307.0,7.68,3.0,508.0,73.0,6.9589,79.0,7.1646,0.0,2012.0000000000002,12000.0,5.0,40.0,6.0,65.0,11.0,105.0,33.0,16.0,14.0,3.0,11.0,5.0,0.45454545454545453,0.0,0.0,,6.0,5.0,5.0,2.0,2.0,1.0,1.0,0.0,4.0,171.0,42.75,5.0,2.0,2.0,0.0,0.0,0.0,41.0,58.0,0.7068965517241379,481.0,4.0,1.0,3.0,21.0,111.4,18.0,85.0,4.72,1.0,566.0,3.0,35.0,6.0,29.0,0.0,11.0,6.0,0.5454545454545454,2.0,1.0,0.5,222.0,-280.0,-58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,17.0,27.0,-7.0,24.0,10.0,-16.0,17.0,-6.0
BUF,2020,2020-12-19,4:30,Away,DEN,15,14,Sat,12,W 48-19,,48.0,19.0,29.0,67.0,-5.5,covered,49.0,over,28.0,40.0,0.7,352.0,2.0,0.0,1.0,7.0,114.5,24.0,182.0,7.58,3.0,534.0,65.0,8.2154,63.0,4.0476,1.0,2030.0000000000002,12000.0,8.0,75.0,7.0,33.0,15.0,108.0,29.0,6.0,19.0,4.0,13.0,9.0,0.6923076923076923,1.0,0.0,0.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,63.0,63.0,3.0,3.0,1.0,1.0,0.0,0.0,20.0,32.0,0.625,115.0,1.0,0.0,3.0,17.0,79.6,28.0,140.0,5.0,2.0,255.0,1.0,19.0,8.0,10.0,1.0,14.0,6.0,0.42857142857142855,0.0,0.0,,42.0,237.0,279.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,8.0,25.0,7.0,1.0,17.0,4.0,8.0,21.0
BAL,2020,2020-12-14,8:15,Away,CLE,14,13,Mon,12,W 47-42,,47.0,42.0,5.0,89.0,-3.0,covered,46.0,over,12.0,21.0,0.5714285714285714,154.0,1.0,0.0,4.0,22.0,100.5,32.0,231.0,7.22,5.0,385.0,57.0,6.7544,76.0,6.4868,0.0,1683.0,12420.0,8.0,69.0,8.0,75.0,16.0,144.0,25.0,13.0,9.0,3.0,11.0,6.0,0.5454545454545454,1.0,1.0,1.0,6.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,172.0,43.0,6.0,5.0,4.0,1.0,0.0,0.0,29.0,48.0,0.6041666666666666,355.0,2.0,1.0,0.0,0.0,88.5,28.0,138.0,4.93,4.0,493.0,1.0,33.0,10.0,18.0,5.0,12.0,5.0,0.4166666666666667,2.0,2.0,1.0,93.0,-201.0,-108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,7.0,7.0,-9.0,7.0,-2.0
TAM,2020,2020-12-26,1:00,Away,DET,16,15,Sat,12,W 47-7,,47.0,7.0,40.0,54.0,-9.5,covered,54.0,push,31.0,42.0,0.7380952380952381,477.0,6.0,0.0,2.0,14.0,151.9,26.0,111.0,4.27,1.0,588.0,70.0,8.4,50.0,3.72,0.0,2153.0,10920.0,8.0,65.0,11.0,117.0,19.0,182.0,30.0,5.0,22.0,3.0,10.0,4.0,0.4,2.0,1.0,0.5,7.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,132.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,31.0,0.6774193548387096,113.0,0.0,1.0,4.0,39.0,60.3,15.0,73.0,4.87,0.0,186.0,2.0,12.0,4.0,5.0,3.0,10.0,1.0,0.1,1.0,0.0,0.0,38.0,364.0,402.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,40.0,13.0,21.0,6.0,0.0,34.0,6.0
TEN,2020,2020-12-20,1:00,Home,DET,15,14,Sun,12,W 46-25,,46.0,25.0,21.0,71.0,-9.5,covered,54.5,over,21.0,27.0,0.7777777777777778,268.0,3.0,0.0,1.0,5.0,145.8,38.0,195.0,5.13,3.0,463.0,66.0,7.0152,65.0,6.6154,0.0,1702.0,10800.0,3.0,22.0,3.0,33.0,6.0,55.0,28.0,10.0,17.0,1.0,11.0,9.0,0.8181818181818182,0.0,0.0,,6.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,47.0,47.0,3.0,3.0,2.0,1.0,1.0,1.0,27.0,38.0,0.7105263157894737,307.0,1.0,1.0,0.0,0.0,92.8,27.0,123.0,4.56,2.0,430.0,3.0,27.0,8.0,18.0,1.0,12.0,7.0,0.5833333333333334,1.0,0.0,0.0,72.0,-39.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,7.0,2.0,-3.0,15.0,9.0,12.0
TAM,2020,2020-11-15,1:00,Away,CAR,10,10,Sun,11,W 46-23,,46.0,23.0,23.0,69.0,-6.0,covered,49.5,over,28.0,39.0,0.717948717948718,334.0,3.0,0.0,1.0,7.0,124.0,37.0,210.0,5.68,2.0,544.0,77.0,7.0649,47.0,3.9787,1.0,2165.0,11520.0,3.0,30.0,5.0,40.0,8.0,70.0,30.0,9.0,18.0,3.0,16.0,10.0,0.625,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,20.0,28.0,0.7142857142857143,122.0,2.0,1.0,3.0,26.0,88.7,16.0,65.0,4.06,1.0,187.0,1.0,13.0,5.0,7.0,1.0,9.0,1.0,0.1111111111111111,3.0,1.0,0.3333333333333333,145.0,212.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,12.0,-7.0,7.0,12.0,11.0,0.0,23.0
NWE,2020,2020-12-06,4:25,Away,LAC,13,12,Sun,12,W 45-0,,45.0,0.0,45.0,45.0,2.0,covered,46.5,under,14.0,22.0,0.6363636363636364,126.0,2.0,0.0,1.0,4.0,110.0,43.0,165.0,3.84,2.0,291.0,66.0,4.4091,71.0,3.6338,0.0,2021.0000000000002,10740.0,3.0,15.0,5.0,30.0,8.0,45.0,22.0,12.0,7.0,3.0,14.0,6.0,0.42857142857142855,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,197.0,49.25,0.0,0.0,0.0,2.0,0.0,0.0,26.0,53.0,0.49056603773584906,188.0,0.0,2.0,3.0,21.0,42.0,15.0,70.0,4.67,0.0,258.0,2.0,17.0,4.0,12.0,1.0,18.0,7.0,0.3888888888888889,5.0,1.0,0.2,95.0,-62.0,33.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,28.0,35.0,7.0,21.0,7.0,10.0,28.0,17.0
TEN,2020,2020-11-29,1:00,Away,IND,12,11,Sun,11,W 45-26,,45.0,26.0,19.0,71.0,3.0,covered,51.5,over,13.0,22.0,0.5909090909090909,220.0,1.0,0.0,1.0,1.0,108.3,45.0,229.0,5.09,4.0,449.0,68.0,6.6029,67.0,5.0149,0.0,2133.0,12240.0,9.0,63.0,6.0,50.0,15.0,113.0,28.0,16.0,9.0,3.0,12.0,5.0,0.4166666666666667,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,160.0,40.0,4.0,2.0,2.0,0.0,0.0,0.0,24.0,44.0,0.5454545454545454,280.0,2.0,1.0,2.0,15.0,79.7,21.0,56.0,2.67,2.0,336.0,1.0,27.0,6.0,17.0,4.0,13.0,5.0,0.38461538461538464,2.0,1.0,0.5,173.0,-60.0,113.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,21.0,24.0,7.0,14.0,3.0,-5.0,21.0,-2.0
