Player,Team,Season,Date,Status,Opp,Injury,Week
Troy Niklas,ARI,2016,2016-10-23,Injured Reserve,SEA,Wrist,7
Tristan Okpalaugo,ARI,2016,2016-10-23,Injured Reserve,SEA,Hamstring,7
Carson Palmer,ARI,2016,2016-10-23,Questionable,SEA,hamstring,7
Ed Stinson,ARI,2016,2016-10-23,Out,SEA,toe,7
Elie Bouka,ARI,2016,2016-10-30,Injured Reserve,CAR,Hamstring,8
Tyvon Branch,ARI,2016,2016-10-30,Injured Reserve,CAR,Groin,8
Jaron Brown,ARI,2016,2016-10-30,Injured Reserve,CAR,Knee,8
John Brown,ARI,2016,2016-10-30,Questionable,CAR,hamstring,8
Durell Eskridge,ARI,2016,2016-10-30,Injured Reserve,CAR,Arm,8
Alani Fua,ARI,2016,2016-10-30,Injured Reserve,CAR,Knee,8
Mike Jenkins,ARI,2016,2016-10-30,Injured Reserve,CAR,Knee,8
Chris Johnson,ARI,2016,2016-10-30,Injured Reserve,CAR,Groin,8
Lamar Louis,ARI,2016,2016-10-30,Injured Reserve,CAR,Knee,8
Evan Mathis,ARI,2016,2016-10-30,Injured Reserve,CAR,Ankle,8
Troy Niklas,ARI,2016,2016-10-30,Injured Reserve,CAR,Wrist,8
Tristan Okpalaugo,ARI,2016,2016-10-30,Injured Reserve,CAR,Hamstring,8
Carson Palmer,ARI,2016,2016-10-30,day-to-day,CAR,concussion,8
Ed Stinson,ARI,2016,2016-10-30,Out,CAR,toe,8
Jared Veldheer,ARI,2016,2016-10-30,Questionable,CAR,finger,8
Elie Bouka,ARI,2016,2016-11-13,Injured Reserve,SFO,Hamstring,10
Tyvon Branch,ARI,2016,2016-11-13,Injured Reserve,SFO,Groin,10
Jaron Brown,ARI,2016,2016-11-13,Injured Reserve,SFO,Knee,10
Durell Eskridge,ARI,2016,2016-11-13,Injured Reserve,SFO,Arm,10
Alani Fua,ARI,2016,2016-11-13,Injured Reserve,SFO,Knee,10
Mike Jenkins,ARI,2016,2016-11-13,Injured Reserve,SFO,Knee,10
Chris Johnson,ARI,2016,2016-11-13,Injured Reserve,SFO,Groin,10
Lamar Louis,ARI,2016,2016-11-13,Injured Reserve,SFO,Knee,10
Tyrann Mathieu,ARI,2016,2016-11-13,Out,SFO,shoulder,10
Evan Mathis,ARI,2016,2016-11-13,Injured Reserve,SFO,Ankle,10
Ifeanyi Momah,ARI,2016,2016-11-13,Injured Reserve,SFO,Wrist,10
Troy Niklas,ARI,2016,2016-11-13,Injured Reserve,SFO,Wrist,10
Tristan Okpalaugo,ARI,2016,2016-11-13,Injured Reserve,SFO,Hamstring,10
Carson Palmer,ARI,2016,2016-11-13,day-to-day,SFO,concussion,10
Jared Veldheer,ARI,2016,2016-11-13,Injured Reserve,SFO,Tricep,10
Elie Bouka,ARI,2016,2016-11-20,Injured Reserve,MIN,Hamstring,11
Tyvon Branch,ARI,2016,2016-11-20,Injured Reserve,MIN,Groin,11
Jaron Brown,ARI,2016,2016-11-20,Injured Reserve,MIN,Knee,11
Deone Bucannon,ARI,2016,2016-11-20,Questionable,MIN,ankle,11
Durell Eskridge,ARI,2016,2016-11-20,Injured Reserve,MIN,Arm,11
Alani Fua,ARI,2016,2016-11-20,Injured Reserve,MIN,Knee,11
Mike Jenkins,ARI,2016,2016-11-20,Injured Reserve,MIN,Knee,11
Chris Johnson,ARI,2016,2016-11-20,Injured Reserve,MIN,Groin,11
Lamar Louis,ARI,2016,2016-11-20,Injured Reserve,MIN,Knee,11
Gabe Martin,ARI,2016,2016-11-20,Injured Reserve,MIN,Hamstring,11
Tyrann Mathieu,ARI,2016,2016-11-20,Questionable,MIN,shoulder,11
Evan Mathis,ARI,2016,2016-11-20,Injured Reserve,MIN,Ankle,11
Ifeanyi Momah,ARI,2016,2016-11-20,Injured Reserve,MIN,Wrist,11
Troy Niklas,ARI,2016,2016-11-20,Injured Reserve,MIN,Wrist,11
Tristan Okpalaugo,ARI,2016,2016-11-20,Injured Reserve,MIN,Hamstring,11
Carson Palmer,ARI,2016,2016-11-20,day-to-day,MIN,concussion,11
Corey Peters,ARI,2016,2016-11-20,Doubtful,MIN,foot,11
