"('Unnamed: 0_level_0', 'Unnamed: 0_level_1', 'Rk')","('Unnamed: 1_level_0', 'Unnamed: 1_level_1', 'G#')","('Unnamed: 2_level_0', 'Unnamed: 2_level_1', 'Date')","('Unnamed: 3_level_0', 'Unnamed: 3_level_1', 'Tm')","('Unnamed: 4_level_0', 'Unnamed: 4_level_1', 'Unnamed: 4_level_2')","('Unnamed: 5_level_0', 'Unnamed: 5_level_1', 'Opp')","('Unnamed: 6_level_0', 'Unnamed: 6_level_1', 'Result')","('Unnamed: 7_level_0', 'Unnamed: 7_level_1', 'Pos')","('Snap Counts', 'Off.', 'Num')","('Snap Counts', 'Off.', 'Pct')","('Snap Counts', 'Def.', 'Num')","('Snap Counts', 'Def.', 'Pct')","('Snap Counts', 'ST', 'Num')","('Snap Counts', 'ST', 'Pct')","('Unnamed: 14_level_0', 'Fantasy', 'FantPt')","('Unnamed: 15_level_0', 'Fantasy', 'DKPt')","('Unnamed: 16_level_0', 'Fantasy', 'FDPt')",Player_Address,Season,"('Inside 20', 'Rushing', 'Att')","('Inside 20', 'Rushing', 'Yds')","('Inside 20', 'Rushing', 'TD')","('Inside 10', 'Rushing', 'Att')","('Inside 10', 'Rushing', 'Yds')","('Inside 10', 'Rushing', 'TD')","('Unnamed: 20_level_0', 'Fantasy', 'FantPt')","('Unnamed: 21_level_0', 'Fantasy', 'DKPt')","('Unnamed: 22_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Receiving', 'Tgt')","('Inside 20', 'Receiving', 'Rec')","('Inside 20', 'Receiving', 'Yds')","('Inside 20', 'Receiving', 'TD')","('Inside 10', 'Receiving', 'Tgt')","('Inside 10', 'Receiving', 'Rec')","('Inside 10', 'Receiving', 'Yds')","('Inside 10', 'Receiving', 'TD')","('Unnamed: 28_level_0', 'Fantasy', 'FantPt')","('Unnamed: 29_level_0', 'Fantasy', 'DKPt')","('Unnamed: 30_level_0', 'Fantasy', 'FDPt')","('Unnamed: 22_level_0', 'Fantasy', 'FantPt')","('Unnamed: 23_level_0', 'Fantasy', 'DKPt')","('Unnamed: 24_level_0', 'Fantasy', 'FDPt')","('Inside 20', 'Passing', 'Cmp')","('Inside 20', 'Passing', 'Att')","('Inside 20', 'Passing', 'Yds')","('Inside 20', 'Passing', 'TD')","('Inside 10', 'Passing', 'Cmp')","('Inside 10', 'Passing', 'Att')","('Inside 10', 'Passing', 'Yds')","('Inside 10', 'Passing', 'TD')","('Unnamed: 18_level_0', 'Fantasy', 'FantPt')","('Unnamed: 19_level_0', 'Fantasy', 'DKPt')","('Unnamed: 20_level_0', 'Fantasy', 'FDPt')","('Unnamed: 24_level_0', 'Fantasy', 'FantPt')","('Unnamed: 25_level_0', 'Fantasy', 'DKPt')","('Unnamed: 26_level_0', 'Fantasy', 'FDPt')","('Unnamed: 30_level_0', 'Fantasy', 'FantPt')","('Unnamed: 31_level_0', 'Fantasy', 'DKPt')","('Unnamed: 32_level_0', 'Fantasy', 'FDPt')","('Unnamed: 36_level_0', 'Fantasy', 'FantPt')","('Unnamed: 37_level_0', 'Fantasy', 'DKPt')","('Unnamed: 38_level_0', 'Fantasy', 'FDPt')","('Unnamed: 32_level_0', 'Fantasy', 'FantPt')","('Unnamed: 33_level_0', 'Fantasy', 'DKPt')","('Unnamed: 34_level_0', 'Fantasy', 'FDPt')"
1.0,1.0,2018-09-09,MIN,,SFO,W 24-16,WR,0.0,0.0%,0.0,0.0%,11.0,39.3%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2018-09-16,MIN,@,GNB,T 29-29,WR,2.0,2.7%,0.0,0.0%,21.0,56.8%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,2018-09-23,MIN,,BUF,L 6-27,WR,0.0,0.0%,0.0,0.0%,18.0,75.0%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,2018-09-27,MIN,@,LAR,L 31-38,WR,1.0,1.4%,0.0,0.0%,20.0,60.6%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,5.0,2018-10-07,MIN,@,PHI,W 23-21,WR,0.0,0.0%,0.0,0.0%,16.0,59.3%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,6.0,2018-10-14,MIN,,ARI,W 27-17,WR,0.0,0.0%,0.0,0.0%,20.0,69.0%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7.0,2018-10-21,MIN,@,NYJ,W 37-17,WR,1.0,1.4%,0.0,0.0%,28.0,71.8%,2.3,3.3,2.8,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,2018-10-28,MIN,,NOR,L 20-30,WR,1.0,1.4%,0.0,0.0%,15.0,62.5%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,9.0,2018-11-04,MIN,,DET,W 24-9,WR,1.0,2.0%,0.0,0.0%,17.0,65.4%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,2018-11-18,MIN,@,CHI,L 20-25,WR,1.0,1.5%,0.0,0.0%,15.0,68.2%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,11.0,2018-11-25,MIN,,GNB,W 24-17,WR,1.0,1.4%,0.0,0.0%,17.0,60.7%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,12.0,2018-12-02,MIN,@,NWE,L 10-24,WR,0.0,0.0%,0.0,0.0%,7.0,28.0%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,13.0,2018-12-10,MIN,@,SEA,L 7-21,WR,0.0,0.0%,0.0,0.0%,9.0,40.9%,,,,/players/Z/ZylsBr00,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
