Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry ,RB,24.336,2018-12-06,NFL,TEN,,JAX,W 30-9,13,14,Thu,0,0,,0,0,0,,0,0,,,17,238,14.00,4,0,0,0,,0,0.0%,,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,RB,21.282,2018-11-18,NFL,NYG,,TAM,W 38-35,10,11,Sun,0,0,,0,0,0,,0,0,,,27,142,5.26,2,3,2,10,5.00,1,66.7%,3.33,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Amari Cooper,WR,24.175,2018-12-09,NFL,DAL,,PHI,W 29-23,13,14,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,10,217,21.70,3,76.9%,16.69,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Eric Ebron,TE,25.215,2018-11-11,NFL,IND,,JAX,W 29-26,9,10,Sun,0,0,,0,0,0,,0,0,,,1,2,2.00,1,3,3,69,23.00,2,100.0%,23.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,RB,25.156,2018-09-16,NFL,LAC,@,BUF,W 31-20,2,2,Sun,0,0,,0,0,0,,0,0,,,9,28,3.11,1,7,6,38,6.33,2,85.7%,5.43,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,RB,25.184,2018-10-14,NFL,LAC,@,CLE,W 38-14,6,6,Sun,0,0,,0,0,0,,0,0,,,18,132,7.33,3,4,2,18,9.00,0,50.0%,4.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
A.J. Green,WR,30.044,2018-09-13,NFL,CIN,,BAL,W 34-23,2,2,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,9,5,69,13.80,3,55.6%,7.67,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,HB,24.044,2018-09-16,NFL,LAR,,ARI,W 34-0,2,2,Sun,0,0,,0,0,0,,0,0,,,19,42,2.21,3,3,3,31,10.33,0,100.0%,10.33,,,,,,,2,,3,22,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Todd Gurley,HB,24.065,2018-10-07,NFL,LAR,@,SEA,W 33-31,5,5,Sun,0,0,,0,0,0,,0,0,,,22,77,3.50,3,5,4,36,9.00,0,80.0%,7.20,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Gurley,HB,24.079,2018-10-21,NFL,LAR,@,SFO,W 39-10,7,7,Sun,0,0,,0,0,0,,0,0,,,15,63,4.20,2,5,4,23,5.75,1,80.0%,4.60,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,24.192,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0,0,,0,0,0,,0,0,,,2,4,2.00,0,8,7,169,24.14,2,87.5%,21.13,,,,,,,,,3,18,0,0,,0,2,95,47.50,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,24.227,2018-10-14,NFL,KAN,@,NWE,L 40-43,6,6,Sun,0,0,,0,0,0,,0,0,,,1,0,0.00,0,12,7,142,20.29,3,58.3%,11.83,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Kareem Hunt,RB,23.076,2018-10-21,NFL,KAN,,CIN,W 45-10,7,7,Sun,0,0,,0,0,0,,0,0,,,15,86,5.73,1,6,5,55,11.00,2,83.3%,9.17,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
