Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,8,8,8,1,1,0,23,26,88.5,378,6,0,1,1,158.3,46,265,5.76,2,643,,31,10,17,4,11,7,63.6%,2,2,100.0%,-244,-199,-443,-3,0,0,0,0,0,0,-21,-32,-42,-21,-11,-10,-7,-32,-17
ATL,2019,2019-10-06,1:00,12:00,@,HOU,5,5,Sun,L 32-53,,7,7,5,2,2,0,28,33,84.8,426,5,0,0,0,158.3,34,166,4.88,1,592,1,31,11,18,2,13,10,76.9%,0,0,,-109,-110,-219,0,0,0,0,0,0,0,0,1,-16,0,1,-17,-5,1,-22
CAR,2019,2019-10-27,4:05,1:05,@,SFO,8,7,Sun,L 13-51,,7,6,6,1,1,0,18,22,81.8,156,2,1,3,19,107.6,38,232,6.11,5,388,1,24,10,12,2,10,5,50.0%,0,0,,-102,-56,-158,-2,0,0,0,0,0,0,-11,-24,-28,-11,-13,-4,-10,-24,-14
CIN,2019,2019-11-10,1:00,1:00,,BAL,10,9,Sun,L 13-49,,7,7,7,0,0,0,18,22,81.8,243,3,1,1,0,133.3,23,136,5.91,2,379,1,20,7,13,0,6,4,66.7%,1,1,100.0%,21,-93,-72,-2,0,0,0,0,0,0,-14,-18,-39,-14,-4,-21,3,-18,-18
LAR,2019,2019-09-29,4:05,1:05,,TAM,4,4,Sun,L 40-55,,7,7,7,2,2,0,28,41,68.3,376,4,1,2,9,119.6,30,88,2.93,2,464,1,27,3,22,2,13,8,61.5%,0,0,,-60,114,54,-3,0,0,1,0,0,1,-7,-11,-11,-7,-4,0,-4,-11,-4
CAR,2019,2019-12-29,1:00,1:00,,NOR,17,16,Sun,L 10-42,,6,6,6,0,0,0,20,31,64.5,264,3,0,1,3,123.6,35,115,3.29,2,379,,25,6,16,3,11,4,36.4%,0,0,,-74,24,-50,-3,0,0,0,0,0,0,-14,-32,-32,-14,-18,0,0,-32,0
DET,2019,2019-10-20,1:00,1:00,,MIN,7,6,Sun,L 30-42,,6,6,6,1,0,0,24,34,70.6,338,4,0,0,0,141.5,37,166,4.49,2,504,,32,10,19,3,10,6,60.0%,0,0,,-85,14,-71,-1,0,0,0,0,0,0,7,0,-4,7,-7,-4,-8,0,-12
JAX,2019,2019-11-24,4:05,3:05,@,TEN,12,11,Sun,L 20-42,,6,6,6,0,0,0,14,18,77.8,252,2,0,1,7,155.8,33,219,6.64,4,471,2,21,8,11,2,8,4,50.0%,0,0,,-102,0,-102,1,0,0,0,0,0,0,0,-4,-24,0,-4,-20,2,-4,-18
JAX,2019,2019-12-08,4:05,4:05,,LAC,14,13,Sun,L 10-45,,6,6,6,1,1,0,19,27,70.4,330,4,0,1,10,151.2,30,195,6.50,2,525,,27,13,11,3,8,6,75.0%,0,0,,-107,-166,-273,0,0,0,0,0,0,0,-4,-21,-28,-4,-17,-7,-7,-21,-14
MIA,2019,2019-09-15,1:00,1:00,,NWE,2,2,Sun,L 0-43,,6,6,4,2,1,0,20,28,71.4,255,2,0,2,9,123.4,35,124,3.54,2,379,1,27,11,13,3,11,6,54.5%,0,0,,-82,-113,-195,-3,0,0,0,0,0,0,-7,-13,-23,-7,-6,-10,-20,-13,-30
NOR,2019,2019-12-08,1:00,12:00,,SFO,14,13,Sun,L 46-48,,6,6,6,2,2,0,27,36,75.0,354,5,1,3,30,133.6,24,162,6.75,1,516,1,25,7,15,3,12,6,50.0%,1,1,100.0%,-46,-5,-51,0,0,0,0,0,0,0,6,-1,-2,6,-7,-1,0,-1,-1
NYJ,2019,2019-12-12,8:20,8:20,@,BAL,15,14,Thu,L 21-42,,6,5,4,0,0,0,15,24,62.5,212,5,0,1,0,130.6,34,218,6.41,1,430,,23,10,11,2,8,2,25.0%,1,1,100.0%,-115,-5,-120,-2,0,0,0,0,1,1,-13,-14,-28,-13,-1,-14,7,-14,-7
OAK,2019,2019-10-20,1:00,12:00,@,GNB,7,6,Sun,L 24-42,,6,6,6,0,0,0,25,31,80.6,421,5,0,1,8,158.3,23,60,2.61,1,481,,22,5,15,2,10,6,60.0%,0,0,,95,-92,3,-2,0,0,0,0,0,0,-4,-11,-18,-4,-7,-7,0,-11,-7
OAK,2019,2019-12-08,4:25,1:25,,TEN,14,13,Sun,L 21-42,,6,6,6,1,0,0,21,27,77.8,391,3,1,0,0,140.4,32,161,5.03,2,552,1,26,10,15,1,11,8,72.7%,0,0,,-64,-133,-197,0,0,0,0,0,0,0,0,0,-7,0,0,-7,-14,0,-21
LAR,2019,2019-11-25,8:15,5:15,,BAL,12,11,Mon,L 6-45,,6,6,6,1,1,0,16,23,69.6,195,5,0,3,13,135.0,48,285,5.94,1,480,,31,17,13,1,15,9,60.0%,3,3,100.0%,-263,4,-259,-2,0,0,0,0,0,0,-14,-22,-29,-14,-8,-7,-10,-22,-17
SFO,2019,2019-12-08,1:00,12:00,@,NOR,14,13,Sun,W 48-46,,6,4,4,2,2,0,29,41,70.7,349,5,0,0,0,136.1,27,116,4.30,1,465,1,28,9,17,2,11,5,45.5%,3,2,66.7%,46,5,51,0,0,0,0,0,0,0,-6,1,2,-6,7,1,0,1,1
WAS,2019,2019-12-22,1:00,1:00,,NYG,16,15,Sun,L 35-41,OT,6,5,5,1,0,0,28,42,66.7,346,5,0,1,6,131.5,26,206,7.92,1,552,,28,8,16,4,14,8,57.1%,0,0,,-126,-65,-191,0,0,0,0,0,0,0,-7,-14,-14,-7,-7,0,14,-14,14
