Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
KJ Hamler,DEN,TEN,2020-09-14,2020,1,Questionable,Hamstring,,
KJ Hamler,DEN,NWE,2020-10-18,2020,6,Out,Hamstring,,
KJ Hamler,DEN,LVR,2021-01-03,2020,17,Out,Concussion,,
