Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jacob Martin,HOU,TAM,2019-12-21,2019,16,Out,Knee,,
Jacob Martin,HOU,TEN,2019-12-29,2019,17,Questionable,Knee,,
Jacob Martin,HOU,JAX,2020-11-08,2020,9,C19,,,
Jacob Martin,HOU,CLE,2020-11-15,2020,10,C19,,,
Jacob Martin,HOU,NWE,2020-11-22,2020,11,C19,,,
