Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
A'Shawn Robinson,22.173,DT,DET,2017-09-10,Sun,2017,1,1.0,Home,ARI,W 35-23,8.5,39.0,39.0,,
A'Shawn Robinson,22.181,DT,DET,2017-09-18,Mon,2017,2,2.0,Away,NYG,W 24-10,4.25,35.0,35.0,,
A'Shawn Robinson,22.187,DT,DET,2017-09-24,Sun,2017,3,3.0,Home,ATL,L 26-30,5.25,39.0,39.0,,
A'Shawn Robinson,22.194,DT,DET,2017-10-01,Sun,2017,4,4.0,Away,MIN,W 14-7,2.25,33.0,33.0,,
A'Shawn Robinson,22.201,DT,DET,2017-10-08,Sun,2017,5,5.0,Home,CAR,L 24-27,0.0,46.0,46.0,,
A'Shawn Robinson,22.208,DT,DET,2017-10-15,Sun,2017,6,6.0,Away,NOR,L 38-52,23.25,51.0,51.0,,
A'Shawn Robinson,22.222,DT,DET,2017-10-29,Sun,2017,8,7.0,Home,PIT,L 15-20,6.0,46.0,46.0,,
A'Shawn Robinson,22.23,DT,DET,2017-11-06,Mon,2017,9,8.0,Away,GNB,W 30-17,3.75,35.0,35.0,,
A'Shawn Robinson,22.236,DT,DET,2017-11-12,Sun,2017,10,9.0,Home,CLE,W 38-24,4.5,51.0,51.0,,
A'Shawn Robinson,22.243,DT,DET,2017-11-19,Sun,2017,11,10.0,Away,CHI,W 27-24,1.5,57.0,57.0,,
A'Shawn Robinson,22.247,DT,DET,2017-11-23,Thu,2017,12,11.0,Home,MIN,L 23-30,12.25,51.0,51.0,,
A'Shawn Robinson,22.257,DT,DET,2017-12-03,Sun,2017,13,12.0,Away,BAL,L 20-44,6.5,42.0,42.0,,
A'Shawn Robinson,22.264,DT,DET,2017-12-10,Sun,2017,14,13.0,Away,TAM,W 24-21,1.5,52.0,52.0,,
A'Shawn Robinson,22.27,DT,DET,2017-12-16,Sat,2017,15,14.0,Home,CHI,W 20-10,3.0,49.0,49.0,,
A'Shawn Robinson,22.278,DT,DET,2017-12-24,Sun,2017,16,15.0,Away,CIN,L 17-26,6.0,67.0,67.0,,
A'Shawn Robinson,22.285,DT,DET,2017-12-31,Sun,2017,17,16.0,Home,GNB,W 35-11,10.25,42.0,42.0,,
