Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
A'Shawn Robinson,21.174,DT,DET,2016-09-11,Sun,2016,1,1.0,Away,IND,W 39-35,1.5,23.0,23.0,,
A'Shawn Robinson,21.181,DT,DET,2016-09-18,Sun,2016,2,2.0,Home,TEN,L 15-16,3.0,19.0,19.0,,
A'Shawn Robinson,21.188,DT,DET,2016-09-25,Sun,2016,3,3.0,Away,GNB,L 27-34,5.0,22.0,22.0,,
A'Shawn Robinson,21.195,DT,DET,2016-10-02,Sun,2016,4,4.0,Away,CHI,L 14-17,3.5,20.0,20.0,,
A'Shawn Robinson,21.202,DT,DET,2016-10-09,Sun,2016,5,5.0,Home,PHI,W 24-23,7.0,19.0,19.0,,
A'Shawn Robinson,21.209,DT,DET,2016-10-16,Sun,2016,6,6.0,Home,LAR,W 31-28,3.0,24.0,24.0,Questionable,shoulder
A'Shawn Robinson,21.216,DT,DET,2016-10-23,Sun,2016,7,7.0,Home,WAS,W 20-17,1.5,26.0,26.0,,
A'Shawn Robinson,21.223,DT,DET,2016-10-30,Sun,2016,8,8.0,Away,HOU,L 13-20,9.75,25.0,25.0,,
A'Shawn Robinson,21.23,DT,DET,2016-11-06,Sun,2016,9,9.0,Away,MIN,W 22-16,3.0,31.0,31.0,,
A'Shawn Robinson,21.244,DT,DET,2016-11-20,Sun,2016,11,10.0,Home,JAX,W 26-19,5.0,25.0,25.0,,
A'Shawn Robinson,21.248,DT,DET,2016-11-24,Thu,2016,12,11.0,Home,MIN,W 16-13,3.0,29.0,29.0,,
A'Shawn Robinson,21.258,DT,DET,2016-12-04,Sun,2016,13,12.0,Away,NOR,W 28-13,4.5,13.0,13.0,,
A'Shawn Robinson,21.265,DT,DET,2016-12-11,Sun,2016,14,13.0,Home,CHI,W 20-17,3.0,23.0,23.0,,
A'Shawn Robinson,21.272,DT,DET,2016-12-18,Sun,2016,15,14.0,Away,NYG,L 6-17,3.0,27.0,27.0,,
A'Shawn Robinson,21.28,DT,DET,2016-12-26,Mon,2016,16,15.0,Away,DAL,L 21-42,6.5,39.0,39.0,,
A'Shawn Robinson,21.286,DT,DET,2017-01-01,Sun,2016,17,16.0,Home,GNB,L 24-31,7.25,40.0,40.0,,
