,Player,Team,Year,09/09vs. CHI,09/16vs. MIN,09/23vs. WAS,09/30vs. BUF,10/07vs. DET,10/15vs. SFO,10/28vs. LAR,11/04vs. NWE,11/11vs. MIA,11/15vs. SEA,11/25vs. MIN,12/02vs. ARI,12/09vs. ATL,12/16vs. CHI,12/23vs. NYJ,12/30vs. DET
0,Davante Adams,gnb,2018,,Questionable: Shoulder,,,Questionable: Calf,,,,,,,,,,,Questionable: Knee
1,Jaire Alexander,gnb,2018,,,,,Questionable: Groin,Questionable: Groin,,,,,,,,,,Questionable: Groin
2,Geronimo Allison,gnb,2018,,,,,Questionable: Concussion,Questionable: Hamstring,,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
3,David Bakhtiari,gnb,2018,,,,,,,,,,,,Questionable: Knee,,,,Questionable: Hip
4,Byron Bell,gnb,2018,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
5,Hunter Bradley,gnb,2018,,,,,,,,,,,,,Questionable: Ankle,,,
6,Bashaud Breeland,gnb,2018,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,,
7,Kentrell Brice,gnb,2018,,,,,Questionable: Ankle,,,,,Out: Ankle,Questionable: Ankle,Out: Ankle,Questionable: Ankle,,,Questionable: Ankle
8,Fadol Brown,gnb,2018,,,,,,,,,,,,,,,,Questionable: Toe
9,Bryan Bulaga,gnb,2018,,,,,,Questionable: Knee,,,Questionable: Knee,,,,Doubtful: Knee,Doubtful: Knee,,
10,Oren Burks,gnb,2018,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,,,,
11,Ibraheim Campbell,gnb,2018,,,,,,,,,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
12,Tra Carson,gnb,2018,,,,,,,,,,,,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs,Injured Reserve: Ribs
13,Kenny Clark,gnb,2018,,,,,,,,,,,,,,Injured Reserve: Elbow,Out: Elbow,Injured Reserve: Elbow
14,Michael Clark,gnb,2018,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
15,Randall Cobb,gnb,2018,,,,Questionable: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,Doubtful: Concussion,
16,James Crawford,gnb,2018,Questionable: Hamstring,,,,,,,,,,,,,,,
17,Mike Daniels,gnb,2018,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
18,Trevor Davis,gnb,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,Out: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
19,Jimmy Graham,gnb,2018,,,,,,,,,,,Questionable: Knee,,,,,
20,Raven Greene,gnb,2018,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Out: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
21,Davon House,gnb,2018,,,Questionable: Biceps,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
22,Aaron Jones,gnb,2018,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
23,Josh Jones,gnb,2018,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,,
24,Kevin King ,gnb,2018,,,Out: Groin,Questionable: Groin,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
25,Jake Kumerow,gnb,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,,,,Questionable: Hand,
26,Cole Madison,gnb,2018,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
27,Blake Martinez,gnb,2018,,,,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,
28,Justin McCray,gnb,2018,,,,Doubtful: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,
29,Kyle Murphy,gnb,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
30,Lucas Patrick,gnb,2018,,,,,Questionable: Back,,,,,Doubtful: Concussion,Questionable: Concussion,,,,,Questionable: Abdomen
31,Nick Perry ,gnb,2018,,,,Questionable: Concussion,,,,Questionable: Ankle,,Out: Knee,Out: Knee,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
32,Will Redmond,gnb,2018,,,,,,,,,,,,,,,Out: Shoulder,Injured Reserve: Shoulder
33,Aaron Rodgers ,gnb,2018,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,,,
34,Jake Ryan,gnb,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
35,Jason Spriggs,gnb,2018,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,Doubtful: Concussion,Doubtful: Concussion
36,Lane Taylor,gnb,2018,,,,,,,,,,,,Questionable: Quadricep,Questionable: Foot,,,Questionable: Knee
37,Jermaine Whitehead,gnb,2018,,,,,Questionable: Back,Questionable: Back,,Questionable: Back,,,,,,,,
38,Muhammad Wilkerson,gnb,2018,,,,Out: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
