,Player,Team,Year,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND
0,D.J. Alexander,jax,2019,,,Out: Hamstring,Out: Hamstring,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Dakota Allen,jax,2019,,,,,,,,,,,,,,,,Questionable: Hamstring
2,Alfred Blue,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,
3,A.J. Bouye,jax,2019,,Questionable: Hip,Questionable: Hip,,,,,,,,,,,,,Out: Wrist
4,Cody Brown,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,
5,DJ Chark,jax,2019,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,
6,Marcell Dareus,jax,2019,Questionable: Elbow,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
7,Seth Devalve,jax,2019,,,,,,,,,,Doubtful: Oblique,Out: Oblique,Out: Oblique,Doubtful: Oblique,,,
8,Nick Foles,jax,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,
9,Leonard Fournette ,jax,2019,,,,,,,,,,,,,,,,Doubtful: Neck
10,Najee Goode,jax,2019,,,,,,,,Out: Toe,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
11,Donnell Greene,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
12,Ronnie Harrison,jax,2019,,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,,
13,D.J. Hayden,jax,2019,,,,,Questionable: Foot,,,,Questionable: Neck,,,,,,,
14,Tre Herndon,jax,2019,,,,,,,,,,,,Questionable: Shoulder,,,,
15,Ben Ijalana,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Myles Jack,jax,2019,,,,,,,,,,,,Questionable: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Leon Jacobs,jax,2019,,,,,,,,Out: Hamstring,Out: Hamstring,,,,,,,
18,Marqise Lee ,jax,2019,,Questionable: Knee,,,,,Out: Ankle,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Devante Mays,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
20,Lerentee McCray,jax,2019,,,,,Questionable: Oblique,Questionable: Oblique,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
21,KC McDermott,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Taj McGowan,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
23,Gardner Minshew II,jax,2019,,,,,,,,,,,,,,,,Questionable: right Shoulder
