,Player,Team,Year,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND
24,Yannick Ngakoue,jax,2019,,Out: Hamstring,,,,,,,,,,,,,,
25,Nick O'Leary,jax,2019,,,,,,,,,,,,,,,,Questionable: Shoulder
26,James O'Shaughnessy,jax,2019,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Cedric Ogbuehi,jax,2019,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,,
28,Josh Oliver ,jax,2019,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,James Onwualu,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Jalen Ramsey,jax,2019,,,,Questionable: Not Injury Related,Out: Back,Questionable: Back,,,,,,,,,,
31,Cam Robinson ,jax,2019,Doubtful: Knees,Questionable: Knee,,,,,,,,,,,,,,
32,Josh Robinson,jax,2019,,,Questionable: Foot,,,,,,,,,,,,,
33,Jake Ryan,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Marcus Simms,jax,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,
35,Geoff Swaim,jax,2019,,,,Questionable: Illness,,,Out: Concussion,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Brandon Thomas,jax,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Michael Walker,jax,2019,,,,,,,,,,,,,,,,Injured Reserve: 
38,Dede Westbrook,jax,2019,,,,,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Neck,,,,,,,Questionable: Neck
39,Leonard Wester ,jax,2019,Injured Reserve: ,,,,,,,,,,,,,,,
40,Quincy Williams,jax,2019,,,,,,,,Out: Hamstring,Out: Hamstring,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
