,Player,Team,Year,09/09vs. CLE,09/16vs. KAN,09/24vs. TAM,09/30vs. BAL,10/07vs. ATL,10/14vs. CIN,10/28vs. CLE,11/04vs. BAL,11/08vs. CAR,11/18vs. JAX,11/25vs. DEN,12/02vs. LAC,12/09vs. OAK,12/16vs. NWE,12/23vs. NOR,12/30vs. CIN
0,Olasunkanmi Adeniyi,pit,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
1,Tyson Alualu,pit,2018,,Doubtful: Shoulder,,,,,,,,,,,,,,
2,Nat Berhe,pit,2018,,,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
3,Chris Boswell,pit,2018,,,,,,,,,,,,,,,,Injured Reserve: Undisclosed
4,Antonio Brown ,pit,2018,,,,,,,,,,,,,,,,Questionable: NotInjuryRelated
5,Morgan Burnett,pit,2018,,,Doubtful: Groin,Doubtful: Groin,Doubtful: Groin,Out: Groin,,,,,,Doubtful: Back,Questionable: Back,,,
6,Artie Burns,pit,2018,,Questionable: Toe,,,,,,Questionable: Ankle,,,,,,,,
7,Joe Cheek,pit,2018,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
8,Anthony Chickillo ,pit,2018,,,,,,,,,,,,,Questionable: Ankle,,,
9,James Conner,pit,2018,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,Out: Ankle,Questionable: Ankle
10,Sean Davis,pit,2018,,,,,,,,,,,,,,,,Questionable: Quadricep
11,David DeCastro,pit,2018,,Doubtful: Hand,Doubtful: Hand,,,,,,,,,,,,,
12,Bud Dupree,pit,2018,,,,,,,,,,,,Questionable: Pectoral,,,,
13,Matt Feiler,pit,2018,,,,,,,,,,,Questionable: Pectoral,,,,,
14,L.J. Fort,pit,2018,,,,,,Doubtful: Ankle,,,,,,,,,,
15,Marcus Gilbert,pit,2018,,,Doubtful: Hamstring,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Out: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Joe Haden,pit,2018,,Doubtful: Hamstring,,,,,,,,,,,,,,
17,Jerald Hawkins,pit,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Cameron Heyward,pit,2018,,Questionable: Knee,,,,,,,,,,,,,,
19,Darrius Heyward-Bey,pit,2018,,,,,Doubtful: Ankle,Out: Ankle,,,,,,,,,,
20,Mike Hilton,pit,2018,,,,Doubtful: Elbow,,,,,,,,,,,,
21,Justin Hunter,pit,2018,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
22,Trey Johnson,pit,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
23,Keith Kelsey,pit,2018,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
24,Ryan Malleck,pit,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
25,Daniel McCullers,pit,2018,,,,,,,,,Out: Ankle,,,,,,,
26,Vance McDonald,pit,2018,Out: Foot,Questionable: Foot,,,,,,,,,,,,,,
27,Jake McGee,pit,2018,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
28,Ben Roethlisberger,pit,2018,,Questionable: rightElbow,,,,,,,,,,,,,,
29,Eli Rogers ,pit,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,
30,Coty Sensabaugh,pit,2018,,,,,,,,Questionable: Toe,,,,,,,,
31,Ryan Shazier,pit,2018,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
32,JuJu Smith-Schuster,pit,2018,,,,,,,,,,,,,,,Questionable: Groin,
33,Cameron Sutton,pit,2018,,,,,,,,,,,,Questionable: NotInjuryRelated,,,,
34,Ryan Switzer,pit,2018,,,,,,,,,,,,,,Questionable: Ankle,,
35,Stephon Tuitt,pit,2018,,,,,,,,,,Out: Elbow,Out: Elbow,,,,,
36,Vince Williams,pit,2018,,,,,Doubtful: Hamstring,,,,,,,,,,,Doubtful: Toe
