Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Patrick Peterson ,CB,ARI,0,0,0,0,0,0,70,69,70,69,72,bye,79,58,70,57,82
Adrian Clayborn ,DE,ATL,12,35,28,16,15,29,22,22,bye,36,39,31,28,47,44,35,0
Prince Amukamara ,CB,CHI,61,80,77,60,69,bye,76,44,84,81,54,59,73,0,28,39,6
Marcell Dareus ,DT,JAC,0,35,38,29,36,38,30,0,0,bye,0,0,0,0,0,0,0
Cameron Heyward ,DE,PIT,52,58,56,36,68,49,bye,48,55,67,65,49,54,47,61,45,64
Von Miller ,LB,DEN,53,57,50,72,64,58,52,60,59,bye,51,59,0,43,59,40,57
Robert Quinn ,LB,DAL,0,0,44,49,54,45,23,bye,50,51,47,48,49,46,45,52,45
J.J. Watt ,DE,HOU,60,63,70,62,68,53,65,28,0,bye,0,0,0,0,0,0,0
Allen Bailey ,DE,ATL,44,36,43,46,52,38,52,38,bye,13,28,42,19,28,0,29,5
Justin Houston ,DE,IND,50,45,45,43,46,bye,51,50,42,47,36,39,33,45,36,35,31
Ryan Kerrigan ,DE,WAS,58,49,54,53,64,61,57,51,54,bye,57,54,0,30,0,0,0
Corey Liuget ,DT,Multi,0,0,0,21,8,0,17,0,0,17,19,14,12,17,0,21,34
Cameron Jordan ,DE,NO,63,55,81,57,45,54,40,43,bye,70,62,67,64,61,29,52,33
Jimmy Smith ,CB,BAL,6,0,0,0,0,0,0,bye,54,60,41,51,36,71,49,36,0
Brooks Reed ,DE,ARI,11,4,6,5,12,5,11,23,1,0,0,bye,0,0,0,0,0
Jabaal Sheard ,DE,IND,0,0,0,31,43,bye,46,55,46,46,45,42,37,49,40,46,43
Marcus Gilchrist ,S,Multi,0,0,0,0,0,0,0,0,0,0,0,0,19,14,20,0,0
Terrell McClain ,DT,Multi,0,0,0,0,0,26,10,0,7,12,0,0,6,0,0,0,0
Jurrell Casey ,DE,TEN,45,55,50,56,54,45,49,62,0,0,bye,48,58,48,45,51,42
K.J. Wright ,LB,SEA,68,53,55,55,70,62,58,68,72,79,bye,72,53,63,62,61,45
Sam Acho ,LB,TB,0,0,0,0,0,0,bye,0,0,9,8,16,2,2,1,0,0
Buster Skrine ,CB,CHI,30,64,62,42,43,bye,37,38,55,64,16,51,54,56,36,49,30
Richard Sherman ,CB,SF,69,53,53,bye,46,47,45,53,56,73,67,65,62,63,0,69,74
Pernell McPhee ,LB,BAL,24,38,56,46,44,40,12,bye,0,0,0,0,0,0,0,0,0
Colin Jones ,S,CAR,0,0,0,2,0,0,bye,1,0,5,3,3,0,0,0,0,0
Lawrence Guy ,DT,NE,22,14,18,39,26,31,33,32,50,bye,39,43,36,35,45,29,32
Malcolm Smith ,LB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,35
Alex Brown ,CB,KC,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,9,0
Terrell Suggs ,LB,Multi,65,56,39,45,50,31,50,53,54,61,47,0,42,45,0,17,35
Mike Adams ,S,HOU,0,0,0,0,0,0,0,14,40,bye,0,0,0,0,0,1,13
Thomas Davis Sr. ,LB,LAC,63,60,59,41,40,47,51,66,50,57,65,bye,35,31,53,44,43
Johnathan Joseph ,CB,HOU,66,62,70,56,73,0,13,0,40,bye,24,66,77,30,33,6,7
Eric Smith ,S,NYG,0,0,0,0,0,0,0,0,0,53,bye,0,0,0,3,0,0
Domata Peko Sr. ,DT,BAL,0,0,0,0,0,0,0,bye,0,0,24,20,16,22,20,19,21
Antoine Bethea ,S,NYG,68,69,75,49,67,79,64,62,69,65,bye,73,65,87,71,70,74
