,Player,Team,Year,09/10vs. GNB,09/17vs. SFO,09/24vs. TEN,10/01vs. IND,10/08vs. LAR,10/22vs. NYG,10/29vs. HOU,11/05vs. WAS,11/09vs. ARI,11/20vs. ATL,11/26vs. SFO,12/03vs. PHI,12/10vs. JAX,12/17vs. LAR,12/24vs. DAL,12/31vs. ARI
31,Robert Myers,sea,2017,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
32,Rees Odhiambo,sea,2017,,,,,,,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand
33,Ronald Powell,sea,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
34,C.J. Prosise,sea,2017,,,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,Doubtful: Ankle,Questionable: Ankle,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
35,Thomas Rawls,sea,2017,Questionable: Ankle,,,,,,,,,,,,,,,
36,Jarran Reed,sea,2017,Questionable: Shoulder,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,
37,Paul Richardson ,sea,2017,,,,,,,,,Questionable: Groin,,,,,,,
38,Sheldon Richardson ,sea,2017,,,,,,,,Questionable: Oblique,Questionable: Oblique,,,,,,,
39,Justin Senior,sea,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
40,DeShawn Shead,sea,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,
41,Richard Sherman,sea,2017,Questionable: Thigh,Questionable: Hamstring,,,,,,,Questionable: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
42,Marcus Smith,sea,2017,,,,,,Questionable: Ankle,Questionable: Ankle,,Out: Concussion,,,,,,,
43,Earl Thomas,sea,2017,,,,,,,,Out: Hamstring,Doubtful: Hamstring,,,Questionable: Heel,,,,
44,Neiko Thorpe,sea,2017,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,,
45,Nick Vannett,sea,2017,,,,,,,,,,,,,,,Questionable: Shoulder,Questionable: Back
46,Bobby Wagner,sea,2017,,,,,,,,Questionable: Hamstring,,,Questionable: Hamstring,Questionable: Hamstring,,Questionable: Hamstring,,Questionable: Hamstring
47,Michael Wilhoite,sea,2017,Doubtful: Calf,,,,Questionable: Hamstring,,,,,Out: Calf,Questionable: Calf,,,,,
48,Luke Willson,sea,2017,,,,,,,,,,,,,,,,Questionable: Ankle
49,K.J. Wright,sea,2017,,,,,,,,,,,,,,Doubtful: Concussion,,
