Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Patrick Peterson ,CB,ARI,78,73,73,65,96,71,58,66,bye,59,66,69,76,60,67,68,63
Adrian Clayborn ,DE,NE,22,21,31,18,42,18,33,20,17,9,bye,29,23,15,20,0,0
Prince Amukamara ,CB,CHI,59,66,25,0,bye,52,63,54,89,76,67,60,69,62,68,55,46
Marcell Dareus ,DT,JAC,47,46,42,32,46,44,34,31,bye,40,24,0,46,19,45,25,43
Cameron Heyward ,DE,PIT,76,50,54,56,51,49,bye,53,48,40,62,45,50,54,52,57,45
Von Miller ,LB,DEN,50,50,49,53,46,52,56,53,51,bye,59,54,62,61,55,53,41
Robert Quinn ,LB,MIA,41,33,54,45,41,50,37,31,40,37,bye,41,42,45,40,32,26
J.J. Watt ,DE,HOU,70,59,52,79,56,54,61,53,60,bye,67,46,49,63,70,77,47
Allen Bailey ,DE,KC,57,51,48,52,62,58,29,53,56,52,54,bye,60,58,55,62,40
Justin Houston ,DE,KC,63,70,64,58,22,0,0,0,0,49,64,bye,65,66,67,78,53
Ryan Kerrigan ,DE,WAS,36,50,57,bye,48,48,50,58,52,44,53,64,59,54,46,42,58
Corey Liuget ,DT,LAC,0,0,0,0,31,42,34,bye,52,36,11,0,0,0,0,0,0
Cameron Jordan ,DE,NO,60,60,62,58,50,bye,68,68,55,23,31,61,66,65,54,70,32
Jimmy Smith ,CB,BAL,0,0,0,0,35,27,70,62,51,bye,44,53,46,84,37,53,48
Muhammad Wilkerson ,DE,GB,43,49,24,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Brooks Reed ,DE,ATL,28,32,62,27,34,22,22,bye,21,25,26,20,26,29,29,33,22
Jabaal Sheard ,DE,IND,40,58,65,63,55,62,49,43,bye,58,48,40,41,47,49,56,42
Bruce Carter ,LB,ATL,0,0,0,0,5,12,20,bye,10,8,11,12,1,0,0,0,0
Jarvis Jenkins ,DE,KC,18,19,16,10,31,10,15,17,21,15,19,bye,15,0,0,0,0
Marcus Gilchrist ,S,OAK,56,53,33,68,57,52,0,70,40,50,54,59,68,58,73,67,15
Terrell McClain ,DT,ATL,39,37,41,29,38,40,20,bye,25,11,16,27,31,20,0,0,0
Kelvin Sheppard ,LB,DET,0,0,0,0,0,bye,0,0,0,0,0,0,0,11,0,0,0
Jurrell Casey ,DE,TEN,52,49,41,58,53,57,36,bye,46,48,41,49,62,59,52,42,0
Mason Foster ,LB,WAS,37,60,69,bye,66,60,66,70,68,69,63,70,75,64,52,56,69
Shareece Wright ,CB,HOU,0,0,40,81,43,37,0,0,66,bye,52,33,47,43,17,0,47
Chris Conte ,S,TB,64,43,11,0,bye,0,0,0,0,0,0,0,0,0,0,0,0
K.J. Wright ,LB,SEA,0,0,0,0,0,0,bye,50,44,39,0,0,0,0,0,43,46
Da'Norris Searcy ,S,CAR,41,29,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Acho ,LB,CHI,11,15,2,0,bye,0,0,0,0,0,0,0,0,0,0,0,0
Davon House ,CB,GB,0,24,5,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Buster Skrine ,CB,NYJ,59,49,15,61,13,0,0,63,49,54,bye,39,48,65,31,83,64
Richard Sherman ,CB,SF,71,77,35,0,51,69,0,66,47,59,bye,62,55,74,75,54,40
Pernell McPhee ,LB,WAS,15,11,14,bye,18,12,17,16,16,0,0,0,18,14,14,14,24
Colin Jones ,S,CAR,23,6,43,bye,0,0,0,4,0,9,0,0,0,1,0,0,13
Lawrence Guy ,DT,NE,30,40,41,25,40,31,39,34,27,38,bye,28,30,31,34,22,30
Malcolm Smith ,LB,SF,0,0,33,23,26,23,7,39,33,59,bye,26,58,0,3,0,6
Julius Peppers ,DE,CAR,25,19,29,bye,37,39,41,32,40,30,36,32,31,19,41,23,35
Terrell Suggs ,LB,BAL,31,46,41,41,66,30,54,43,47,bye,48,49,41,70,40,48,49
Mike Adams ,S,CAR,64,63,61,bye,56,70,66,68,65,50,65,61,64,53,75,41,18
Adam Jones ,CB,DEN,38,20,0,53,9,0,0,0,23,bye,5,0,0,0,0,0,0
Thomas Davis Sr. ,LB,CAR,0,0,0,bye,0,62,58,50,50,41,65,62,65,49,75,48,26
Derrick Johnson ,LB,OAK,39,43,14,21,18,16,0,0,0,0,0,0,0,0,0,0,0
Haloti Ngata ,DT,PHI,17,36,27,37,0,0,0,26,bye,37,33,25,15,46,32,24,14
Johnathan Joseph ,CB,HOU,72,57,60,88,61,58,69,10,0,bye,75,40,17,67,71,67,0
Frostee Rucker ,DE,OAK,41,28,22,52,16,0,0,52,36,38,28,49,41,38,56,28,25
Domata Peko Sr. ,DT,DEN,25,34,36,36,38,37,28,38,33,bye,39,26,34,35,30,28,26
Kyle Williams ,DT,BUF,45,42,44,48,34,40,35,49,32,37,bye,46,37,42,40,48,38
Antoine Bethea ,S,ARI,77,73,74,66,98,71,59,64,bye,59,68,69,76,60,67,68,63
Reggie Nelson ,S,OAK,63,48,39,54,42,37,0,0,29,12,20,8,19,0,0,0,0
Leon Hall ,CB,OAK,62,55,33,47,39,54,0,37,23,12,4,0,0,0,0,0,0
Eric Weddle ,S,BAL,47,76,68,62,80,44,71,63,80,bye,55,58,53,86,50,63,59
Brandon Mebane ,DT,LAC,23,28,44,37,21,31,42,bye,36,34,37,0,0,0,0,34,37
Michael Johnson ,DE,CIN,46,4,0,29,22,45,31,39,bye,32,42,36,37,24,20,35,26
Zak DeOssie ,LB,NYG,1,0,0,0,0,0,0,0,bye,0,0,1,0,0,0,0,0
Corey Graham ,S,PHI,40,16,47,71,3,0,0,0,bye,28,61,59,45,99,76,65,45
Lorenzo Alexander ,LB,BUF,44,31,39,34,35,20,17,57,29,36,bye,47,24,26,55,73,61
