,Player,Team,Year,09/10vs. DET,09/16vs. MIA,09/20vs. CLE,09/30vs. JAX,10/07vs. DEN,10/14vs. IND,10/21vs. MIN,10/28vs. CHI,11/04vs. MIA,11/11vs. BUF,11/25vs. NWE,12/02vs. TEN,12/09vs. BUF,12/15vs. HOU,12/23vs. GNB,12/30vs. NWE
11,Jordan Jenkins,nyj,2018,,,,,,,,,,,,,,Questionable: Shoulder,Questionable: Ankle,Questionable: Ankle
12,Trumaine Johnson,nyj,2018,,,,,Out: Quadricep,Doubtful: Quadricep,Doubtful: Quadricep,Doubtful: Quadricep,Doubtful: Quadricep,,,,,Questionable: Foot,,
13,Jermaine Kearse,nyj,2018,Doubtful: Abdomen,,,,,,,,,,,,,,,Out: Achilles
14,Jordan Leggett,nyj,2018,,,,,,,,,,,,,Questionable: Knee,,,
15,Spencer Long ,nyj,2018,,,,,,,,Questionable: Knee,,Doubtful: Knee,,,,,,
16,Frankie Luvu,nyj,2018,,,,,,,,,Questionable: Neck,,,,,,,
17,Josh Martin ,nyj,2018,Out: Concussion,Out: Concussion,Out: Concussion,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
18,Rishard Matthews,nyj,2018,,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring
19,Marcus Maye,nyj,2018,Doubtful: Foot,Doubtful: Foot,Doubtful: Foot,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Out: Thumb,Questionable: Thumb,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
20,Elijah McGuire ,nyj,2018,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,,,,
21,Steve McLendon,nyj,2018,,,,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,
22,Doug Middleton,nyj,2018,,Questionable: Finger,,Questionable: Knee,,Questionable: Hamstring,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
23,Rontez Miles,nyj,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,,,
24,Charone Peake,nyj,2018,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,,,,,
25,Claude Pelon,nyj,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
26,Kevin Pierre-Louis,nyj,2018,,,,,,Doubtful: Foot,Doubtful: Foot,Questionable: Foot,Doubtful: Foot,,,,,Questionable: Shoulder,Injured Reserve: Shoulder,Out: Shoulder
27,Bilal Powell,nyj,2018,,,,,,,,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
28,Terrelle Pryor,nyj,2018,,,,,,,Doubtful: Groin,,,,,,,,,
29,Andre Roberts,nyj,2018,,,,,,,,,Questionable: Back,,,,,,,
30,Darryl Roberts,nyj,2018,,,,,,,,,,,,,,,Questionable: Toe,
31,Brandon Shell,nyj,2018,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
32,Buster Skrine,nyj,2018,,,,Questionable: Knee,,Out: Concussion,Out: Concussion,,,,,,Questionable: Shoulder,,,
33,Neal Sterling,nyj,2018,,,Out: Concussion,Out: Concussion,Out: Concussion,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
34,Eric Tomlinson,nyj,2018,,,,,,,,,,,,,,,,Injured Reserve: Undisclosed
