,Player,Team,Year,09/08vs. MIN,09/15vs. PHI,09/22vs. IND,09/29vs. TEN,10/06vs. HOU,10/13vs. ARI,10/20vs. LAR,10/27vs. SEA,11/10vs. NOR,11/17vs. CAR,11/24vs. TAM,11/28vs. NOR,12/08vs. CAR,12/15vs. SFO,12/22vs. JAX,12/29vs. TAM
0,Allen Bailey,atl,2019,,,,,,,,,,,,,,Out: Not Injury Related,,
1,Kenjon Barner,atl,2019,,,,Out: Concussion,Out: Knee,,,,,,,,,,,
2,Kurt Benkert,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
3,Michael Bennett,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
4,Matthew Bosher,atl,2019,,,Out: right Groin,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Jamon Brown,atl,2019,,,,,Out: Concussion,,,,,,,,,,,Out: Illness
6,Ryan Brown,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,
7,Taveze Calhoun,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,
8,James Carpenter,atl,2019,,,,,,,,Out: Knee,,,,,Out: Concussion,Out: Concussion,Injured Reserve: ,Injured Reserve: 
9,Adrian Clayborn,atl,2019,,,,,,,,,,,,,,,,Out: Knee
10,John Cominsky,atl,2019,,,,,,,,,Out: Ankle,,Questionable: Ankle,,,,,
11,Johnathan Cyprien,atl,2019,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
12,Devonta Freeman ,atl,2019,,,,,,,,,,Out: Foot,Out: Foot,,,,,
13,Russell Gage,atl,2019,,Questionable: Head,,,,,,,,,,,,,,
14,Matt Gono,atl,2019,Out: Back,Out: Back,,,,,,,,,,,,,,
15,Alex Gray,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Ra'Shede Hageman,atl,2019,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Austin Hooper,atl,2019,,,,,,,,,,Out: Knee,Out: Knee,Out: Knee,,,,
18,Kemal Ishmael,atl,2019,,,,,,,,,,Out: Concussion,Out: Concussion,,,,,
19,Grady Jarrett,atl,2019,,,,,,,,Questionable: Abdomen,,,,,,,,
20,Julio Jones ,atl,2019,,,,,,,,,,,,Questionable: Shoulder,,,,
21,Damontae Kazee,atl,2019,,,,,Questionable: Illness,,,,,,,,,,,
22,Chris Lindstrom ,atl,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,
23,Takkarist McKinley ,atl,2019,,,,,,,,,,,Questionable: Shoulder,,,,Injured Reserve: ,Injured Reserve: 
24,Steven Means,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Keanu Neal,atl,2019,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
26,Sharrod Neasman,atl,2019,,,,,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,,,
27,Isaiah Oliver,atl,2019,,,,,,,,,,,,,,Questionable: Shoulder,,
28,Brandon Powell,atl,2019,,,,,,,,,,,,,,,,Out: Wrist
29,Calvin Ridley,atl,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Matt Ryan,atl,2019,,,,,,,,Questionable: Ankle,,,,,,,,
31,Ty Sambrailo,atl,2019,,,,,,,,,,,,,Out: Hamstring,Out: Hamstring,,
32,Wes Schweitzer ,atl,2019,,,,,,,,,Out: Concussion,,,,,,,
33,Kendall Sheffield,atl,2019,,,,,,,,,,,Questionable: Illness,,,,,
34,Matt Simms,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Ito Smith,atl,2019,,,,,,,,Out: Concussion,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Luke Stocker,atl,2019,,,,,,,,,,,,Questionable: Back,,,,
37,Desmond Trufant,atl,2019,,,,,,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
38,J.J. Wilcox,atl,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
39,Matt Wile,atl,2019,,,,,,Out: right Quadricep,,,,,,,,,,
40,Blidi Wreh-Wilson,atl,2019,,,,,Out: Groin,Out: Groin,,,,,,,,,,
