,Player,Team,Year,09/08vs. TAM,09/15vs. CIN,09/22vs. PIT,10/07vs. CLE,10/13vs. LAR,10/20vs. WAS,10/27vs. CAR,10/31vs. ARI,11/11vs. SEA,11/17vs. ARI,11/24vs. GNB,12/01vs. BAL,12/08vs. NOR,12/15vs. ATL,12/21vs. LAR,12/29vs. SEA,01/11vs. MIN,01/19vs. GNB,02/02vs. KAN
15,Jalen Hurd,sfo,2019,Out: Back,Out: Back,Out: Back,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,D.J. Jones,sfo,2019,,,,,,Out: Hamstring,,,,Out: Groin,,,,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Kyle Juszczyk,sfo,2019,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,,,,,,,,,
18,Derrick Kindred,sfo,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: ,reserve/future: 
19,George Kittle,sfo,2019,,,,,Questionable: Groin,,,,Doubtful: Knee,Doubtful: Knee,Questionable: Knee,,,,,,,,
20,Jonathan Kongbo,sfo,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: ,reserve/future: 
21,Andrew Lauderdale,sfo,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Mike McGlinchey,sfo,2019,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,
23,Jerick McKinnon ,sfo,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Damontre Moore,sfo,2019,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Raheem Mostert,sfo,2019,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,
26,Michael Person,sfo,2019,,,,,,,,,,,,,,,Questionable: Neck,Questionable: Neck,,,
27,Dante Pettis,sfo,2019,,,,,,,,,,Questionable: Back,,Out: Knee,Questionable: Knee,,,,,,
