,Player,Team,Year,09/10vs. PHI,09/17vs. LAR,09/24vs. OAK,10/02vs. KAN,10/15vs. SFO,10/23vs. PHI,10/29vs. DAL,11/05vs. SEA,11/12vs. MIN,11/19vs. NOR,11/23vs. NYG,11/30vs. DAL,12/10vs. LAC,12/17vs. ARI,12/24vs. DEN,12/31vs. NYG
29,Shawn Lauvao,was,2017,,,,,,,,Out: Stinger,Questionable: Stinger,Questionable: Stinger,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
30,Spencer Long ,was,2017,Questionable: Knee,,,,,,Out: Knee,Doubtful: Knee,Questionable: Knee,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor,Injured Reserve: Hip Flexor
31,Byron Marshall,was,2017,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
32,Keith Marshall,was,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Terrell McClain,was,2017,,,,,,,,,,,Out: Toe,Out: Toe,Questionable: Toe,Questionable: Toe,Questionable: Toe,Questionable: Toe
34,Stefan McClure,was,2017,,,,,,Questionable: Knee,Questionable: Knee,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
35,Fabian Moreau,was,2017,,,,,,,Questionable: Hamstring,,,,,,,,,
36,Morgan Moses,was,2017,,,,,,,Questionable: Ankle,,Questionable: Ankle,,Questionable: Eye,Questionable: Knee,Questionable: Ankle,Questionable: Ankle,Questionable: Illness,
37,Trent Murphy,was,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
38,Montae Nicholson ,was,2017,,,Questionable: Shoulder,,,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
