,Player,Team,Year,09/08vs. BAL,09/15vs. NWE,09/22vs. DAL,09/29vs. LAC,10/13vs. WAS,10/20vs. BUF,10/28vs. PIT,11/03vs. NYJ,11/10vs. IND,11/17vs. BUF,11/24vs. CLE,12/01vs. PHI,12/08vs. NYJ,12/15vs. NYG,12/22vs. CIN,12/29vs. NWE
38,DeVante Parker,mia,2019,,,,,,,,,,,,,,Questionable: Concussion,,
39,Steven Parker,mia,2019,,,,,,,,,,,,Questionable: Groin,,,,
40,Jamal Perry ,mia,2019,,,,Out: Groin,Questionable: Groin,,,,,,,,,,,Out: Shoulder
41,Jason Sanders,mia,2019,,,,,,,,,,,,,,,Questionable: Illness,
42,Zach Sieler,mia,2019,,,,,,,,,,,,,Out: Not Injury Related,,Questionable: Ankle,Questionable: Ankle
43,Aqib Talib,mia,2019,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
44,Cordrea Tankersley,mia,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: 
45,Andrew Van Ginkel,mia,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,
46,Clive Walford,mia,2019,,,,,,,,,,,,,,,,Out: Not Injury Related
47,J'Marcus Webb,mia,2019,,,,,,,,Questionable: Quadricep,,,,,,,,
48,Ken Webster,mia,2019,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
49,Christian Wilkins,mia,2019,,,,,,,,,,,,,,,,Questionable: Ankle
50,Preston Williams,mia,2019,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
51,Gerald Willis,mia,2019,,,,,,,,,,,,,,Out: Hip,Injured Reserve: ,Injured Reserve: 
52,Albert Wilson,mia,2019,Questionable: Hip,Out: Hip,Out: Hip,Questionable: Hip,Questionable: Calf,,,,,,,,,Questionable: Concussion,,
53,Jonathan Woodard,mia,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
