,Player,Team,Year,09/11vs. NOR,09/17vs. PIT,09/24vs. TAM,10/01vs. DET,10/09vs. CHI,10/15vs. GNB,10/22vs. BAL,10/29vs. CLE,11/12vs. WAS,11/19vs. LAR,11/23vs. DET,12/03vs. ATL,12/10vs. CAR,12/17vs. CIN,12/23vs. GNB,12/31vs. CHI,01/14vs. NOR,01/21vs. PHI
10,Michael Floyd ,min,2017,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
11,Sharrif Floyd ,min,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Everson Griffen,min,2017,,,,,,,,,Questionable: Foot,Questionable: Foot,,,,,,,,
13,Anthony Harris,min,2017,,,,,,,,,Questionable: Hamstring,,,,,,,,,
14,Rashod Hill,min,2017,,,,Questionable: Knee,Out: Knee,,,,,,,,,,,,,
15,Datone Jones,min,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,,,Injured Reserve: Shoulder,,Injured Reserve: Shoulder,Injured Reserve: Shoulder
16,Jayron Kearse,min,2017,,,,,Questionable: Groin,,,,,,,,,,,,,
17,Eric Kendricks,min,2017,,,,,,,,,,,,Questionable: Hip,,,,,,
18,Emmanuel Lamur,min,2017,,,,,,,,,,,,,,Questionable: Foot,,,,
19,Kevin McDermott,min,2017,,,,,,,,,,,,,,,,Out: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
20,David Morgan,min,2017,,,,,,,,,,,,,Out: Concussion,,,,,
21,Terence Newman,min,2017,,,,,,,,,,,,,,,,,Questionable: Foot,
