,Player,Team,Year,09/08vs. LAR,09/12vs. TAM,09/22vs. ARI,09/29vs. HOU,10/06vs. JAX,10/13vs. TAM,10/27vs. SFO,11/03vs. TEN,11/10vs. GNB,11/17vs. ATL,11/24vs. NOR,12/01vs. WAS,12/08vs. ATL,12/15vs. SEA,12/22vs. IND,12/29vs. NOR
15,Chris Hogan ,car,2019,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,
16,Bruce Irvin,car,2019,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,
17,Donte Jackson,car,2019,,,,Questionable: Groin,Out: Groin,Questionable: Groin,,,,Questionable: Hip,,,,,,
18,Natrell Jamerson,car,2019,,,,,,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Tyler Larsen,car,2019,,,,,,Questionable: Back,,,,,,,,,,
20,Greg Little,car,2019,Out: Concussion,,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,,Questionable: Knee,Doubtful: Ankle,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
21,Chris Manhertz,car,2019,,,,,Out: Concussion,Questionable: Concussion,,,,,,,,,,
22,Gerald McCoy,car,2019,,,,,Questionable: Knee,,,,,,,,,,,
23,Garrett McGhin ,car,2019,,,,,,,,,,,,,Questionable: Ankle,Doubtful: Ankle,Injured Reserve: ,Injured Reserve: 
24,Christian Miller,car,2019,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,
25,D.J. Moore,car,2019,,,,,,,,,,,,,,,,Out: Concussion
26,Taylor Moton,car,2019,,,,,,,,,,,,Questionable: Knee,,,,
27,Cam Newton,car,2019,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
28,Kitt O'Brien,car,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,Greg Olsen,car,2019,,Questionable: Back,Questionable: Back,,,,,,,,,,Out: Concussion,Out: Concussion,,
30,Matt Paradis,car,2019,,,,,,,,,,,,,,,Questionable: Illness,
31,Damian Parms,car,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,
32,Dontari Poe,car,2019,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
33,Eric Reid,car,2019,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,Questionable: Ankle,,Questionable: Illness,,
34,Curtis Samuel ,car,2019,,,,,,,,Questionable: Shoulder,,,,,,,Questionable: Knee,
35,Jordan Scarlett,car,2019,,,,,,,,,,,,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Kawann Short,car,2019,,,Questionable: Shoulder,Questionable: Shoulder,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Shaq Thompson,car,2019,,,,,,Questionable: Ankle,,,,,,,,,Out: Ankle,Out: Foot
38,Trai Turner,car,2019,,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,,,,,,,
39,Destiny Vaeao,car,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,
40,Greg Van Roten,car,2019,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
