,Player,Team,Year,09/09vs. TAM,09/16vs. CLE,09/23vs. ATL,09/30vs. NYG,10/08vs. WAS,10/21vs. BAL,10/28vs. MIN,11/04vs. LAR,11/11vs. CIN,11/18vs. PHI,11/22vs. ATL,11/29vs. DAL,12/09vs. TAM,12/17vs. CAR,12/23vs. PIT,12/30vs. CAR,01/13vs. PHI,01/20vs. LAR
0,Terron Armstead,nor,2018,,,,,,,,,,Out: Shoulder,Out: Pectoral,Out: Pectoral,Out: Pectoral,Out: Pectoral,,Out: Pectoral,,
1,Jay Bromley,nor,2018,,,,,,,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
2,Dez Bryant,nor,2018,,,,,,,,,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
3,Jermon Bushrod,nor,2018,Questionable: NotInjuryRelated,,,,,Questionable: NotInjuryRelated,,,,,,,,,Out: Hamstring,Out: Hamstring,,
4,Simmie Cobbs,nor,2018,,,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
5,Brandon Coleman,nor,2018,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
6,Marcus Davenport,nor,2018,,,,Questionable: Hip,,,,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,,,,,,,
7,Tyeler Davison,nor,2018,,Out: Foot,Out: Foot,,,,,,,,,,,,,,,
8,Travin Dural,nor,2018,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
9,John Fullington,nor,2018,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
10,Ted Ginn Jr.,nor,2018,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,,
11,Michael Hoomanawanui,nor,2018,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
