,Player,Team,Year,09/08vs. DAL,09/15vs. BUF,09/22vs. TAM,09/29vs. WAS,10/06vs. MIN,10/10vs. NWE,10/20vs. ARI,10/27vs. DET,11/04vs. DAL,11/10vs. NYJ,11/24vs. CHI,12/01vs. GNB,12/09vs. PHI,12/15vs. MIA,12/22vs. WAS,12/29vs. PHI
0,Keion Adams,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,
1,Jonathan Anderson,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
2,George Asafo-Adjei,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
3,Corey Ballentine,nyg,2019,,,,,,,Out: Concussion,Out: Concussion,,,,,Out: Concussion,,,Questionable: Back
4,Saquon Barkley,nyg,2019,,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,,,,,,,
5,Sam Beal,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,Questionable: Shoulder
6,Lorenzo Carter ,nyg,2019,,,,,Questionable: Neck,Questionable: Neck,,,,,,,,,,
7,Corey Coleman,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
8,Ryan Connelly,nyg,2019,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Tae Davis,nyg,2019,,,,Out: Concussion,Out: Concussion,,,,,,,,,,,
10,Zak DeOssie,nyg,2019,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
11,Garrett Dickerson,nyg,2019,Out: Quadricep,Out: Quadricep,,,,,,,,,,,,,,
12,Rhett Ellison,nyg,2019,,,,,,,,,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion
13,Evan Engram ,nyg,2019,,,,,,Out: Knee,,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Injured Reserve: ,Injured Reserve: 
14,Amba Etta-Tawo,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Bennie Fowler,nyg,2019,,,Questionable: Hamstring,,,,,,,,,,,,,
16,Wayne Gallman,nyg,2019,,,,,,Out: Concussion,,,,,,,,,,
17,Brittan Golden,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
18,Jon Halapio,nyg,2019,,,,,,,,,,Out: Hamstring,,,,,,
19,Nate Harvey,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
20,Daniel Jones ,nyg,2019,,,,,,,,,,,,,Out: Ankle,Out: Ankle,,
21,Kenny Ladler,nyg,2019,Injured Reserve: ,,,,,,,,,,,,,,,
22,Cody Latimer,nyg,2019,,Questionable: Calf,Out: Concussion,,,,,,,,,,,,,
23,Kareem Martin ,nyg,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,
24,Mark McLaurin,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Alec Ogletree,nyg,2019,,,,Out: Hamstring,Out: Hamstring,,,,,,,,,,,Questionable: Back
26,Chris Peace,nyg,2019,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Jabrill Peppers ,nyg,2019,,,,,,,,,,,,Out: Back,Out: Back,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
28,Mike Remmers,nyg,2019,,,,,,,,,,Doubtful: Back,,,,,,Out: Concussion
29,Victor Salako,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
30,Isaiah Searight,nyg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
31,Russell Shepard,nyg,2019,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
32,Sterling Shepard,nyg,2019,,Out: Concussion,,,,Out: Concussion,Out: Concussion,Out: Concussion,,Out: Concussion,,,,,,
33,Scott Simonson,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,Injured Reserve: 
34,Darius Slayton,nyg,2019,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,,
35,Rod Smith,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
36,Golden Tate,nyg,2019,,,,,,,,,,,,Out: Concussion,,,,
37,Henre' Toliver,nyg,2019,Injured Reserve: ,,,,,,,,,,,,,,,
38,Alex Wesley,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
39,Chad Wheeler,nyg,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
40,Ronald Zamort,nyg,2019,Injured Reserve: ,,,,,,,,,,,,,,,
41,Kevin Zeitler,nyg,2019,,,,,,,,,,,,,,Out: Ankle,,
