,Player,Team,Year,09/05vs. CHI,09/15vs. MIN,09/22vs. DEN,09/26vs. PHI,10/06vs. DAL,10/14vs. DET,10/20vs. OAK,10/27vs. KAN,11/03vs. LAC,11/10vs. CAR,11/24vs. SFO,12/01vs. NYG,12/08vs. WAS,12/15vs. CHI,12/23vs. MIN,12/29vs. DET,01/12vs. SEA,01/19vs. SFO
0,Davante Adams,gnb,2019,,,,,Out: Toe,Out: Toe,Out: Toe,Doubtful: Toe,Questionable: Toe,,,,,,,,,
1,Montravius Adams,gnb,2019,,,Doubtful: Shoulder,Out: Shoulder,Questionable: Shoulder,,,,,,,,,,,,,
2,Jaire Alexander,gnb,2019,,,,,,,,,,Questionable: Groin,,,,,,,,
3,Geronimo Allison,gnb,2019,,,,,,,Doubtful: Concussion,,,,,,,,,,,
4,Adrian Amos,gnb,2019,,,,,,,,,,Questionable: Hamstring,,,,,,,,
5,DaShaun Amos,gnb,2019,,,,,,,,,,,,,,,,,,reserve/future: 
6,David Bakhtiari,gnb,2019,,Questionable: Back,,,,,,,,,,,,,,,,
7,Reggie Begelton ,gnb,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: 
8,Curtis Bolton,gnb,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Tony Brown ,gnb,2019,,,,,Out: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,,,,,Questionable: Heel,Questionable: Heel,,,,,
10,Bryan Bulaga,gnb,2019,,,,,Questionable: Shoulder,,,,,,,Questionable: Knee,,,,,,
11,Oren Burks,gnb,2019,Out: Chest,Out: Chest,Out: Chest,Out: Chest,Questionable: Chest,,,,,,,,,,,,,
12,Ibraheim Campbell,gnb,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,,,,,,,,
13,Kenny Clark,gnb,2019,,,,,,,Questionable: Calf,,,,,,,,,,Questionable: Back,
14,Kyler Fackrell,gnb,2019,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,,,,
15,Jimmy Graham,gnb,2019,,,Questionable: Groin,,,,,,,,,,,Questionable: Wrist,,,,
16,Raven Greene,gnb,2019,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Ka'dar Hollman,gnb,2019,Questionable: Neck,Questionable: Neck,,,,,,,,,,,,,,,,
18,Malcolm Johnson,gnb,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Kevin King ,gnb,2019,,,,,Doubtful: Groin,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,,,,
20,Jake Kumerow,gnb,2019,,,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,,,Questionable: Illness,,
21,Tyler Lancaster,gnb,2019,,,,,,,,,,,,,,,,,Questionable: Illness,
22,Corey Linsley,gnb,2019,,,,,,,,Questionable: Back,,,,,,,,,,
23,Dean Lowry,gnb,2019,,,,,,,,,,,,,,,Questionable: Ankle,,,
24,Cole Madison,gnb,2019,,,,,,,,,,,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Yosuah Nijman,gnb,2019,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
26,Will Redmond,gnb,2019,,,,,,,,,,,,Questionable: Foot,,,,Doubtful: Hamstring,,
27,Greg Roberts,gnb,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: 
28,Darnell Savage Jr.,gnb,2019,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,,
29,JK Scott,gnb,2019,,,,,,,,,,,,,,,,,,Questionable: Illness
30,Darrius Shepherd,gnb,2019,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,,
31,Za'Darius Smith,gnb,2019,,,,Questionable: Knee,,,,,,,,,,,,,,
32,Jason Spriggs,gnb,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
33,Equanimeous St. Brown,gnb,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Jace Sternberger,gnb,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,
35,Lane Taylor,gnb,2019,,,Out: Biceps,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Robert Tonyan ,gnb,2019,,,,,,Out: Hip,Doubtful: Hip,Doubtful: Hip,Questionable: Hip,Doubtful: Hip,Questionable: Hip,,,,,,,
37,Billy Turner,gnb,2019,,,,,,,,,,,,,Questionable: Illness,,,,,
38,Marquez Valdes-Scantling,gnb,2019,,,,,,,Questionable: Ankle,,,,,,,,,,,
39,Danny Vitale ,gnb,2019,,,,,,,,,,,Questionable: Knee,,,,,Doubtful: Knee,Questionable: Knee,Questionable: Knee
40,Elijah Wellman,gnb,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: 
41,Dexter Williams,gnb,2019,,,,,,,,,,,,,,,,,Questionable: Illness,
42,Jamaal Williams,gnb,2019,,,,,Out: Concussion,,,,,,,,,,,Doubtful: Shoulder,,
