,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
0,Antoine Bethea,,,,,,,,,,,,,,,Questionable: Knee,Injured Reserve: Pectoral
1,Alex Boone ,,,,Out: Chest,Questionable: Chest,,,,,,,,,,,
2,Tyvon Branch,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
3,Aaron Brewer,,,,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,
4,John Brown,,Out: Quadricep,Out: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,,Questionable: Back,Out: Toe,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,
5,Deone Bucannon,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,Out: Ankle,,,,
6,Josh Bynes,,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle
7,Karlos Dansby,,,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Finger,,,,,,,Questionable: Knee,
8,Aaron Dobson,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
9,Andre Ellington,,,,,,,Questionable: Quadricep,Questionable: Quadricep,,,,,,,,
10,Rudy Ford,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
11,Alani Fua,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Brittan Golden,,,,,,,,Questionable: Groin,Questionable: Groin,,Questionable: Groin,,,,Injured Reserve: Arm,Injured Reserve: Arm
13,Markus Golden,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Jermaine Gresham,,Questionable: Ribs,Questionable: Ribs,,,,,,,,,,,Questionable: Illness,,
15,D.J. Humphries,,Out: Knee,Out: Knee,Questionable: Knee,Out: Knee,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Mike Iupati,Questionable: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep
17,David Johnson,,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
18,Jarvis Jones,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
19,T.J. Logan,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
20,Gabe Martin ,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,,,Out: Hamstring,Questionable: Hamstring,
21,Josh Mauro,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
22,Ifeanyi Momah,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Daniel Munyer,,,,,,,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
24,JJ Nelson,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Knee,,,
25,Troy Niklas,,Questionable: Hip,,,,,,,,,,Questionable: Back,,,Out: Ankle,Questionable: Ankle
26,Robert Nkemdiche,Questionable: Calf,Questionable: Calf,,Out: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,,,,,,,,,
27,Carson Palmer,,,,,,,,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
28,Elijhaa Penny,,,,,,,,,,,Questionable: Knee,,,,,Questionable: Hand
29,Corey Peters,,,,,,Questionable: Knee,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,
30,Adrian Peterson,,,,,,,,,,,,Injured Reserve: Neck,Injured Reserve: Neck,Out: Neck,Injured Reserve: Neck,Injured Reserve: Neck
31,Patrick Peterson,,,,,,Questionable: Quadricep,,,,,,,Questionable: Hamstring,,,
32,Olsen Pierre,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,Questionable: Illness,
33,Frostee Rucker,,,,,,,,Questionable: Knee,,,,,,,,
34,A.Q. Shipley,,,,,,,,,,Questionable: Shoulder,,,,,,
35,Drew Stanton,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,
36,Jared Veldheer,,,,,,Questionable: Knee,,,,,,,Questionable: Elbow,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
37,Earl Watford,,,,,,,,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle
38,John Wetzel,,,,,,,,,,Questionable: Back,,,,,,
39,Chad Williams,,,,,,,,Questionable: Back,Questionable: Back,,,,,,Questionable: Illness,
40,Kerwynn Williams,,,,,,,,,,,,,,,Questionable: Quadricep,Questionable: Quadricep
41,Xavier Williams,,,,,,,Questionable: Knee,,,,,,,,,
42,Ronald Zamort,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
,Player ,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA
0,Bryson Albright,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
1,Thurston Armbrister,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,Budda Baker ,,,,,,,,,Questionable: Foot,Out: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,
3,Bene Benwikere,,,,,Questionable: Neck,,,,,,,,,,,
4,Tre Boston,,,,,,,Out: Shoulder,Out: Shoulder,Questionable: Chest,,,,,,,
5,Deone Bucannon,,,,,,,,,,,Out: Chest,Out: Chest,Out: Chest,Questionable: Chest,,
6,Josh Bynes,,,,,,,,,,,,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
7,Christian Campbell,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
8,Jeremy Cash,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Korey Cunningham,,,,,,,,,,,,,,,,Injured Reserve: Foot
10,Phil Dawson,,,,,,,,Questionable: rightHip,,Questionable: rightHip,Questionable: rightHip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
11,Chase Edmonds,,,,,,Questionable: Back,,,,,,,,,,
12,Larry Fitzgerald,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,
13,D.J. Foster ,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Dennis Gardeck,,,Questionable: Ankle,,,,,,,,,,,,,
15,Markus Golden,Out: Knee,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Questionable: Knee,,,,,,,,,Questionable: Ankle,Questionable: Ankle
16,Jermaine Gresham,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,,,,,Questionable: Heel,Questionable: Back,,,,,,,Injured Reserve: Achilles
17,Rodney Gunter,,,,,,,,,,Questionable: NotInjuryRelated,,,,,Questionable: Foot,
18,Will Holden,,,,,,,,,,,,,,,Questionable: Shoulder,
19,D.J. Humphries,,,,,,Questionable: Knee,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
20,Mike Iupati,,,,,,Questionable: Shoulder,Out: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Christian Kirk,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
22,T.J. Logan,Questionable: Ankle,,,,,,,,,,,,,,,
23,Gabe Martin ,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
24,Praise Martin-Oguike,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
25,Benson Mayowa ,,,,,,,,,,,,,,,,Questionable: Back
26,Arthur Moats,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
27,JJ Nelson,,,,,,,,,,,,,,,Questionable: Illness,
28,Robert Nkemdiche,Questionable: Foot,,,Questionable: Knee,Questionable: Foot,Questionable: Foot,,,Out: Calf,Questionable: Calf,Questionable: Calf,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Jonathan Owens,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
30,Corey Peters,,,,Questionable: Elbow,Questionable: Elbow,,,Questionable: Ankle,Questionable: Ankle,,Questionable: Heel,,,,,
31,Patrick Peterson,,,,,,,,,,,,,,,Questionable: Illness,
32,John Phillips,,,,,,,,,,,Questionable: Knee,,,,,
33,Olsen Pierre,Questionable: Toe,Out: Toe,Out: Toe,Questionable: Toe,,,,,,,Questionable: Ankle,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
34,Justin Pugh,,,,,,,Questionable: Hand,Questionable: Hand,Questionable: Hand,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
35,Haason Reddick ,,Questionable: Ankle,,,,,,,,,,Questionable: Neck,,,,
36,Ricky Seals-Jones,,,,,,,,,,,,,,,Questionable: Illness,Out: Shoulder
37,A.Q. Shipley,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
38,Andre Smith,,Out: Elbow,Out: Elbow,Questionable: Elbow,,Questionable: Hamstring,,,,,,,,,,
39,Jamar Taylor,,,,,Questionable: Back,,Questionable: Back,,,,,,,,,
40,Jeremy Vujnovich,,,,,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
41,John Wetzel,,,,,Questionable: Shoulder,,,,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
42,Chad Williams,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Hamstring,,
,Player ,09/08vs. DET,09/15vs. BAL,09/22vs. CAR,09/29vs. SEA,10/06vs. CIN,10/13vs. ATL,10/20vs. NYG,10/27vs. NOR,10/31vs. SFO,11/10vs. TAM,11/17vs. SFO,12/01vs. LAR,12/08vs. PIT,12/15vs. CLE,12/22vs. SEA,12/29vs. LAR
0,Robert Alford,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Zach Allen,,,,,Out: Neck,Questionable: Neck,Out: Neck,Out: Neck,Out: Neck,Out: Neck,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
2,Tramaine Brock ,,,,,Questionable: Back,,,,,Out: Hamstring,Questionable: Hamstring,,,,,
3,Miles Brown,,,,Questionable: Shoulder,,,,,,,,,,,,
4,Jonathan Bullard,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Out: Foot,Questionable: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Hakeem Butler,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
6,Damiere Byrd ,,,,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
7,Charles Clay,,,,,,,,,,,,,,,,Questionable: Calf
8,Darrell Daniels,,,,,,,,,,,,,,,,Injured Reserve: 
9,Chase Edmonds,,,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,
10,D.J. Foster ,,,,,,,Out: Hamstring,Out: Hamstring,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
11,Lamont Gaillard,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,,,
12,Max Garcia,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,,,Questionable: Toe,,,
13,Dennis Gardeck,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,
14,Marcus Gilbert,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Rodney Gunter,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Jordan Hicks,,,,,,,,Questionable: Calf,,,,,,,,
17,Andy Isabella,,,,,,,,,,,,,,Questionable: Shoulder,,
18,David Johnson,,,,,,Questionable: Back,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,
19,Chris Jones,,,Questionable: Ankle,,,,,,,,,,,,,
20,Zach Kerr ,,,,,,,Questionable: Ankle,,,,Questionable: Knee,,,,,
21,Christian Kirk,,,,,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,Questionable: Ankle,
22,Andy Lee ,,,,Questionable: right Hip,Questionable: right Hip,Questionable: right Hip,Questionable: right Hip,,,,,,,,,
23,Clinton McDonald,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Joshua Miles,,,,,,,Questionable: Illness,,,,,,,,,
25,Jordan Mills,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,: ,: ,: ,: 
26,Byron Murphy,,,,,,,,,,,,,Questionable: Calf,,,
27,Justin Murray,,,,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,
28,Kyler Murray ,,,,,,,,,,,,Questionable: Hamstring,,,,Questionable: Hamstring
29,Rees Odhiambo,Injured Reserve: ,,,,,,,,,,,,,,,
30,Kevin Peterson,,,,,,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,Injured Reserve: ,Injured Reserve: 
31,Justin Pugh,,,,,Questionable: Shoulder,,,,,,,,,Questionable: Back,Questionable: Back,
32,Haason Reddick ,Questionable: Knee,,,,,Questionable: Shoulder,,Questionable: Knee,,,,,,,,
33,Brooks Reed,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Caraun Reid,,,,,,,,,,,,,,,Questionable: Knee,
35,Josh Shaw,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,
36,A.Q. Shipley,,,,,,,,,,,,,Questionable: Illness,,,
37,Terrell Suggs,,,,,Questionable: Back,Questionable: Back,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,
38,William Sweet,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
39,Pita Taumoepenu,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
40,Deionte Thompson,,,,,,,,,,Questionable: Knee,,,,,,
41,Jalen Thompson,,,,,,,,,,,,,Questionable: Concussion,,,
42,Brett Toth,,,,,,,Out: Illness,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,
43,Zeke Turner,Questionable: Hand,,Questionable: Hand,,Questionable: Hand,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,
44,Tanner Vallejo,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: 
45,Joe Walker,,,,,,,,,,,,,,Questionable: Ribs,,
46,Charles Washington,,,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,,,,,,,,,
47,Brandon Williams,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
48,Maxx Williams,,,,,,,Questionable: Ankle,,,,,,,,,
49,Trevor Williams,,,,,,Questionable: Hip,,,,,,,,,,
,Player ,09/10vs. CHI,09/17vs. GNB,09/24vs. DET,10/01vs. BUF,10/15vs. MIA,10/22vs. NWE,10/29vs. NYJ,11/05vs. CAR,11/12vs. DAL,11/20vs. SEA,11/26vs. TAM,12/03vs. MIN,12/07vs. NOR,12/18vs. TAM,12/24vs. NOR,12/31vs. CAR,01/06vs. LAR,01/13vs. PHI
0,Ricardo Allen,,,,Out: Concussion,,,,,,,,,,,,,,
1,Vic Beasley,,,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,,
2,Matthew Bosher,,,,,,,,,,Questionable: leftAnkle,,,,,,,,
3,Matt Bryant,,,,,Questionable: Back,,,,,,,,,,,,,
4,Tevin Coleman,,,,,,,,,,,,,,Out: Concussion,,,,
5,Jack Crawford ,,,,,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
6,Devonta Freeman ,,,,,,,,,,Out: Concussion,Out: Concussion,,,,,,,
7,Devin Fuller,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
8,Jermaine Grace,,,,,Out: Hamstring,,,,,,,,,,,,,
9,Brian Hill,,Questionable: Ankle,,,,,,,,,,,,,,,,
10,Andy Levitre,,,,,,,,,Questionable: Knee,,,,Out: Triceps,Out: Triceps,Questionable: Triceps,,Injured Reserve: Tricep,Injured Reserve: Tricep
11,Alex Mack,,,,,,,,,,,,,,,,Questionable: Calf,,
12,Quincy Mauger,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,Austin Pasztor,Questionable: Chest,,,,,,,,,,,,,,,,,
14,LaRoy Reynolds,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,,,,,,,,,,,
15,Duke Riley,,,,,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,
16,Ty Sambrailo,,,,,,,,,,,Out: Hamstring,,,,,,,
17,Mohamed Sanu,,,,,Out: Hamstring,,,,,,,,,,,,,
18,Eric Saubert,,,,,,,,,,,,,Out: Back,,,,,
