,Player,Team,Year,09/09vs. LAC,09/16vs. PIT,09/23vs. SFO,10/01vs. DEN,10/07vs. JAX,10/14vs. NWE,10/21vs. CIN,10/28vs. DEN,11/04vs. CLE,11/11vs. ARI,11/19vs. LAR,12/02vs. OAK,12/09vs. BAL,12/13vs. LAC,12/23vs. SEA,12/30vs. OAK,01/12vs. IND,01/20vs. NWE
14,Tejan Koroma,kan,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Tanoh Kpassagnon,kan,2018,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,
16,J.D. Moore,kan,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
17,Mitch Morse,kan,2018,,,,,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,,,,,,,
18,Eric Murray,kan,2018,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,
19,Ben Niemann,kan,2018,,Out: Hamstring,Doubtful: Hamstring,,,,,,,,,,,,,,,
20,Dorian O'Daniel,kan,2018,,,,,,,,,,,,,,,,,Doubtful: Calf,Out: Ankle
21,Byron Pringle,kan,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
22,Keith Reaser,kan,2018,,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
23,Terrance Smith,kan,2018,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
24,Daniel Sorensen,kan,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Questionable: Knee,,,,,,,,
25,De'Anthony Thomas,kan,2018,,,,,,Out: Tibia,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
26,Spencer Ware,kan,2018,,,Questionable: Knee,,,,,,,,,,,Doubtful: Shoulder,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,
27,Sammy Watkins,kan,2018,,,,,Questionable: Hamstring,,,,,Questionable: Foot,Questionable: Foot,Out: Foot,Doubtful: Foot,Out: Foot,Out: Heel,Out: Foot,Questionable: Foot,
28,Armani Watts,kan,2018,,,,,Questionable: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
29,Darrel Williams,kan,2018,,,,,,,,,,,,,,,,Questionable: Hamstring,,
30,Frank Zombo,kan,2018,,,,,,,,,Out: Hamstring,Questionable: Hamstring,,,,,,,,
