,Player,Team,Year,09/10vs. ARI,09/18vs. NYG,09/24vs. ATL,10/01vs. MIN,10/08vs. CAR,10/15vs. NOR,10/29vs. PIT,11/06vs. GNB,11/12vs. CLE,11/19vs. CHI,11/23vs. MIN,12/03vs. BAL,12/10vs. TAM,12/16vs. CHI,12/24vs. CIN,12/31vs. GNB
0,Ameer Abdullah,det,2017,,,,,,,,,,,,Questionable: Neck,Questionable: Neck,,,
1,Jamal Agnew,det,2017,,,,,,,,,,,Out: Knee,Out: Knee,Questionable: Knee,,,
2,Ezekiel Ansah,det,2017,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Doubtful: Back,Out: Back,Questionable: Back,,Questionable: Ankle,Questionable: Ankle,,
3,Don Barclay,det,2017,,,,,,,,,,,,,,,,Injured Reserve: Concussion
4,Armonty Bryant,det,2017,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension
5,Don Carey,det,2017,,,,Questionable: Knee,Questionable: Knee,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,
6,Brandon Chubb,det,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Emmett Cleary,det,2017,,,,,,,Out: Ankle,,,,,,Questionable: Ankle,Questionable: Ankle,,
8,Rodney Coe,det,2017,,,,,,,,,,,,,,,Questionable: Illness,
9,Brandon Copeland,det,2017,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
10,Joe Dahl,det,2017,,,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,,,,
