"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Tom Brady","QB","NE","81","76","64","70","74","68","74","86","bye","61","57","70","68","61","59","67","79","1115","69.7"
"Blake Bortles","QB","JAC","64","67","64","78","54","69","68","bye","80","84","78","63","65","66","56","87","60","1103","68.9"
"Larry Fitzgerald","WR","ARI","74","62","77","82","57","58","47","bye","68","80","57","72","63","62","81","60","71","1071","66.9"
"Russell Wilson","QB","SEA","49","82","73","68","68","bye","75","69","83","62","74","68","62","62","52","57","58","1062","66.4"
"Brandin Cooks","WR","NE","67","65","57","64","72","66","70","82","bye","68","56","62","68","60","56","65","78","1056","66.0"
"Cam Newton","QB","CAR","67","69","50","63","66","82","72","65","65","68","bye","71","57","64","71","60","61","1051","65.7"
"Dak Prescott","QB","DAL","74","71","47","71","74","bye","63","68","67","63","60","55","67","63","65","74","68","1050","65.6"
"Jason Witten","TE","DAL","74","71","47","71","73","bye","63","68","67","62","60","55","67","63","65","74","68","1048","65.5"
"Ben Roethlisberger","QB","PIT","60","75","64","76","80","64","69","64","bye","67","71","74","66","89","66","53","0","1038","69.2"
"Drew Brees","QB","NO","62","65","58","74","bye","71","76","61","60","72","71","57","64","52","67","64","58","1032","64.5"
"Matthew Stafford","QB","DET","71","62","70","70","61","81","bye","71","68","52","63","59","54","68","63","61","58","1032","64.5"
"Adam Thielen","WR","MIN","65","62","63","55","68","72","65","78","bye","55","73","67","60","69","54","59","66","1031","64.4"
"Joe Flacco","QB","BAL","66","68","35","69","66","73","65","29","76","bye","59","67","64","64","76","73","76","1026","64.1"
"Philip Rivers","QB","LAC","58","58","73","57","78","65","58","56","bye","69","57","68","70","57","64","72","66","1026","64.1"
"Matt Ryan","QB","ATL","59","58","68","76","bye","57","57","66","60","65","62","64","53","74","70","64","72","1025","64.1"
"DeAndre Hopkins","WR","HOU","79","67","71","78","64","63","bye","71","71","69","65","68","81","67","53","55","0","1022","68.1"
"Eli Manning","QB","NYG","57","56","70","80","69","54","59","bye","64","66","69","57","0","80","87","71","78","1017","67.8"
"Case Keenum","QB","MIN","0","65","74","56","44","77","66","85","bye","61","78","74","66","74","56","64","75","1015","67.7"
"Kirk Cousins","QB","WAS","63","71","68","50","bye","74","64","59","63","75","69","71","56","50","51","67","57","1008","63.0"
"Marvin Jones Jr.","WR","DET","68","56","68","64","58","80","bye","68","65","50","62","59","59","67","62","61","55","1002","62.6"
"Jacoby Brissett","QB","IND","9","71","66","60","76","58","67","74","66","59","bye","63","69","71","54","62","64","989","61.8"
"Alex Smith","QB","KC","68","53","53","76","77","54","62","62","57","bye","75","58","46","75","66","79","0","961","64.1"
"Le'Veon Bell","RB","PIT","43","69","62","69","74","58","61","60","bye","66","67","72","63","80","56","45","0","945","63.0"
"Marcus Mariota","QB","TEN","64","68","72","23","0","69","72","bye","52","90","65","58","54","60","63","68","65","943","62.9"
"Kenny Stills","WR","MIA","bye","60","62","47","51","60","72","64","65","56","57","56","54","61","63","48","63","939","58.7"
"Andy Dalton","QB","CIN","61","64","61","61","66","bye","51","56","39","51","55","61","64","45","38","84","79","936","58.5"
"Jared Goff","QB","LAR","60","50","65","69","74","58","76","bye","51","66","59","77","58","48","54","67","0","932","62.1"
"Derek Carr","QB","OAK","66","57","51","34","0","58","82","65","63","0","74","68","65","61","66","67","54","931","62.1"
"Alshon Jeffery","WR","PHI","61","61","67","68","53","57","53","49","49","bye","47","67","70","87","60","62","18","929","58.1"
"Jarvis Landry","WR","MIA","bye","62","60","46","49","65","70","59","66","52","54","52","53","66","69","54","52","929","58.1"
"Tyrod Taylor","QB","BUF","77","54","65","60","70","bye","68","69","75","37","40","69","45","0","62","70","67","928","61.9"
"T.Y. Hilton","WR","IND","44","64","64","51","67","54","57","68","60","49","bye","62","67","48","51","62","59","927","57.9"
"Kyle Rudolph","TE","MIN","55","62","68","55","67","75","61","82","bye","53","73","66","64","55","20","35","32","923","57.7"
"Jack Doyle","TE","IND","46","70","66","48","0","58","54","71","62","58","bye","61","64","71","54","62","64","909","60.6"
"Jesse James","TE","PIT","54","72","46","58","73","55","50","58","bye","46","75","64","58","71","59","32","37","908","56.8"
"Rob Gronkowski","TE","NE","78","46","64","70","0","63","71","86","bye","61","53","64","65","0","59","66","58","904","64.6"
"Keenan Allen","WR","LAC","52","50","61","49","71","55","47","52","bye","59","53","59","64","49","47","66","63","897","56.1"
"Marcedes Lewis","TE","JAC","64","54","39","69","45","52","59","bye","62","77","67","55","56","62","37","44","53","895","55.9"
"Dez Bryant","WR","DAL","67","66","41","58","66","bye","54","60","46","51","54","49","56","49","58","62","54","891","55.7"
"Antonio Brown","WR","PIT","51","71","64","68","76","57","64","59","bye","64","69","74","66","86","21","0","0","890","63.6"
"Demaryius Thomas","WR","DEN","59","68","61","56","bye","57","50","60","54","50","72","48","57","45","54","62","35","888","55.5"
"DeShone Kizer","QB","CLE","66","52","77","51","42","0","35","59","bye","74","55","67","63","58","63","59","65","886","59.1"
