,Player,Team,Year,09/10vs. SFO,09/17vs. BUF,09/24vs. NOR,10/01vs. NWE,10/08vs. DET,10/12vs. PHI,10/22vs. CHI,10/29vs. TAM,11/05vs. ATL,11/13vs. MIA,11/26vs. NYJ,12/03vs. NOR,12/10vs. MIN,12/17vs. GNB,12/24vs. TAM,12/31vs. ATL,01/07vs. NOR
17,Graham Gano,car,2017,,,,,,,Questionable: rightKnee,Questionable: rightKnee,,,,,,,,,
18,Gino Gradkowski,car,2017,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
19,Ladarius Gunter,car,2017,,,,,,,,,,,,,,,,Questionable: Illness,
20,Daeshon Hall,car,2017,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Drew Iddings,car,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
22,Charles Johnson,car,2017,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
23,Charles Johnson ,car,2017,,,,,,,Questionable: Groin,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee
24,Matt Kalil,car,2017,,,,,Questionable: Groin,,,,,,,,,,,,Questionable: Illness
25,Ryan Kalil,car,2017,,,Out: Neck,Out: Neck,Out: Neck,Out: Neck,Questionable: Neck,Out: Neck,Out: Neck,Out: Neck,Questionable: Neck,Questionable: Neck,Questionable: Neck,,,,
26,Luke Kuechly,car,2017,,,,,,,Out: Concussion,Questionable: Concussion,,,,,,,,,
27,Tyler Larsen,car,2017,,,,,,,,,,,Questionable: Foot,,Questionable: Foot,Questionable: Foot,Questionable: Foot,,
28,Kyle Love,car,2017,Questionable: Ankle,,,,,,,,,,,,,,,,
29,Cole Luke,car,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
30,Chris Manhertz,car,2017,,,,,,,,,,,,,,,,,Injured Reserve: Ankle
31,Dean Marlowe ,car,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
32,Christian McCaffrey ,car,2017,,,,,,,,,,,,Questionable: Shoulder,,,,,
33,L.J. McCray,car,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
34,Captain Munnerlyn,car,2017,,,,,,,,,,,Questionable: Illness,,,,,,
35,Cam Newton,car,2017,Questionable: rightShoulder,,Questionable: rightShoulder,,,,,,,,,,,,,,
36,Jared Norris ,car,2017,Out: Groin,,,,,,,,,,,,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf
37,Greg Olsen,car,2017,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,Questionable: Foot,Questionable: Foot,,,,
38,Julius Peppers,car,2017,,,,,Questionable: Shoulder,,,,,,,,,,,,
39,Curtis Samuel ,car,2017,,,,Out: Back,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
40,Chris Scott,car,2017,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
