,Player,Team,Year,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX
0,Mo Alie-Cox,clt,2019,,,,,,,,,,Questionable: Hip,Questionable: Thumb,Questionable: Thumb,,,,
1,Denico Autry,clt,2019,,,,,,,,,,,,,,,Out: Concussion,Doubtful: Concussion
2,Jacoby Brissett,clt,2019,,,,,,,,,Questionable: Knee,,,,,,,
3,Billy Brown,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
4,Parris Campbell,clt,2019,,,,,Out: Abdomen,Out: Abdomen,Questionable: Abdomen,,Out: Hand,Out: Hand,Out: Hand,Questionable: Hand,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Carl Davis,clt,2019,,,,,,,Out: Hamstring,,,,,,,,,
6,Pierre Desir,clt,2019,,,,Questionable: Hamstring,,Questionable: Hamstring,Questionable: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Doubtful: Hamstring,,,,Questionable: Groin,,
7,Jack Doyle,clt,2019,,,,,,,Questionable: Groin,,,,,,,,,
8,Eric Ebron,clt,2019,,,,,,,,,,,Questionable: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Daurice Fountain,clt,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
10,Devin Funchess,clt,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
11,Clayton Geathers,clt,2019,,,,,Out: Concussion,,,,,,,,,,,
12,Penny Hart,clt,2019,Injured Reserve: ,,,,,,,,,,,,,,,
