,Player,Team,Year,09/11vs. DEN,09/17vs. MIA,09/24vs. KAN,10/01vs. PHI,10/08vs. NYG,10/15vs. OAK,10/22vs. DEN,10/29vs. NWE,11/12vs. JAX,11/19vs. BUF,11/23vs. DAL,12/03vs. CLE,12/10vs. WAS,12/16vs. KAN,12/24vs. NYJ,12/31vs. OAK
0,Keenan Allen ,sdg,2017,,,,,,,Questionable: Shoulder,,,,,,,,,
1,Jeremiah Attaochu,sdg,2017,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,
2,Joe Barksdale,sdg,2017,,,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Doubtful: Foot,Questionable: Foot,Out: Foot,Questionable: Foot,,,,Questionable: Hip,
3,Travis Benjamin,sdg,2017,,,,,,,,,,,Questionable: Abdomen,,,,,
4,Tre Boston,sdg,2017,Questionable: Calf,,,,,,,,,,,,,,,
5,Jatavis Brown,sdg,2017,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,
6,Asante Cleveland,sdg,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Austin Ekeler,sdg,2017,,,,,,,,,,,,,,,Questionable: Hand,
8,Melvin Gordon,sdg,2017,,,Questionable: Knee,Questionable: Knee,,,Questionable: Shoulder,Questionable: Foot,,,,,,,,Questionable: Ankle
9,Chris Hairston,sdg,2017,,,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness
10,Casey Hayward,sdg,2017,,,,,,,,,,,,Questionable: Calf,,Questionable: Calf,,
11,Hunter Henry ,sdg,2017,,,,,,,,,,,,,,,Injured Reserve: Kidney,Injured Reserve: Kidney
12,Dontrelle Inman,sdg,2017,Questionable: Groin,Questionable: Groin,,,,,,,,,,,,,,
13,Rayshawn Jenkins,sdg,2017,,Out: Concussion,,,,,,,,,,,,,,
14,Forrest Lamp ,sdg,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Chris Landrum,sdg,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
16,Corey Liuget,sdg,2017,,,,,,,Questionable: Back,Questionable: Back,,,Questionable: Toe,Questionable: Toe,Questionable: Toe,,Out: Knee,Questionable: Knee
17,Chris McCain,sdg,2017,,,,,,,,,,Questionable: Quadricep,,,,,,
18,Sean McGrath,sdg,2017,Questionable: Knee,Questionable: Knee,,Questionable: Foot,Questionable: Foot,,,,,,,,,,,
19,Charmeachealle Moore,sdg,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
20,Nick Novak,sdg,2017,,,,,,,,,,,,Questionable: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
21,Russell Okung,sdg,2017,,,,,,,,,,,Questionable: Knee,,,,Questionable: Groin,Questionable: Groin
22,Branden Oliver,sdg,2017,,,,,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,
23,James Onwualu,sdg,2017,,,,,,,,,,Doubtful: Quadricep,Questionable: Quadricep,,,,,
24,Denzel Perryman ,sdg,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,,,,,,,Out: Hamstring,Questionable: Hamstring
25,Adrian Phillips,sdg,2017,,,,,,,Questionable: Neck,,,,,,,,,Out: Ankle
26,Hayes Pullard ,sdg,2017,,,Questionable: Knee,Questionable: Knee,,,,,Questionable: Neck,Doubtful: Neck,Questionable: Neck,,,,,
