Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Aaron Rodgers ,QB,GB,46,76,69,76,81,71,bye,52,74,57,49,53,76,64,68,90,9
Adrian Peterson ,RB,WAS,42,25,32,bye,13,37,34,41,32,34,42,27,16,19,37,38,10
Alex Smith ,QB,WAS,79,74,61,bye,61,70,60,68,69,58,51,0,0,0,0,0,0
Ben Roethlisberger ,QB,PIT,84,82,66,62,60,73,bye,70,79,50,65,78,68,41,64,75,68
Benjamin Watson ,TE,NO,51,54,45,37,36,bye,36,14,33,29,21,18,20,28,33,25,27
Brandon Marshall ,WR,Multi,37,53,43,24,7,26,0,2,0,0,0,0,0,0,0,0,0
Brian Hoyer ,QB,NE,0,0,0,4,0,0,0,2,0,8,bye,0,0,0,0,9,4
Chad Henne ,QB,KC,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,13
Chase Daniel ,QB,CHI,0,0,0,3,bye,0,1,0,3,0,0,58,83,0,0,0,0
Clark Harris ,TE,CIN,0,1,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0
Danny Amendola ,WR,MIA,45,44,31,42,53,75,55,65,47,66,bye,14,0,25,39,32,50
Darren Sproles ,RB,PHI,29,0,0,0,0,0,0,0,bye,0,0,0,9,23,20,41,27
Darrius Heyward-Bey ,WR,PIT,1,6,4,5,0,0,bye,2,4,10,3,7,13,2,1,1,17
Delanie Walker ,TE,TEN,39,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0
Derek Anderson ,QB,BUF,0,0,0,0,0,0,56,62,0,0,bye,0,0,0,0,0,0
DeSean Jackson ,WR,TB,20,34,42,39,bye,34,43,46,32,44,53,36,0,0,0,29,0
Drew Brees ,QB,NO,64,66,79,70,63,bye,71,53,71,63,65,57,52,64,75,66,0
Eli Manning ,QB,NYG,71,68,62,62,56,65,64,70,bye,59,53,62,72,46,65,64,71
Frank Gore ,RB,MIA,18,24,16,25,26,30,25,29,29,29,bye,29,20,23,7,0,0
Greg Olsen ,TE,CAR,16,0,0,bye,0,59,59,63,60,45,56,58,13,0,0,0,0
Jamaal Charles ,RB,JAC,0,0,0,0,0,17,3,0,bye,0,0,0,0,0,0,0,0
Jared Cook ,TE,OAK,64,52,62,76,48,51,0,31,34,37,39,32,55,57,52,34,43
Joe Flacco ,QB,BAL,55,85,72,76,87,76,68,61,61,bye,0,0,0,0,0,0,0
John Phillips ,TE,ARI,0,0,0,0,0,0,0,0,bye,12,15,9,12,7,7,10,57
Jonathan Stewart ,RB,NYG,10,5,2,0,0,0,0,0,bye,0,0,0,0,0,0,0,0
Jordy Nelson ,WR,OAK,68,54,55,80,47,57,0,45,43,43,0,52,69,63,57,49,59
Josh Johnson ,QB,WAS,0,0,0,bye,0,0,0,0,0,0,0,0,0,30,68,62,45
Josh McCown ,QB,NYJ,0,0,0,0,0,0,0,0,0,56,bye,64,68,3,0,0,0
Julian Edelman ,WR,NE,0,0,0,0,48,71,63,73,64,54,bye,60,66,74,59,58,58
