,Player,Team,Year,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS
0,Eli Apple,nyg,2017,,,,,,,,,,,,Questionable: Hip,Questionable: Hip,,,
1,Josh Banks,nyg,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
2,Odell Beckham Jr.,nyg,2017,Questionable: Ankle,Questionable: Ankle,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
3,Nat Berhe,nyg,2017,,,,,,,,,,,,,,Out: Hamstring,Questionable: Hamstring,
4,Corbin Bryant,nyg,2017,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow
5,Nordly Capi,nyg,2017,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,
6,Jonathan Casillas,nyg,2017,,,,Questionable: Ankle,,Out: Neck,Out: Neck,Out: Neck,Questionable: Neck,,Questionable: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
7,Landon Collins,nyg,2017,,,,,,Questionable: Ankle,,,,,,,,Doubtful: Ankle,Questionable: Ankle,Injured Reserve: Forearm
8,Orleans Darkwa,nyg,2017,,,,Questionable: Back,,,,,,,,,Questionable: Illness,,,
9,Zak DeOssie,nyg,2017,,,,,,,,,,,Questionable: Trapezius,,,,,
10,Donte Deayon,nyg,2017,,,,,,,,Questionable: Ankle,Doubtful: Ankle,,,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm
11,Brandon Dixon,nyg,2017,,,,,,,,,,,,,,Questionable: Heel,,
