,Player,Team,Year,09/08vs. PIT,09/15vs. MIA,09/22vs. NYJ,09/29vs. BUF,10/06vs. WAS,10/10vs. NYG,10/21vs. NYJ,10/27vs. CLE,11/03vs. BAL,11/17vs. PHI,11/24vs. DAL,12/01vs. HOU,12/08vs. KAN,12/15vs. CIN,12/21vs. BUF,12/29vs. MIA,01/04vs. TEN
26,Dont'a Hightower ,nwe,2019,,,,Questionable: Shoulder,Questionable: Shoulder,,,,,,,Questionable: Illness,,,,,
27,Ryan Izzo,nwe,2019,,,Questionable: Calf,,,,Out: Concussion,Out: Concussion,Questionable: Concussion,,,Out: Illness,,,,,
28,Jakob Johnson,nwe,2019,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
29,Jonathan Jones,nwe,2019,,,,,,,,,,,,,,,Out: Groin,Questionable: Groin,Questionable: Groin
30,Ted Karras,nwe,2019,,,,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,
31,Brandon King,nwe,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
32,Matt LaCosse,nwe,2019,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,
33,Shaq Mason,nwe,2019,,,,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,
34,Jason McCourty,nwe,2019,,,,,,,,,,,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin
35,Obi Melifonwu,nwe,2019,Questionable: Ankle,,,,,,,,,,,,,,,,
36,Cameron Meredith,nwe,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,,,,,,,,,,,,
37,Sony Michel,nwe,2019,,,,,,,,,,,,,,,,Questionable: Illness,
38,Marshall Newhouse,nwe,2019,,,,Questionable: Illness,,,,,,,,,,,,,
39,Gunner Olszewski,nwe,2019,,,,,,,Questionable: Hamstring,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
40,Derek Rivers,nwe,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
41,D'Angelo Ross,nwe,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
42,Mohamed Sanu,nwe,2019,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,
43,Danny Shelton,nwe,2019,,,,,,,,,,Questionable: Ankle,,,,Questionable: Shoulder,,,
44,John Simon,nwe,2019,,,,,,,,,,Questionable: Elbow,Questionable: Elbow,,,,,,
45,Matthew Slater,nwe,2019,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,
46,Demaryius Thomas,nwe,2019,Questionable: Hamstring,,,,,,,,,,,,,,,,
47,Kyle Van Noy,nwe,2019,,,,,,,,,,,,Questionable: Illness,,,,,
48,James White ,nwe,2019,,,,,,,,,Questionable: Toe,,,,,,,,
49,Joejuan Williams ,nwe,2019,,,,,,,,,,,,Questionable: Illness,,,,,
50,Isaiah Wynn,nwe,2019,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Questionable: Illness,,,,,
