,Player,Team,Year,09/09vs. SFO,09/16vs. GNB,09/23vs. BUF,09/27vs. LAR,10/07vs. PHI,10/14vs. ARI,10/21vs. NYJ,10/28vs. NOR,11/04vs. DET,11/18vs. CHI,11/25vs. GNB,12/02vs. NWE,12/10vs. SEA,12/16vs. MIA,12/23vs. DET,12/30vs. CHI
0,Mackensie Alexander,min,2018,Doubtful: Ankle,,,,,,,,,,,Questionable: Knee,,,,
1,Ade Aruna,min,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
2,Anthony Barr,min,2018,,,,,,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,
3,Chad Beebe,min,2018,,,,,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,Out: Hamstring
4,Mike Boone,min,2018,,,Questionable: Groin,,,,,,,,,,,,,
5,Tashawn Bower,min,2018,,,,,Out: Ankle,Out: Ankle,,,,,,,,,,
6,Mack Brown,min,2018,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
7,Aviante Collins,min,2018,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow,Injured Reserve: Elbow
8,Tom Compton,min,2018,,,,,,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,Questionable: Shoulder
9,Dalvin Cook,min,2018,,,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,
