,Player,Team,Year,09/09vs. SFO,09/16vs. GNB,09/23vs. BUF,09/27vs. LAR,10/07vs. PHI,10/14vs. ARI,10/21vs. NYJ,10/28vs. NOR,11/04vs. DET,11/18vs. CHI,11/25vs. GNB,12/02vs. NWE,12/10vs. SEA,12/16vs. MIA,12/23vs. DET,12/30vs. CHI
10,Stefon Diggs,min,2018,,,,,,,,,Questionable: Rib,,,Questionable: Knee,,,,
11,Nick Easton,min,2018,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
12,Pat Elflein,min,2018,Out: Ankle,Out: Ankle,,,,,,,,,,,,,,
13,Ben Gedeon,min,2018,,,,,,,,,,,Out: Concussion,,,,,
14,Everson Griffen,min,2018,,,Out: Knee,Out: Knee,Out: Knee,Out: NotInjuryRelated,Out: NotInjuryRelated,,,,,,,,,
15,C.J. Ham,min,2018,,,,,,,,,,,,,,,,Out: Elbow
16,Anthony Harris,min,2018,,,,Questionable: Hamstring,,,,,,,,,,,,
17,Mike Hughes,min,2018,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Craig James,min,2018,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,
19,Tom Johnson,min,2018,,,,Questionable: Ankle,,,,,,,,,,,,
20,Linval Joseph,min,2018,,,,,,,Questionable: Knee,Questionable: Ankle,,,,,,,,
21,Eric Kendricks,min,2018,,,,,,,,,,,,,Questionable: Rib,,Out: Hamstring,Out: Hamstring
22,Hercules Mata'afa,min,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
23,David Morgan,min,2018,,,Out: Knee,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,
24,Jabari Price,min,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
25,Riley Reiff,min,2018,,,,Questionable: Foot,,Out: Foot,Out: Foot,Doubtful: Foot,Questionable: Foot,,,,,,,
26,Mike Remmers,min,2018,,,,,,,,,,Questionable: Back,,,,Questionable: Back,,
27,Xavier Rhodes,min,2018,Questionable: Hamstring,,,,,,,Questionable: Foot,Questionable: Foot,,,Questionable: Hamstring,,,,Questionable: Groin
28,Horace Richardson,min,2018,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
29,Sheldon Richardson ,min,2018,,,,,,,,,,,,,,Questionable: Hip,,
30,Andrew Sendejo,min,2018,,,,,,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
31,Marcus Sherels,min,2018,,,Out: Ribs,Out: Ribs,Out: Ribs,,,,,,,,,,,Out: Foot
32,Johnny Stanton,min,2018,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
33,Roc Thomas,min,2018,Out: Ankle,,,,,,,,Out: Hamstring,,,,,,,
34,Trae Waynes,min,2018,,,,,Out: Concussion,,,,,,,,Out: Concussion,,,
35,Brandon Zylstra,min,2018,,,,,,,,,,,,Questionable: Foot,,,,
