,Player,Team,Year,09/10vs. NYG,09/17vs. DEN,09/25vs. ARI,10/01vs. LAR,10/08vs. GNB,10/22vs. SFO,10/29vs. WAS,11/05vs. KAN,11/12vs. ATL,11/19vs. PHI,11/23vs. LAC,11/30vs. WAS,12/10vs. NYG,12/17vs. OAK,12/24vs. SEA,12/31vs. PHI
12,Zac Dysert,dal,2017,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
13,Kavon Frazier,dal,2017,,,,Questionable: Knee,,,,,,,,,,,,
14,Rico Gathers,dal,2017,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
15,Chaz Green,dal,2017,,,,Questionable: Hip,,,,,,,,,,,,
16,Connor Hamlett,dal,2017,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf
17,James Hanna,dal,2017,,,,,,,,,,,,,,Questionable: Knee,,
18,Jeff Heath,dal,2017,,,,,,,,,,Questionable: Concussion,,,,,,
19,Anthony Hitchens,dal,2017,Out: Ankle,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,Questionable: Groin,Questionable: Groin,,,,
20,David Irving ,dal,2017,,,,,,,,,,,,,Questionable: Concussion,Out: Concussion,Out: Concussion,Out: Concussion
21,Byron Jones,dal,2017,,Questionable: Groin,,,,,,,,,,,,,,
22,Sean Lee ,dal,2017,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,Questionable: Hamstring,,
23,John Lotulelei,dal,2017,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm
24,Zack Martin ,dal,2017,,,,,,,,,,,,Questionable: Concussion,,,,
25,Benson Mayowa ,dal,2017,,,,,,,,,,,,,,,Questionable: Back,Out: Back
26,Stephen Paea,dal,2017,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,,
27,Brian Price,dal,2017,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
28,Orlando Scandrick,dal,2017,,Out: Hand,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
29,Rod Smith,dal,2017,,,,,,,,,,,,,,,,Questionable: Back
30,Tyron Smith,dal,2017,,,,,Questionable: Back,,,,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,Injured Reserve: Knee
31,Geoff Swaim,dal,2017,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,,
32,Ryan Switzer,dal,2017,,,,,,,,,,,,Questionable: Ankle,,,,
33,Charles Tapper ,dal,2017,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
34,Duke Thomas,dal,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
35,Josh Thomas,dal,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
36,Corey Washington,dal,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
37,Kyle Wilber,dal,2017,,,,,,,Questionable: Knee,,,,,,,,,
38,Terrance Williams,dal,2017,,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,,,
