,Player,Team,Year,09/06vs. ATL,09/16vs. TAM,09/23vs. IND,09/30vs. TEN,10/07vs. MIN,10/11vs. NYG,10/21vs. CAR,10/28vs. JAX,11/11vs. DAL,11/18vs. NOR,11/25vs. NYG,12/03vs. WAS,12/09vs. DAL,12/16vs. LAR,12/23vs. HOU,12/30vs. WAS,01/06vs. CHI,01/13vs. NOR
10,Corey Graham,phi,2018,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,,,,,
11,Kamu Grugier-Hill,phi,2018,,,Questionable: Groin,,,,,,,,,,,,,,,
12,Jordan Hicks,phi,2018,,,,,,,,,,,Out: Calf,Out: Calf,Out: Calf,Out: Calf,,Questionable: Calf,,
13,Mack Hollins,phi,2018,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
14,Alshon Jeffery,phi,2018,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,Questionable: Illness,,,,,,,,,,,,,,
15,Timmy Jernigan,phi,2018,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,,Injured Reserve: Back,Questionable: Back,Out: Back,Questionable: Back,,,
16,Lane Johnson,phi,2018,,,,,,Questionable: Ankle,,,Questionable: Knee,Questionable: Knee,,,,,,,,
17,Sidney Jones,phi,2018,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,Out: Hamstring,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,Questionable: Hamstring
18,Jason Kelce,phi,2018,,,,,,,,,,,,,,,,Questionable: Knee,,
19,Cre'von LeBlanc,phi,2018,,,,,,,,,,,,,,,Questionable: Hamstring,,,
20,Avonte Maddox,phi,2018,,,,,,,,,,,Out: Knee,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,
21,Jordan Mailata,phi,2018,,,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
22,Chris Maragos,phi,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
23,Rodney McLeod,phi,2018,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
24,Jalen Mills ,phi,2018,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Out: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
25,Haloti Ngata,phi,2018,,,,,Questionable: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,,Questionable: Knee,,,,,,,,
