,Player,Team,Year,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI
14,Julian Edelman,nwe,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Chase Farris,nwe,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
16,Cameron Fleming,nwe,2017,Questionable: Ankle,,,,,,,,,,,,,,,,,,
17,Marquis Flowers,nwe,2017,,,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,Questionable: Illness,,
18,Trey Flowers,nwe,2017,,,,,,,,,,,,Questionable: Rib,Questionable: Rib,Questionable: Rib,,,,,
19,Antonio Garcia,nwe,2017,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness
20,Mike Gillislee ,nwe,2017,,,,,,,,,,,,,Questionable: Illness,,,Out: Knee,Questionable: Knee,Questionable: Knee,
21,Stephon Gilmore,nwe,2017,,,Questionable: Groin,,Questionable: Ankle,,Out: Concussion,Questionable: Concussion,Questionable: Concussion,,,,Questionable: Ankle,Questionable: Ankle,,,,,
22,Rob Gronkowski ,nwe,2017,,,Questionable: Groin,,Questionable: Thigh,,,,,,,,,,,,,,
23,Lawrence Guy,nwe,2017,,,,,,,,Questionable: Chest,,,,,,,,,,,
24,David Harris ,nwe,2017,,,,,,,,,,,,,,Questionable: Ankle,,,,,
25,Dont'a Hightower ,nwe,2017,,Out: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
