,Player,Team,Year,09/17vs. LAC,09/24vs. NYJ,10/01vs. NOR,10/08vs. TEN,10/15vs. ATL,10/22vs. NYJ,10/26vs. BAL,11/05vs. OAK,11/13vs. CAR,11/19vs. TAM,11/26vs. NWE,12/03vs. DEN,12/11vs. NWE,12/17vs. BUF,12/24vs. KAN,12/31vs. BUF
25,Tony Lippett,mia,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
26,Rey Maualuga,mia,2017,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,
27,Byron Maxwell,mia,2017,,,,Questionable: Hamstring,Questionable: Foot,Questionable: Foot,,,,,,,,,,
28,Bobby McCain,mia,2017,,,,,,,,,Questionable: Hamstring,,,,,,,
29,T.J. McDonald,mia,2017,,,,,,,,,,,,,,,Questionable: Shoulder,Questionable: Shoulder
30,Raekwon McMillan,mia,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
31,Koa Misi,mia,2017,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
32,Matt Moore,mia,2017,,,,,,,,,,,,Out: Foot,Out: Foot,Doubtful: Foot,Doubtful: Foot,Doubtful: Foot
33,DeVante Parker,mia,2017,,Questionable: Ankle,,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,Questionable: Ankle,Questionable: Ankle
34,Senorise Perry ,mia,2017,,,,,,,,,,Questionable: Knee,,Questionable: Concussion,,,,
35,Jordan Phillips,mia,2017,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,,,Questionable: Ankle,,,,,,,Questionable: Ankle,,
36,Mike Pouncey,mia,2017,,,,,,Questionable: Concussion,,,,,,,,,,
37,Rashawn Scott,mia,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
38,Eric Smith,mia,2017,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
39,Maurice Smith,mia,2017,,,,,,,,,,,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal
40,Anthony Steen,mia,2017,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
41,Kenny Stills,mia,2017,,,Questionable: Hand,,,,,,,Questionable: Back,,,,,,
42,Cordrea Tankersley,mia,2017,,,,,,,,,,,,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,
43,Ryan Tannehill,mia,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
44,Vincent Taylor,mia,2017,,,,,,,,,,,,,,,,Injured Reserve: Knee
45,Julius Thomas,mia,2017,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
46,Michael Thomas,mia,2017,,,,,,,,,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Questionable: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Questionable: NotInjuryRelated
47,Laremy Tunsil,mia,2017,,,,,,,Questionable: Knee,,,,Questionable: Illness,,,,,Doubtful: Ankle
48,Alterraun Verner,mia,2017,,,Questionable: Hamstring,,,,,,,,,,,,,Questionable: Hamstring
49,Cameron Wake,mia,2017,,,,,,,,,,,,,,,,Questionable: Illness
50,Damien Williams ,mia,2017,,Questionable: Rib,,,,,,,Questionable: Illness,,,Out: Shoulder,Out: Shoulder,Doubtful: Shoulder,Doubtful: Shoulder,Doubtful: Shoulder
51,Avery Young,mia,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
