Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NWE,2018,2018-12-23,1:00,1:00,,BUF,16,15,Sun,W 24-12,,-13.5,not covered,45.0,under
LAR,2018,2018-09-16,4:05,1:05,,ARI,2,2,Sun,W 34-0,,-13.5,covered,43.5,under
LAR,2018,2018-12-16,8:20,5:20,,PHI,15,14,Sun,L 23-30,,-13.5,not covered,52.5,over
BAL,2017,2017-12-23,4:30,4:30,,IND,16,15,Sat,W 23-16,,-13.5,not covered,41.0,under
LAC,2017,2017-12-03,4:05,1:05,,CLE,13,12,Sun,W 19-10,,-13.5,not covered,45.0,under
SEA,2017,2017-09-17,4:25,1:25,,SFO,2,2,Sun,W 12-9,,-13.5,not covered,42.0,under
ATL,2017,2017-10-15,1:00,1:00,,MIA,6,5,Sun,L 17-20,,-14.0,not covered,46.0,under
KAN,2018,2018-12-02,4:05,1:05,@,OAK,13,12,Sun,W 40-33,,-14.0,not covered,53.5,over
NOR,2019,2019-11-10,1:00,12:00,,ATL,10,9,Sun,L 9-26,,-14.0,not covered,51.5,under
PHI,2017,2017-11-26,1:00,1:00,,CHI,12,11,Sun,W 31-3,,-14.0,covered,43.5,under
PHI,2019,2019-10-06,1:00,1:00,,NYJ,5,5,Sun,W 31-6,,-14.0,covered,43.0,under
PIT,2017,2017-11-26,8:30,8:30,,GNB,12,11,Sun,W 31-28,,-14.0,not covered,42.5,over
PIT,2018,2018-12-30,4:25,1:00,,CIN,17,16,Sun,W 16-13,,-14.0,not covered,45.0,under
PIT,2019,2019-10-28,8:15,8:15,,MIA,8,7,Mon,W 27-14,,-14.0,not covered,44.0,under
OAK,2017,2017-09-17,4:05,1:05,,NYJ,2,2,Sun,W 45-20,,-14.0,covered,44.0,over
LAC,2018,2018-11-25,4:05,1:05,,ARI,12,11,Sun,W 45-10,,-14.0,covered,43.0,over
SEA,2018,2018-12-30,4:25,1:25,,ARI,17,16,Sun,W 27-24,,-14.0,not covered,39.5,over
KAN,2018,2018-12-30,4:25,12:00,,OAK,17,16,Sun,W 35-3,,-14.5,covered,52.5,under
NWE,2018,2018-12-30,1:00,1:00,,NYJ,17,16,Sun,W 38-3,,-14.5,covered,46.5,under
LAR,2018,2018-12-23,4:05,2:05,@,ARI,16,15,Sun,W 31-9,,-14.5,covered,43.0,under
,,,,,,,,,,,,,,,
LAC,2019,2019-09-29,1:00,1:00,@,MIA,4,4,Sun,W 30-10,,-15.0,covered,43.5,under
NWE,2019,2019-10-06,1:00,1:00,@,WAS,5,5,Sun,W 33-7,,-15.5,covered,42.0,under
KAN,2018,2018-11-11,1:00,12:00,,ARI,10,10,Sun,W 26-14,,-16.5,not covered,49.5,under
MIN,2018,2018-09-23,1:00,3:00,,BUF,3,3,Sun,L 6-27,,-16.5,not covered,41.0,under
MIN,2019,2019-10-24,8:20,10:20,,WAS,8,8,Thu,W 19-9,,-16.5,not covered,42.0,under
NOR,2017,2017-12-17,1:00,12:00,,NYJ,15,14,Sun,W 31-19,,-16.5,not covered,47.0,over
NWE,2019,2019-10-10,8:20,8:20,,NYG,6,6,Thu,W 35-14,,-16.5,covered,43.0,over
BUF,2019,2019-10-20,1:00,1:00,,MIA,7,6,Sun,W 31-21,,-17.0,not covered,42.5,over
NWE,2017,2017-11-26,1:00,1:00,,MIA,12,11,Sun,W 35-17,,-17.0,covered,49.0,over
NWE,2017,2017-12-31,1:00,1:00,,NYJ,17,16,Sun,W 26-6,,-17.0,covered,43.5,under
BAL,2019,2019-12-12,8:20,8:20,,NYJ,15,14,Thu,W 42-21,,-17.0,covered,44.0,over
LAC,2018,2018-12-09,4:05,1:05,,CIN,14,13,Sun,W 26-21,,-17.0,not covered,48.5,under
NWE,2019,2019-12-29,1:00,1:00,,MIA,17,16,Sun,L 24-27,,-17.5,not covered,46.0,over
NWE,2019,2019-09-15,1:00,1:00,@,MIA,2,2,Sun,W 43-0,,-18.0,covered,48.5,under
NWE,2019,2019-09-22,1:00,1:00,,NYJ,3,3,Sun,W 30-14,,-20.5,not covered,43.0,over
DAL,2019,2019-09-22,1:00,12:00,,MIA,3,3,Sun,W 31-6,,-22.0,covered,46.5,under
