,Player,Team,Year,09/09vs. DAL,09/16vs. ATL,09/23vs. CIN,10/07vs. NYG,10/14vs. WAS,10/21vs. PHI,10/28vs. BAL,11/04vs. TAM,11/08vs. PIT,11/18vs. DET,11/25vs. SEA,12/02vs. TAM,12/09vs. CLE,12/17vs. NOR,12/23vs. ATL,12/30vs. NOR
22,Damian Parms,car,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
23,Eric Reid,car,2018,,,,,,,,,Questionable: Shoulder,,,,,,,
24,Fred Ross,car,2018,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
25,Curtis Samuel ,car,2018,Out: MedicalIllness,Out: MedicalIllness,Out: MedicalIllness,,,,,,,,,,,,,
26,Da'Norris Searcy,car,2018,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
27,Kevon Seymour,car,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
28,Kawann Short,car,2018,,,,,,,,,,,,,,Doubtful: Calf,Questionable: NotInjuryRelated,Out: Calf
29,Amini Silatolu,car,2018,Questionable: Knee,,,,,,,,,,,,Out: Knee,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
30,Jeremiah Sirles,car,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,Injured Reserve: Hamstring,,
31,Andre Smith,car,2018,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,,,,
32,Torrey Smith,car,2018,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,
33,Shaq Thompson,car,2018,,,,,,,,,,,,,,,Out: Shoulder,Injured Reserve: Shoulder
34,Trai Turner,car,2018,,Out: Concussion,Out: Concussion,,,,,,,,,,,,,Out: Ankle
35,Fozzy Whittaker ,car,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
36,Daryl Williams,car,2018,Questionable: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
