,Player,Team,Year,09/08vs. CIN,09/15vs. PIT,09/22vs. NOR,09/29vs. ARI,10/03vs. LAR,10/13vs. CLE,10/20vs. BAL,10/27vs. ATL,11/03vs. TAM,11/11vs. SFO,11/24vs. PHI,12/02vs. MIN,12/08vs. LAR,12/15vs. CAR,12/22vs. ARI,12/29vs. SFO,01/05vs. PHI,01/12vs. GNB
10,Jadeveon Clowney,sea,2019,,,,,,,,,,,Questionable: Knee,Questionable: Core,Questionable: Core,Questionable: Illness,Doubtful: Core,,,
11,L.J. Collier,sea,2019,Out: Ankle,,,,,,,,,,,,,,,,,
12,Justin Currie ,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,
13,Ed Dickson,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
14,Quandre Diggs,sea,2019,,,,,,,,Questionable: Hamstring,Doubtful: Hamstring,,,,,,Doubtful: Ankle,Questionable: Ankle,,
15,Will Dissly,sea,2019,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Emmanuel Ellerbee,sea,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,George Fant,sea,2019,,,,,,,,,,,,,,,,,,Questionable: Groin
18,Tre Flowers,sea,2019,,,Questionable: Ankle,,,,,Questionable: Neck,,,,,,,,,,
19,D.J. Fluker,sea,2019,,,,,,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,,,,,
