,Player,Team,Year,09/10vs. WAS,09/17vs. KAN,09/24vs. NYG,10/01vs. LAC,10/08vs. ARI,10/12vs. CAR,10/23vs. WAS,10/29vs. SFO,11/05vs. DEN,11/19vs. DAL,11/26vs. CHI,12/03vs. SEA,12/10vs. LAR,12/17vs. NYG,12/25vs. OAK,12/31vs. DAL,01/13vs. ATL,01/21vs. MIN,02/04vs. NWE
0,Beau Allen,phi,2017,,,,,,Questionable: Foot,,,,,Questionable: Knee,,,,,,,,
1,Trey Burton,phi,2017,,,,,,,,,,,Questionable: Back,,,,,,,,
2,Fletcher Cox,phi,2017,,,,Out: Calf,Out: Calf,Questionable: Calf,,,,,,,,,,,,,
3,Ronald Darby,phi,2017,,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,
4,Dannell Ellerbe,phi,2017,,,,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,
5,Zach Ertz,phi,2017,,,,,,,,,Questionable: Hamstring,,,,Questionable: Concussion,,,,,,
6,Randall Goforth,phi,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Brandon Graham,phi,2017,,,,,,,,,,,,,,,,Out: Ankle,,,
8,Corey Graham,phi,2017,,Questionable: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,
9,Jordan Hicks,phi,2017,,,,Questionable: Ankle,,,Questionable: Calf,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
10,Alshon Jeffery,phi,2017,,,,,,,,,,Questionable: Ankle,,,,,,,,,
11,Lane Johnson,phi,2017,,,,,,Out: Concussion,,,,,,,,,,,,,
12,Sidney Jones,phi,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,,Questionable: Hamstring,Injured Reserve: Achilles,Injured Reserve: Achilles
13,Mychal Kendricks,phi,2017,,,,,,,Questionable: Hamstring,,,,,,,,Questionable: Foot,,,,
14,Chris Long ,phi,2017,,,,,,Questionable: Foot,,,,,,,,,,,,,
15,Chris Maragos,phi,2017,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Rodney McLeod,phi,2017,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,,
17,Jalen Mills ,phi,2017,,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,,,
18,Jason Peters ,phi,2017,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Donnel Pumphrey,phi,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
20,Aziz Shittu,phi,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Wendell Smallwood,phi,2017,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,,,
22,Torrey Smith,phi,2017,,,Questionable: Illness,,,,,,,,,,,,,,,,
23,Darren Sproles ,phi,2017,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
24,Caleb Sturgis,phi,2017,,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
25,Destiny Vaeao,phi,2017,,Out: Wrist,Out: Wrist,Out: Wrist,Questionable: Wrist,Questionable: Wrist,,,,,,,,,,,,,
26,Joe Walker,phi,2017,,,,,,,,,,,,Questionable: Neck,Questionable: Neck,,,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
27,Jaylen Watkins,phi,2017,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,
28,Carson Wentz ,phi,2017,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Dom Williams,phi,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
30,Stefen Wisniewski,phi,2017,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,,,,
