Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Aaron Rodgers ,QB,GB,61,71,54,79,72,74,52,67,50,64,bye,67,62,60,59,77,88
Adrian Peterson ,RB,WAS,0,18,36,20,15,37,29,30,35,bye,17,20,23,28,32,35,28
Ben Roethlisberger ,QB,PIT,67,28,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Benjamin Watson ,TE,NE,0,0,0,0,0,0,62,48,67,bye,59,47,47,32,34,31,40
Brian Hoyer ,QB,IND,0,0,0,0,0,bye,0,0,55,69,2,0,0,0,0,3,0
Chase Daniel ,QB,CHI,0,0,0,64,56,bye,0,0,0,0,7,0,0,0,0,0,0
Danny Amendola ,WR,DET,44,35,22,0,bye,18,53,41,42,55,34,46,55,57,55,41,44
Darren Sproles ,RB,PHI,22,28,27,7,9,0,0,0,10,bye,0,0,0,0,0,0,0
Delanie Walker ,TE,TEN,27,33,46,19,25,38,5,0,0,0,bye,0,0,0,0,0,0
DeSean Jackson ,WR,PHI,51,10,0,0,0,0,0,0,4,bye,0,0,0,0,0,0,0
Drew Brees ,QB,NO,66,9,0,0,0,0,0,68,bye,66,64,62,47,68,60,68,56
Eli Manning ,QB,NYG,63,68,0,0,0,0,0,0,0,0,bye,0,0,52,65,0,0
Frank Gore ,RB,BUF,19,43,47,35,33,bye,30,17,21,22,20,22,15,13,19,2,14
Greg Olsen ,TE,CAR,62,62,48,65,62,61,bye,53,65,72,68,68,38,0,0,40,26
Jared Cook ,TE,NO,42,43,42,39,42,38,0,0,bye,46,47,36,28,8,28,36,26
Jason Witten ,TE,DAL,45,53,37,46,59,72,52,bye,55,56,63,51,55,56,46,49,50
Joe Flacco ,QB,DEN,62,82,73,55,60,60,67,73,0,bye,0,0,0,0,0,0,0
Josh McCown ,QB,PHI,0,6,0,0,5,4,0,0,0,bye,0,0,0,0,0,0,0
Julian Edelman ,WR,NE,67,66,39,60,71,72,73,66,67,bye,66,66,80,65,40,52,54
Larry Fitzgerald ,WR,ARI,84,54,69,53,55,51,47,39,53,53,53,bye,58,53,47,60,59
LeSean McCoy ,RB,KC,20,30,26,32,14,27,26,23,6,0,26,bye,24,24,17,0,0
Marcedes Lewis ,TE,GB,33,30,30,17,34,30,23,42,17,35,bye,27,27,38,32,41,32
Marshawn Lynch ,RB,SEA,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,23
Matt Moore ,QB,KC,9,0,0,0,0,0,41,59,59,0,0,bye,1,0,0,1,0
Matt Ryan ,QB,ATL,74,63,60,79,73,67,46,0,bye,76,64,74,91,67,67,75,89
Matt Schaub ,QB,ATL,0,0,0,0,0,0,9,76,bye,0,1,11,0,2,0,0,0
Matthew Slater ,WR,NE,0,3,2,3,0,2,2,0,0,bye,1,2,0,0,2,3,0
Matthew Stafford ,QB,DET,84,60,61,76,bye,55,75,62,69,0,0,0,0,0,0,0,0
Michael Crabtree ,WR,ARI,0,18,13,0,0,0,0,0,0,0,0,bye,0,0,0,0,0
Philip Rivers ,QB,LAC,63,65,74,61,70,62,63,45,71,75,79,bye,62,41,62,60,77
Ryan Fitzpatrick ,QB,MIA,44,38,5,0,bye,27,72,57,69,62,69,63,71,72,71,90,68
Ted Ginn Jr. ,WR,NO,49,38,38,50,44,44,53,41,bye,46,36,36,27,42,19,25,18
Tom Brady ,QB,NE,70,71,72,63,71,81,77,69,67,bye,74,68,87,66,65,73,61
Vernon Davis ,TE,WAS,52,44,54,36,0,0,0,0,0,bye,0,0,0,0,0,0,0
Golden Tate ,WR,NYG,0,0,0,0,45,49,69,69,67,66,bye,50,0,46,38,59,67
Demaryius Thomas ,WR,Multi,0,7,0,0,45,49,43,35,52,48,45,44,54,37,0,0,0
Andre Roberts ,WR,BUF,0,0,2,8,12,bye,7,5,18,13,9,4,1,0,17,13,0
Colt McCoy ,QB,WAS,0,0,0,0,56,0,0,0,0,bye,0,0,0,0,0,0,0
Emmanuel Sanders ,WR,Multi,55,76,58,44,38,25,59,53,66,24,32,32,54,61,61,56,46
Jimmy Graham ,TE,GB,33,51,22,56,50,54,32,41,32,41,bye,38,27,31,25,41,48
Antonio Brown ,WR,NE,0,24,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0
Julio Jones ,WR,ATL,50,51,45,62,55,45,41,58,bye,60,53,48,0,55,59,57,73
Cam Newton ,QB,CAR,66,75,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0
Mark Ingram II ,RB,BAL,25,45,50,32,52,31,30,bye,28,22,32,24,35,33,34,30,0
Randall Cobb ,WR,DAL,48,52,53,47,59,0,33,bye,52,57,45,28,65,58,29,48,46
Kyle Rudolph ,TE,MIN,54,65,54,50,60,68,55,60,54,55,54,bye,46,46,35,36,1
Andy Dalton ,QB,CIN,75,69,60,66,66,59,70,80,bye,0,0,0,65,73,66,90,69
Lance Kendricks ,TE,Multi,0,0,11,38,19,2,2,0,1,6,0,0,0,11,2,0,0
Luke Stocker ,TE,ATL,22,27,23,23,17,36,14,31,bye,30,43,31,0,40,22,40,37
Taiwan Jones ,RB,HOU,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,14
Bilal Powell ,RB,NYJ,0,0,1,bye,2,10,4,10,6,15,15,15,11,56,0,4,15
Anthony Sherman ,RB,KC,10,6,3,2,5,1,12,8,2,4,9,bye,6,3,14,4,9
Dion Lewis ,RB,TEN,24,29,42,17,22,27,17,20,34,14,bye,8,11,23,24,43,11
Lee Smith ,TE,BUF,26,38,40,33,21,bye,23,19,19,17,7,13,14,2,31,2,15
Charles Clay ,TE,ARI,14,14,25,17,42,31,29,20,24,32,47,bye,31,23,43,4,0
