,Player,Team,Year,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
0,Antoine Bethea,crd,2017,,,,,,,,,,,,,,,Questionable: Knee,Injured Reserve: Pectoral
1,Alex Boone ,crd,2017,,,,Out: Chest,Questionable: Chest,,,,,,,,,,,
2,Tyvon Branch,crd,2017,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
3,Aaron Brewer,crd,2017,,,,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,
4,John Brown,crd,2017,,Out: Quadricep,Out: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,,Questionable: Back,Out: Toe,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,
5,Deone Bucannon,crd,2017,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,Out: Ankle,,,,
6,Josh Bynes,crd,2017,,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle
7,Karlos Dansby,crd,2017,,,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Finger,,,,,,,Questionable: Knee,
8,Aaron Dobson,crd,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
9,Andre Ellington,crd,2017,,,,,,,Questionable: Quadricep,Questionable: Quadricep,,,,,,,,
10,Rudy Ford,crd,2017,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
11,Alani Fua,crd,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Brittan Golden,crd,2017,,,,,,,,Questionable: Groin,Questionable: Groin,,Questionable: Groin,,,,Injured Reserve: Arm,Injured Reserve: Arm
