,Player,Team,Year,09/09vs. TEN,09/16vs. NYJ,09/23vs. OAK,09/30vs. NWE,10/07vs. CIN,10/14vs. CHI,10/21vs. DET,10/25vs. HOU,11/04vs. NYJ,11/11vs. GNB,11/25vs. IND,12/02vs. BUF,12/09vs. NWE,12/16vs. MIN,12/23vs. JAX,12/30vs. BUF
0,Chase Allen,mia,2018,,,,Out: Foot,Questionable: Foot,Questionable: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
1,Kiko Alonso,mia,2018,,,,,,,,,,Questionable: Ankle,,,,,Questionable: Knee,Questionable: Knee
2,Danny Amendola,mia,2018,,,,,,,,,,,Questionable: Hamstring,Doubtful: Knee,Questionable: Knee,,,
3,Stephone Anthony,mia,2018,,,,,Questionable: Hamstring,,,,,,,,,,,
4,Brandon Bolden,mia,2018,,,,,Questionable: Hamstring,,,,,,,,,,,
5,Andre Branch,mia,2018,,,,Out: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,Questionable: Knee
6,Jake Brendel,mia,2018,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf,,,,,Out: Calf,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf
7,John Denney,mia,2018,,Questionable: Shoulder,,,,,,,,,,,,,,
8,A.J. Derby,mia,2018,,,,Out: Foot,Out: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
9,Luke Falk,mia,2018,,,,,Out: leftWrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
10,Mike Gesicki,mia,2018,,,,,,,,Questionable: Shoulder,,,,,,,,
11,Davon Godchaux,mia,2018,,,,Questionable: Ankle,,,,,,,Questionable: Shin,,,,,
12,Frank Gore,mia,2018,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
13,Jakeem Grant,mia,2018,,,,,,Questionable: Shoulder,,,,Questionable: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
14,MarQueis Gray,mia,2018,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
15,Charles Harris,mia,2018,,,,,,Questionable: Calf,Out: Calf,Out: Calf,Out: Calf,Out: Calf,,,,,,
16,William Hayes,mia,2018,,Questionable: Finger,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
17,Evander Hood,mia,2018,,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring
18,Xavien Howard,mia,2018,,,,,,,,,Questionable: Ankle,,,,Out: Knee,Doubtful: Knee,Questionable: Knee,Questionable: Knee
19,Mike Hull,mia,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,,,
20,Ja'Wuan James,mia,2018,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,
21,Reshad Jones,mia,2018,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,,
22,Daniel Kilgore,mia,2018,,,,,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
23,Ted Larsen,mia,2018,,,,,,,,,,Doubtful: Neck,Questionable: Neck,,,,,
24,Bobby McCain,mia,2018,,,,,Out: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,
