Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Patrick Peterson ,CB,ARI,72,71,47,83,67,41,80,bye,73,63,70,62,58,60,51,56,58
Adrian Clayborn ,DE,ATL,25,39,50,24,bye,34,32,37,39,40,52,40,31,23,29,27,32
Prince Amukamara ,CB,CHI,0,0,37,27,70,73,72,54,bye,66,59,78,74,53,61,59,66
Marcell Dareus ,DT,Multi,34,18,0,24,22,0,41,0,12,27,24,38,29,33,34,38,43
Cameron Heyward ,DE,PIT,52,56,56,57,46,49,47,59,bye,49,55,50,57,55,53,42,0
Von Miller ,LB,DEN,52,57,55,46,bye,50,51,53,50,55,55,67,65,48,47,62,33
Robert Quinn ,LB,LAR,25,45,42,42,43,49,34,bye,36,0,58,46,50,67,30,56,8
Stephen Paea ,DE,DAL,39,46,31,29,0,bye,0,0,0,0,0,0,0,0,0,0,0
J.J. Watt ,DE,HOU,50,58,57,40,12,0,bye,0,0,0,0,0,0,0,0,0,0
Allen Bailey ,DE,KC,65,60,52,37,46,51,63,55,29,bye,0,16,46,30,45,32,0
Justin Houston ,DE,KC,81,70,65,50,52,64,79,63,49,bye,66,62,80,54,59,56,0
Ryan Kerrigan ,DE,WAS,58,37,42,57,bye,56,53,54,56,46,55,46,56,42,63,39,60
Akeem Ayers ,LB,NYG,0,0,0,0,0,0,0,bye,0,0,3,0,0,0,0,1,0
Corey Liuget ,DT,LAC,47,32,20,50,45,21,0,46,bye,47,29,28,0,26,22,0,0
Cameron Jordan ,DE,NO,64,76,50,47,bye,69,52,64,48,31,69,77,53,74,66,64,83
Jimmy Smith ,CB,BAL,54,71,60,53,7,69,50,57,35,bye,58,64,22,0,0,0,0
Muhammad Wilkerson ,DE,NYJ,68,48,39,61,52,53,54,54,53,58,bye,65,36,57,0,0,0
Brooks Reed ,DE,ATL,32,39,22,36,bye,29,33,18,17,19,16,26,26,26,26,29,21
Jabaal Sheard ,DE,IND,50,57,61,56,64,63,56,49,65,56,bye,49,45,56,66,62,46
Bruce Carter ,LB,NYJ,0,0,0,0,0,1,0,1,4,0,bye,4,0,0,0,0,0
Jarvis Jenkins ,DE,KC,0,0,0,9,6,0,11,20,0,bye,19,23,31,26,9,18,48
Marcus Gilchrist ,S,HOU,22,18,28,31,77,56,bye,68,60,49,50,67,54,69,51,50,63
Terrell McClain ,DT,WAS,29,18,21,33,bye,30,27,38,40,34,11,0,0,0,0,13,34
Kelvin Sheppard ,LB,NYG,0,0,0,0,0,0,0,bye,0,26,0,66,54,63,52,68,57
Jurrell Casey ,DE,TEN,50,39,47,62,42,53,55,bye,62,46,58,53,68,56,68,58,48
Mason Foster ,LB,WAS,69,50,0,32,bye,72,65,0,0,0,0,0,0,0,0,0,0
Shareece Wright ,CB,BUF,11,2,1,26,66,bye,30,64,67,73,0,0,0,23,32,60,0
Chris Conte ,S,TB,bye,57,73,65,74,37,39,38,31,38,25,31,25,68,55,57,58
K.J. Wright ,LB,SEA,82,49,73,56,72,bye,50,71,62,74,58,56,75,37,0,74,68
Da'Norris Searcy ,S,TEN,11,43,41,32,52,44,53,bye,24,10,17,14,0,6,16,0,1
Sam Acho ,LB,CHI,39,32,2,6,29,36,38,36,bye,31,34,64,75,40,51,51,75
Chris Prosinski ,S,CHI,0,0,0,0,0,0,0,0,bye,0,0,0,75,49,4,0,0
Davon House ,CB,GB,49,49,0,0,58,0,67,bye,68,61,58,68,74,30,0,49,28
Buster Skrine ,CB,NYJ,74,55,63,75,75,62,70,0,75,69,bye,62,43,67,66,70,85
