,Player,Team,Year,09/09vs. HOU,09/16vs. JAX,09/23vs. DET,09/30vs. MIA,10/04vs. IND,10/14vs. KAN,10/21vs. CHI,10/29vs. BUF,11/04vs. GNB,11/11vs. TEN,11/25vs. NYJ,12/02vs. MIN,12/09vs. MIA,12/16vs. PIT,12/23vs. BUF,12/30vs. NYJ,01/13vs. LAC,01/20vs. KAN,02/03vs. LAR
15,Duke Dawson,nwe,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
16,Nate Ebner,nwe,2018,Questionable: Knee,,Questionable: Hip,Questionable: Hip,,,,,,,Questionable: Knee,,,,,,,,
17,Julian Edelman,nwe,2018,,,,,,,Questionable: Heel,,Questionable: Ankle,,,,,,,,,,
18,Trey Flowers,nwe,2018,,,Doubtful: Concussion,Questionable: Concussion,,,,,,,,,,,,,,,
19,Stephon Gilmore,nwe,2018,,,,,,,,,,,,,Questionable: Ankle,,,,,,
20,Josh Gordon,nwe,2018,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
21,Nicholas Grigsby,nwe,2018,,,,,,,,,Questionable: Illness,,,,,,,,,,
22,Geneo Grissom,nwe,2018,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,
23,Rob Gronkowski ,nwe,2018,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,
24,Dont'a Hightower ,nwe,2018,,,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,
25,Jeremy Hill,nwe,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Chris Hogan ,nwe,2018,,,,,,Questionable: Thigh,,,,,,,,,,,,,
27,Jacob Hollister,nwe,2018,Questionable: Hamstring,,Out: Chest,Questionable: Chest,Questionable: Chest,,Questionable: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
28,Ryan Izzo,nwe,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
29,Ulrick John,nwe,2018,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
30,Cyrus Jones,nwe,2018,Injured Reserve: Knee,Injured Reserve: Knee,,,Injured Reserve: Knee,,,Injured Reserve: Knee,,Injured Reserve: Knee,,,,,Injured Reserve: Knee,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
31,Brandon King,nwe,2018,,,,Questionable: Foot,,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,
32,Shaq Mason,nwe,2018,,,,,,,,,Out: Calf,Questionable: Calf,Questionable: Calf,,,,,,,,
33,Jordan Matthews,nwe,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,Injured Reserve: Hamstring,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring
34,Sony Michel,nwe,2018,Questionable: Knee,Questionable: Knee,,,,Questionable: Knee,Questionable: Knee,Doubtful: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,
35,Cordarrelle Patterson,nwe,2018,,,,,,,,,Questionable: Neck,,,,,,,Questionable: Knee,,,
36,Elandon Roberts,nwe,2018,,,,,Questionable: Calf,,,,,,,,,Questionable: Thigh,,,,,
