,Player,Team,Year,09/08vs. WAS,09/15vs. ATL,09/22vs. DET,09/26vs. GNB,10/06vs. NYJ,10/13vs. MIN,10/20vs. DAL,10/27vs. BUF,11/03vs. CHI,11/17vs. NWE,11/24vs. SEA,12/01vs. MIA,12/09vs. NYG,12/15vs. WAS,12/22vs. DAL,12/29vs. NYG,01/05vs. SEA
0,Nelson Agholor,phi,2019,,,,,,,,,,,Questionable: Knee,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Out: Knee,Out: Knee
1,Derek Barnett ,phi,2019,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
2,Nigel Bradham,phi,2019,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,,,,,,,
3,Brandon Brooks,phi,2019,,,,,,,,,,,,,,,,,Injured Reserve: 
4,Corey Clement,phi,2019,,,Out: Shoulder,Questionable: Shoulder,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Ronald Darby,phi,2019,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,Questionable: Hip Flexor,,Injured Reserve: ,Injured Reserve: 
6,Alex Ellis,phi,2019,,,,,Out: Knee,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,
7,Zach Ertz,phi,2019,,,,,,,,,,,,Questionable: Hamstring,,,,Out: Ribs,Questionable: Ribs
8,Rudy Ford,phi,2019,,,,,,,,,,,Out: Abdomen,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Dallas Goedert,phi,2019,,,Questionable: Calf,,,,,,,,,,,,,,
10,Kamu Grugier-Hill,phi,2019,Out: Knee,Out: Knee,Doubtful: Knee,,,,,,,,,,Out: Concussion,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
11,Daeshon Hall,phi,2019,,,,,,,,,,,,,,,,,Injured Reserve: 
12,Jordan Howard,phi,2019,,,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,
13,DeSean Jackson,phi,2019,,,Out: Abdomen,Out: Abdomen,Out: Abdomen,Out: Abdomen,Out: Abdomen,Out: Abdomen,Questionable: Abdomen,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
14,Malik Jackson,phi,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Alshon Jeffery,phi,2019,,,Questionable: Calf,,,,,,,Out: Ankle,Questionable: Ankle,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Timmy Jernigan,phi,2019,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,,,,,,,,
17,Charles Johnson,phi,2019,Injured Reserve: ,,,,,,,,,,,,,,,,
18,Lane Johnson,phi,2019,,,,,,,,,,,Out: Concussion,,,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle
19,Sidney Jones,phi,2019,,,,,Questionable: Hamstring,,,,,,,,,,,,
20,Cre'von LeBlanc,phi,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,
21,Avonte Maddox,phi,2019,,,,,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,,,,,,,Questionable: Knee,,
22,Jordan Mailata,phi,2019,Out: Back,Out: Back,Out: Back,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
23,Jalen Mills ,phi,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,,,,,,,,,Questionable: Ankle,
24,Joe Ostman,phi,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Jason Peters ,phi,2019,,,,,,,Out: Knee,Out: Knee,Out: Knee,,,,,,,,
26,Hassan Ridgeway,phi,2019,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Richard Rodgers ,phi,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,
28,Andrew Sendejo,phi,2019,,,,,,,,,Questionable: Groin,,,,,,,,
29,Aziz Shittu,phi,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,
30,Darren Sproles ,phi,2019,,,,,,Out: Quadricep,Out: Quadricep,Out: Quadricep,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
31,Nate Sudfeld,phi,2019,Out: left Wrist,Doubtful: left Wrist,Questionable: left Wrist,,,,,,,,,,,,,,
